sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,continuous_pdv,10000,0.2520824612583882,0.11709619786035393,0.3421932171454512,0.89666530936332,0.9470889071818077,default,mse
0.0,1,gauche_rbf,continuous_pdv,10000,0.2585463454875967,0.13774766794205143,0.3711437294931054,0.875630222430121,0.9360599914922465,default,mse
0.0,2,gauche_rbf,continuous_pdv,10000,0.2446460312295595,0.11792160401307111,0.34339715201654064,0.8929759422747702,0.9450469669892425,default,mse
0.0,3,gauche_rbf,continuous_pdv,10000,0.26079295046395823,0.14000477368859768,0.3741721177327323,0.8713894923859541,0.9339126292508846,default,mse
0.0,4,gauche_rbf,continuous_pdv,10000,0.2561934998577215,0.12426406952196098,0.3525110913460185,0.8878329800121969,0.9426449935187482,default,mse
0.0,5,gauche_rbf,continuous_pdv,10000,0.24115583661223777,0.11052622246453819,0.332454842744903,0.9048896636051308,0.9513890881346804,default,mse
0.0,6,gauche_rbf,continuous_pdv,10000,0.25004250945002326,0.13337729257710007,0.365208560383105,0.8757617601537855,0.9366624841986633,default,mse
0.0,7,gauche_rbf,continuous_pdv,10000,0.24597915733104475,0.11445434465806667,0.3383110176421493,0.9050498940732468,0.9515041401612327,default,mse
0.0,8,gauche_rbf,continuous_pdv,10000,0.2518220877505343,0.11836536647048655,0.3440426811755869,0.8850637487281203,0.943019520255943,default,mse
0.0,9,gauche_rbf,continuous_pdv,10000,0.24335914201156836,0.11517420633739937,0.3393732551887367,0.894315052401093,0.9462794540575994,default,mse
0.1,0,gauche_rbf,continuous_pdv,10000,0.25698902508084914,0.12036790104673313,0.3469407745519877,0.8937473830074952,0.9455004563315321,default,mse
0.1,1,gauche_rbf,continuous_pdv,10000,0.26622527498461923,0.143992464132812,0.3794633897134373,0.869441059043058,0.9327879405809384,default,mse
0.1,2,gauche_rbf,continuous_pdv,10000,0.251923778816016,0.12582098053571494,0.3547125322507156,0.8861695153644884,0.9414278150128241,default,mse
0.1,3,gauche_rbf,continuous_pdv,10000,0.2650751168576817,0.14408087461481536,0.37957986592391246,0.8674484820772776,0.9317869118891537,default,mse
0.1,4,gauche_rbf,continuous_pdv,10000,0.26262496584778977,0.1275569730582746,0.3571511907557843,0.8848089762878466,0.9409269231071031,default,mse
0.1,5,gauche_rbf,continuous_pdv,10000,0.24997071644950386,0.11657254194005498,0.3414272132388615,0.8999786211448588,0.9487797828742567,default,mse
0.1,6,gauche_rbf,continuous_pdv,10000,0.2580120603457448,0.13699641460012668,0.37013026706840213,0.8729038321954928,0.9349485713533976,default,mse
0.1,7,gauche_rbf,continuous_pdv,10000,0.2545967644096381,0.12038705406411827,0.34696837617298537,0.9001576665874647,0.9489395720260604,default,mse
0.1,8,gauche_rbf,continuous_pdv,10000,0.2611896629497919,0.12465877584673833,0.3530704969927937,0.8793385791345641,0.939823473370464,default,mse
0.1,9,gauche_rbf,continuous_pdv,10000,0.2515001488409366,0.12277812438643773,0.35039709528824253,0.8883311590501005,0.9430347754761147,default,mse
0.2,0,gauche_rbf,continuous_pdv,10000,0.2731775881082554,0.13442865522728467,0.3666451352838118,0.8811320980449754,0.9387566859789267,default,mse
0.2,1,gauche_rbf,continuous_pdv,10000,0.28185413727980485,0.15998000851179806,0.39997500985911366,0.8539970149400421,0.9245316733654291,default,mse
0.2,2,gauche_rbf,continuous_pdv,10000,0.2709538162265773,0.1444964149283892,0.3801268405787589,0.8695707191963926,0.9325592201637019,default,mse
0.2,3,gauche_rbf,continuous_pdv,10000,0.2825076974225933,0.15917337087402883,0.39896537553280087,0.8531619326724685,0.9241287692097448,default,mse
0.2,4,gauche_rbf,continuous_pdv,10000,0.27822304343192317,0.14072426487188353,0.3751323298142717,0.872665976295946,0.9343783296648583,default,mse
0.2,5,gauche_rbf,continuous_pdv,10000,0.26870297952106376,0.13340371841533333,0.36524473769697674,0.885741792936618,0.9412274214949846,default,mse
0.2,6,gauche_rbf,continuous_pdv,10000,0.27905263098473815,0.15463425510926496,0.3932356228894643,0.8573257476683227,0.9264720607617962,default,mse
