sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,ecfp4,10000,0.303918023261411,0.20986530375650533,0.458110580271298,0.8147987156259848,0.9034367191378712,default,mse
0.0,1,gauche,ecfp4,10000,0.29528561543514525,0.17488530494675814,0.41819290398900616,0.8420993487481844,0.9191812118850784,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599371,0.22419988569642077,0.4734975033687303,0.7965192068952526,0.8934376911302657,default,mse
0.0,3,gauche,ecfp4,10000,0.29528502403365914,0.18147915217120902,0.42600369971540036,0.8332904995509681,0.9151202565878986,default,mse
0.0,4,gauche,ecfp4,10000,0.2907444239730754,0.1932086933185818,0.43955510839777734,0.8256000833655887,0.9098134926708823,default,mse
0.0,5,gauche,ecfp4,10000,0.29229640082384745,0.19013004927739596,0.43603904558811696,0.836388754249263,0.9150197124301671,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,6,gauche,ecfp4,10000,0.28802156215551417,0.20741757436102215,0.45543119607798294,0.8067947410396822,0.9002061217501247,default,mse
0.0,3,gauche,ecfp4,10000,0.2952850240336592,0.1814791521712095,0.4260036997154009,0.8332904995509677,0.9151202565878981,default,mse
0.0,7,gauche,ecfp4,10000,0.31191529738596946,0.23306009491316668,0.48276298005663887,0.8066558262561796,0.8993156273951078,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.0,8,gauche,ecfp4,10000,0.28887032129419277,0.192669601529872,0.43894145569753606,0.8129121516350654,0.9018070606519746,default,mse
0.0,5,gauche,ecfp4,10000,0.2922964008238476,0.19013004927739627,0.43603904558811735,0.8363887542492627,0.9150197124301672,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.0,9,gauche,ecfp4,10000,0.27780423871565463,0.1637208962858519,0.4046243891386824,0.8497681477905894,0.9226480788885738,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.1,0,gauche,ecfp4,10000,0.30995569308136034,0.21591097448778337,0.46466221547246916,0.8094084396485242,0.9003507592014466,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.1,1,gauche,ecfp4,10000,0.3031357608373061,0.1811715256601675,0.4256424857320607,0.8357305525383053,0.9155562498191452,default,mse
0.1,1,gauche,ecfp4,10000,0.3031357608373053,0.18117152566016778,0.42564248573206104,0.8357305525383051,0.9155562498191451,default,mse
0.1,3,gauche,ecfp4,10000,0.30091696829400394,0.1865232666291872,0.43188339471341936,0.8284023317758155,0.9122873297956224,default,mse
0.1,2,gauche,ecfp4,10000,0.3172686843546321,0.23011614431055416,0.47970422586272277,0.7918134788188975,0.8907966721339107,default,mse
0.1,4,gauche,ecfp4,10000,0.2959268024960537,0.19666118828796014,0.44346497977626165,0.8224040359362452,0.9081412932698474,default,mse
0.1,3,gauche,ecfp4,10000,0.3009169682940033,0.18652326662918706,0.4318833947134192,0.8284023317758156,0.9122873297956225,default,mse
0.1,5,gauche,ecfp4,10000,0.30113704145720555,0.19543219020864686,0.4420771315151315,0.8323155966917071,0.9128296115496217,default,mse
0.1,6,gauche,ecfp4,10000,0.29472755457960687,0.21264785526809707,0.4611375665331302,0.8027194538243221,0.8979821101647105,default,mse
0.1,5,gauche,ecfp4,10000,0.30113704145720505,0.19543219020864752,0.4420771315151322,0.8323155966917064,0.9128296115496213,default,mse
0.1,7,gauche,ecfp4,10000,0.3218443388376944,0.2411312158955275,0.4910511336872439,0.8000191678351986,0.8955727573037439,default,mse
0.1,6,gauche,ecfp4,10000,0.29472755457960687,0.21264785526809668,0.46113756653312976,0.8027194538243224,0.8979821101647107,default,mse
0.1,8,gauche,ecfp4,10000,0.29610347643740875,0.1976761048496345,0.4446078101536617,0.8086626511427768,0.8994839945166088,default,mse
0.1,7,gauche,ecfp4,10000,0.32184433883769487,0.2411312158955276,0.491051133687244,0.8000191678351984,0.8955727573037437,default,mse
0.1,9,gauche,ecfp4,10000,0.2846700279015857,0.1725932151939541,0.4154433958964255,0.8430234669828984,0.9190616182823067,default,mse
0.2,0,gauche,ecfp4,10000,0.325295270462615,0.2310284929457989,0.48065423429508963,0.7957141488779511,0.8926060579283264,default,mse
0.1,8,gauche,ecfp4,10000,0.29610347643740814,0.19767610484963508,0.44460781015366235,0.8086626511427762,0.8994839945166083,default,mse
0.2,1,gauche,ecfp4,10000,0.3170033288884373,0.19503048889258412,0.4416225638399652,0.8220088008438862,0.9078831543059726,default,mse
0.1,9,gauche,ecfp4,10000,0.284670027901583,0.17259321519395385,0.41544339589642515,0.8430234669828987,0.9190616182823069,default,mse
0.2,2,gauche,ecfp4,10000,0.33284453382866663,0.24529291114986893,0.49527054339004345,0.7785870465827396,0.8833303078871253,default,mse
0.2,3,gauche,ecfp4,10000,0.31454983546461324,0.20062128376470478,0.4479076732594618,0.8149260682800298,0.9047343078883943,default,mse
0.2,0,gauche,ecfp4,10000,0.3252952704626151,0.23102849294579758,0.48065423429508825,0.7957141488779523,0.8926060579283269,default,mse
0.2,4,gauche,ecfp4,10000,0.3112602848450123,0.2088829088663055,0.45703709791033975,0.8109927858342778,0.901917654595398,default,mse
0.2,1,gauche,ecfp4,10000,0.3170033288884359,0.1950304888925839,0.44162256383996495,0.8220088008438863,0.9078831543059728,default,mse
0.2,5,gauche,ecfp4,10000,0.31875736947138283,0.2108595084080561,0.45919441243122294,0.8194021151797113,0.9057693602865613,default,mse
0.2,2,gauche,ecfp4,10000,0.3328445338286675,0.2452929111498686,0.4952705433900431,0.7785870465827399,0.8833303078871254,default,mse
0.2,6,gauche,ecfp4,10000,0.31182515904515545,0.22969071956076845,0.47926059671202725,0.7880744363032527,0.8898270820804459,default,mse
0.2,7,gauche,ecfp4,10000,0.33967687095987964,0.25833498233506863,0.5082666449168868,0.785590969741961,0.8874325934819849,default,mse
0.2,3,gauche,ecfp4,10000,0.3145498354646124,0.20062128376470467,0.4479076732594617,0.8149260682800299,0.9047343078883939,default,mse
0.2,8,gauche,ecfp4,10000,0.3113120276697806,0.21218385085028882,0.46063418332803835,0.7952246945423589,0.8920203236736788,default,mse
0.2,4,gauche,ecfp4,10000,0.31126028484501217,0.20888290886630528,0.45703709791033953,0.810992785834278,0.9019176545953979,default,mse
0.2,9,gauche,ecfp4,10000,0.30130491657900826,0.19071902024842283,0.43671388831639285,0.8278448722566436,0.9108414258440152,default,mse
0.2,5,gauche,ecfp4,10000,0.31875736947138267,0.21085950840805612,0.459194412431223,0.8194021151797113,0.9057693602865613,default,mse
0.3,0,gauche,ecfp4,10000,0.34536475681066064,0.2538912081146827,0.5038761833175712,0.7748146168926573,0.8807166578957567,default,mse
0.2,6,gauche,ecfp4,10000,0.3118251590451547,0.22969071956076725,0.47926059671202603,0.7880744363032538,0.8898270820804461,default,mse
0.3,1,gauche,ecfp4,10000,0.334010020189603,0.21546603586969001,0.4641831921447501,0.8016734637029936,0.8964784159230619,default,mse
0.3,2,gauche,ecfp4,10000,0.3512358677430539,0.2686731936905936,0.5183369499568727,0.7578066667695825,0.8714760086814959,default,mse
0.2,7,gauche,ecfp4,10000,0.3396768709598788,0.25833498233506735,0.5082666449168854,0.785590969741962,0.8874325934819856,default,mse
0.3,4,gauche,ecfp4,10000,0.329733364958874,0.22880357505631727,0.4783341667248089,0.7922650887990385,0.891549260662318,default,mse
0.2,8,gauche,ecfp4,10000,0.3113120276697792,0.2121838508502882,0.4606341833280377,0.7952246945423596,0.8920203236736789,default,mse
0.3,5,gauche,ecfp4,10000,0.33984966142940026,0.23533379340840554,0.4851121451874871,0.7985728321626367,0.8942395497899329,default,mse
0.2,9,gauche,ecfp4,10000,0.30130491657900743,0.19071902024842152,0.43671388831639135,0.8278448722566448,0.9108414258440158,default,mse
0.3,6,gauche,ecfp4,10000,0.3325691629265656,0.2570520422264179,0.5070030002144148,0.7644180258536866,0.8764582946001382,default,mse
0.3,0,gauche,ecfp4,10000,0.34536475681066064,0.2538912081146835,0.5038761833175721,0.7748146168926566,0.8807166578957561,default,mse
