sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mhggnn,10000,0.296997428012569,0.1529787262112332,0.3911249496148682,0.8649998066898518,0.9303259948801166,default,mse
0.0,1,gauche,mhggnn,10000,0.2855409466967355,0.14830405560799828,0.3851026559347498,0.86609905863207,0.9312527458780695,default,mse
0.0,2,gauche,mhggnn,10000,0.2738108681664174,0.13398565507670304,0.3660405101579647,0.8783964261400964,0.9373830440535782,default,mse
0.0,3,gauche,mhggnn,10000,0.2877658031619869,0.15617028910735875,0.3951838674684972,0.8565396048494488,0.9273793924468249,default,mse
0.0,4,gauche,mhggnn,10000,0.277666445216557,0.13857291911526198,0.37225383693826714,0.8749170902903444,0.9361489275488335,default,mse
0.0,5,gauche,mhggnn,10000,0.2704220480427876,0.1297861543952395,0.3602584549947988,0.8883160527096801,0.9429659834496052,default,mse
0.0,6,gauche,mhggnn,10000,0.27807523951416036,0.14788988470254374,0.38456453906014754,0.8622435752631386,0.9307168735686598,default,mse
0.0,7,gauche,mhggnn,10000,0.28586458924523495,0.14736822104275507,0.38388568746796886,0.8777448926028114,0.937031715520619,default,mse
0.0,8,gauche,mhggnn,10000,0.26464214220522003,0.1297499613719565,0.3602082194675137,0.874008972324837,0.9355644413419957,default,mse
0.0,9,gauche,mhggnn,10000,0.27660006744656973,0.1298960626145147,0.3604109635048783,0.8808061370051607,0.9391822699582382,default,mse
0.1,0,gauche,mhggnn,10000,0.30144595696967547,0.15879815321251642,0.3984948597065167,0.8598237635974418,0.9275257363595149,default,mse
0.1,1,gauche,mhggnn,10000,0.2960033257833666,0.15616760893619291,0.39518047641070647,0.8584017729172182,0.9271163788503177,default,mse
0.1,2,gauche,mhggnn,10000,0.28269365259764306,0.14202864147162433,0.37686687499914917,0.8715064131434807,0.9337219885945091,default,mse
0.1,3,gauche,mhggnn,10000,0.2965196706842791,0.16175214485423378,0.4021842175598562,0.8511912675085879,0.924503022519378,default,mse
0.1,4,gauche,mhggnn,10000,0.2804874120970439,0.14111091992505334,0.3756473345107793,0.8725690102750823,0.9347903170365229,default,mse
0.1,5,gauche,mhggnn,10000,0.2790266874420797,0.13436311502854126,0.3665557461403944,0.8847139831664865,0.941039972698331,default,mse
0.1,6,gauche,mhggnn,10000,0.28527778419992944,0.15447706088743182,0.3930356992531745,0.8566864504461422,0.9278186255643106,default,mse
0.1,7,gauche,mhggnn,10000,0.294664430670539,0.15529388684433332,0.39407345361535495,0.8712078790549809,0.9335792491997636,default,mse
0.1,8,gauche,mhggnn,10000,0.2719435521525148,0.13571020623778518,0.3683886619289269,0.8686415280483365,0.932554959526531,default,mse
0.1,9,gauche,mhggnn,10000,0.28320236645575925,0.13747835686958304,0.3707807396151842,0.8749610417650361,0.9360194931758927,default,mse
0.2,0,gauche,mhggnn,10000,0.31682613946341565,0.17543264651392732,0.4188468055434198,0.8448745128762142,0.9194173792691738,default,mse
0.2,1,gauche,mhggnn,10000,0.3128799126468771,0.1729112926048303,0.41582603646817295,0.8421955023897922,0.9183159200631009,default,mse
0.2,2,gauche,mhggnn,10000,0.30116835184180313,0.16114050913080077,0.4014231048791297,0.8545469745759887,0.9246177615537721,default,mse
0.2,3,gauche,mhggnn,10000,0.3122395011865964,0.1779125352182996,0.4217967937506159,0.8358749790788089,0.9162095903384639,default,mse
0.2,4,gauche,mhggnn,10000,0.29557795783094026,0.15436217167242766,0.3928895158596468,0.8603257480531824,0.9281532748984737,default,mse
