sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mhggnn,10000,0.8900629645834747,1.148254259365253,1.0715662645703499,-0.013307868503663611,0.10912365988320992,default,mse
0.0,1,gauche_rbf,mhggnn,10000,0.8880239179985515,1.136038852696547,1.065851233848583,-0.02570810476478158,0.04436844554607796,default,mse
0.0,2,gauche_rbf,mhggnn,10000,0.8793110005825268,1.1189343163433596,1.05779691639906,-0.01552969759297218,0.05017154593692549,default,mse
0.0,3,gauche_rbf,mhggnn,10000,0.8715282835911494,1.1179188226898107,1.0573168033705937,-0.026937178422385744,0.035632142649821355,default,mse
0.0,4,gauche_rbf,mhggnn,10000,0.8834201464001403,1.1262042647669466,1.0612277157928671,-0.01656880192659682,0.02513602345390808,default,mse
0.0,5,gauche_rbf,mhggnn,10000,0.901605602037278,1.1704059868912662,1.0818530338688643,-0.007161057797962389,0.008782298091773996,default,mse
0.0,6,gauche_rbf,mhggnn,10000,0.8736443244732798,1.0894090248689814,1.0437475867607942,-0.014762386513917702,0.03144141438884859,default,mse
0.0,7,gauche_rbf,mhggnn,10000,0.9264930452307906,1.2215208247293017,1.1052243323096456,-0.01336067273185626,0.07166861899988572,default,mse
0.0,8,gauche_rbf,mhggnn,10000,0.8561095591289922,1.045463418709479,1.0224790553891454,-0.01517572049517013,nan,default,mse
0.0,9,gauche_rbf,mhggnn,10000,0.8810345527096957,1.0997207923776569,1.0486757327113356,-0.009114262748958213,0.018808339881836722,default,mse
0.1,0,gauche_rbf,mhggnn,10000,0.8899955024534983,1.1472850077174954,1.0711139097768712,-0.012745370203981032,0.10821930042490688,default,mse
0.1,1,gauche_rbf,mhggnn,10000,0.8832003798147923,1.1307711222594046,1.063377224816953,-0.02527782322491179,0.044041821948203747,default,mse
0.1,2,gauche_rbf,mhggnn,10000,0.8801503724145258,1.1226124100815469,1.0595340532901936,-0.01562962038075244,0.05024500520684729,default,mse
0.1,3,gauche_rbf,mhggnn,10000,0.8697522029121756,1.116110477091751,1.0564612993819276,-0.02679927716619357,0.03564980882668016,default,mse
0.1,4,gauche_rbf,mhggnn,10000,0.885174422968403,1.1252991415176998,1.0608011790706589,-0.016207557971857023,0.025201052606934067,default,mse
0.1,5,gauche_rbf,mhggnn,10000,0.90366736407415,1.1741437283354375,1.0835791287836054,-0.00743685200428712,0.00888714734465001,default,mse
0.1,6,gauche_rbf,mhggnn,10000,0.8749984690858981,1.09351922060141,1.0457146936910708,-0.01449445056412535,0.031416106849571517,default,mse
0.1,7,gauche_rbf,mhggnn,10000,0.9267106915390302,1.2214333766421899,1.1051847703629425,-0.012988974437046386,0.07135701025879028,default,mse
0.1,8,gauche_rbf,mhggnn,10000,0.8573060318353819,1.0486662612121818,1.0240440719091057,-0.01503933623632503,nan,default,mse
0.1,9,gauche_rbf,mhggnn,10000,0.8844177259771678,1.1093472542431217,1.0532555503025474,-0.008970634722995197,0.018529822922512203,default,mse
0.2,0,gauche_rbf,mhggnn,10000,0.8890380948283844,1.1445752811718148,1.0698482514692516,-0.012085273578348987,0.1068641964729332,default,mse
0.2,1,gauche_rbf,mhggnn,10000,0.8770290226340134,1.1227513980284025,1.0595996404436925,-0.024659625394998663,0.043544861770733814,default,mse
0.2,2,gauche_rbf,mhggnn,10000,0.8812610389410868,1.1251377112510326,1.0607250874995993,-0.015602377098540066,0.050087894284128166,default,mse
0.2,3,gauche_rbf,mhggnn,10000,0.8672810902053316,1.1126525589283969,1.0548234728751522,-0.02642640828017795,0.03550922625971304,default,mse
0.2,4,gauche_rbf,mhggnn,10000,0.8845531076318182,1.1225240718875922,1.0594923651860793,-0.015713295132402827,0.02515637760532816,default,mse
0.2,5,gauche_rbf,mhggnn,10000,0.9024622253756097,1.1764949918127912,1.0846635385283268,-0.007649636609582622,0.008951284609395722,default,mse
0.2,6,gauche_rbf,mhggnn,10000,0.8772740964430847,1.0990870189292459,1.04837351117302,-0.014079439011613903,0.031218584424885055,default,mse
0.2,7,gauche_rbf,mhggnn,10000,0.9246140933717776,1.2199148480916489,1.1044975545883517,-0.012486799938929316,0.07072993823716724,default,mse
0.2,8,gauche_rbf,mhggnn,10000,0.8578487720733974,1.0514758839861627,1.0254149813544575,-0.014762878804244872,nan,default,mse
0.2,9,gauche_rbf,mhggnn,10000,0.8863232008605014,1.1175469381990608,1.0571409263665186,-0.008769002977547125,0.018178356455680646,default,mse
0.3,0,gauche_rbf,mhggnn,10000,0.8866162803277751,1.1402824596198897,1.067840090846888,-0.011358149921058436,0.10509218483694435,default,mse
0.3,1,gauche_rbf,mhggnn,10000,0.8698646423535674,1.1123520318074214,1.0546810095035473,-0.023868679445718355,0.04288915585086676,default,mse
0.3,2,gauche_rbf,mhggnn,10000,0.8803312969043336,1.1264685724554446,1.0613522376927673,-0.01544621774392474,0.04971298738341683,default,mse
0.3,3,gauche_rbf,mhggnn,10000,0.8642888441903633,1.107702624018332,1.0524745241659448,-0.02582538347010277,0.035216722723580306,default,mse
0.3,4,gauche_rbf,mhggnn,10000,0.8830250725620665,1.118058196318478,1.0573827104310332,-0.01510529314307374,0.025006983913739195,default,mse
0.3,5,gauche_rbf,mhggnn,10000,0.8992042394829914,1.177436615022939,1.0850975140617265,-0.007792885318829601,0.00897536159523524,default,mse
0.3,6,gauche_rbf,mhggnn,10000,0.8774436386608283,1.1058986354196167,1.0516171524940132,-0.01352932846332422,0.03086255160591128,default,mse
0.3,7,gauche_rbf,mhggnn,10000,0.9217515517516764,1.2171032160589683,1.1032240099177357,-0.011900132182494083,0.06980803133202014,default,mse
0.3,8,gauche_rbf,mhggnn,10000,0.8576133090683725,1.0538053024156877,1.0265501947862499,-0.014353990742798528,nan,default,mse
0.3,9,gauche_rbf,mhggnn,10000,0.886443453008596,1.124138299777098,1.0602538845847715,-0.008523742823314695,0.017762204665266696,default,mse
0.4,0,gauche_rbf,mhggnn,10000,0.8821382198434626,1.1346318239759303,1.0651909800481463,-0.01058054778271833,0.10295091301319642,default,mse
0.4,1,gauche_rbf,mhggnn,10000,0.8627689002988563,1.1000742205513716,1.048844230832859,-0.022945620129859234,0.04209087803667985,default,mse
0.4,2,gauche_rbf,mhggnn,10000,0.8770604875543344,1.126645930683937,1.0614357873578302,-0.015178656799923473,0.04914062436383377,default,mse
0.4,3,gauche_rbf,mhggnn,10000,0.8600943109565414,1.1015168765599612,1.0495317415685728,-0.025038970162902574,0.034784101782190865,default,mse
0.4,4,gauche_rbf,mhggnn,10000,0.879271982251886,1.1121462659496864,1.0545834561331249,-0.014404379321058647,0.024761399182491855,default,mse
0.4,5,gauche_rbf,mhggnn,10000,0.8942450380351366,1.1770317326366302,1.0849109330431832,-0.007869572364205712,0.00895732103847431,default,mse
0.4,6,gauche_rbf,mhggnn,10000,0.8760960499452192,1.1136844640794135,1.0553124959363522,-0.012879493094100303,0.030367347646358685,default,mse
