sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,morgan,10000,0.35331470338364557,0.22483793839444383,0.4741707903218458,0.8015857113047637,0.9000898916321012,default,mse
0.0,1,gauche,morgan,10000,0.3444833769763461,0.21151509740974775,0.4599077053167817,0.8090269983475276,0.9043287775218579,default,mse
0.0,2,gauche,morgan,10000,0.340403005596089,0.22612212794836176,0.47552300464684333,0.7947746057472662,0.8948614674401084,default,mse
0.0,3,gauche,morgan,10000,0.35354362723230054,0.23873261291274042,0.4886027148028758,0.78069660253852,0.8890184109799358,default,mse
0.0,4,gauche,morgan,10000,0.336654460803053,0.20081150116169139,0.44811996291360573,0.8187374053398155,0.9097992569291316,default,mse
0.0,5,gauche,morgan,10000,0.3274955060626024,0.20668833386015684,0.4546298866772364,0.8221399725423368,0.9108991269549033,default,mse
0.0,6,gauche,morgan,10000,0.3403329623770619,0.22822676009861026,0.4777308448264674,0.7874114070499294,0.8895881151560086,default,mse
0.0,7,gauche,morgan,10000,0.35830770871409723,0.23796019017465359,0.4878116339066275,0.802590759390266,0.9024086379362555,default,mse
0.0,8,gauche,morgan,10000,0.32595629498792233,0.19821334237050564,0.44521157034662256,0.807529016270008,0.9030039778392511,default,mse
0.0,9,gauche,morgan,10000,0.33328371494305953,0.20623618401775612,0.4541323419640536,0.8107557152417947,0.9029881826705725,default,mse
0.1,0,gauche,morgan,10000,0.3585248450610575,0.22946417431848307,0.47902418970077393,0.7974445943200664,0.8978164941574882,default,mse
0.1,1,gauche,morgan,10000,0.3476829391919093,0.21614302151643433,0.46491184273627006,0.8040216607558648,0.9011774781410475,default,mse
0.1,2,gauche,morgan,10000,0.3456928834152472,0.23156432374573513,0.48121130882984775,0.7905033080807268,0.8929893037353629,default,mse
0.1,3,gauche,morgan,10000,0.3590849718476173,0.24337761588238244,0.4933331692501351,0.7760974695644591,0.886088757239788,default,mse
0.1,4,gauche,morgan,10000,0.3409850571218122,0.20480434008370463,0.4525531350943275,0.8150503180711566,0.9079246734345668,default,mse
0.1,5,gauche,morgan,10000,0.3364184138931051,0.21517208483226077,0.46386645150545297,0.8153784050868061,0.9069513663425582,default,mse
0.1,6,gauche,morgan,10000,0.34728838457984285,0.23175327413601413,0.48140759667459976,0.7849947160674995,0.8884186968044682,default,mse
