sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,pdv,10000,0.2899437073557043,0.1542918264165913,0.39279998270950994,0.8638410260806175,0.9300889254691606,default,mse
0.0,1,gauche,pdv,10000,0.28289100687133223,0.149727984831948,0.3869470051983191,0.8648134197279518,0.9309864567317703,default,mse
0.0,2,gauche,pdv,10000,0.2725250460898751,0.143413361806297,0.37869956668353477,0.8698399666372834,0.9330699817906816,default,mse
0.0,3,gauche,pdv,10000,0.2912808393943982,0.15952933748223105,0.3994112385527366,0.8534539320883661,0.9249011870436269,default,mse
0.0,5,gauche,pdv,10000,0.2881871271521703,0.1538761010470182,0.39227044375917264,0.8675861039364805,0.9324541408181938,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.0,7,gauche,pdv,10000,0.27227143077546617,0.14258146663019808,0.37759961153343113,0.8817159331070008,0.9393923985497447,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.1,0,gauche,pdv,10000,0.2967473605759269,0.159175237581172,0.3989677149609627,0.8594908990991146,0.9276482690408326,default,mse
0.1,1,gauche,pdv,10000,0.2905816267035067,0.15585527510737104,0.3947850999054689,0.8586849681119223,0.9277396902258885,default,mse
0.1,2,gauche,pdv,10000,0.2808500312156899,0.1503298094435194,0.3877238829934512,0.8639963304111864,0.9299851917745938,default,mse
0.1,4,gauche,pdv,10000,0.28950270630573527,0.15131739343762643,0.38899536428809334,0.8633519984237024,0.9300550582277629,default,mse
0.1,5,gauche,pdv,10000,0.2981094642507527,0.1616407455554262,0.40204570082942837,0.8613092759190188,0.9291155006458622,default,mse
0.1,6,gauche,pdv,10000,0.2832052251548321,0.15452760549302236,0.3930999942673904,0.8566395585205944,0.927396559739404,default,mse
0.1,7,gauche,pdv,10000,0.28225996140710435,0.15051277387273024,0.3879597580583974,0.8751730684942005,0.935955242991218,default,mse
0.0,0,gauche,pdv,10000,0.2899437073557116,0.1542918264166386,0.3927999827095702,0.8638410260805758,0.9300889254691846,default,mse
0.1,8,gauche,pdv,10000,0.27759253863434513,0.14385359534345124,0.37928036509085367,0.8607592679067976,0.9283676722532406,default,mse
0.1,9,gauche,pdv,10000,0.28466142997700294,0.16092671474848338,0.40115672093146265,0.8536343521808736,0.9263534355127356,default,mse
0.0,1,gauche,pdv,10000,0.2828910068713141,0.14972798483182542,0.3869470051981607,0.8648134197280625,0.9309864567317783,default,mse
0.2,0,gauche,pdv,10000,0.31272486277746825,0.1744606822018473,0.41768490779754935,0.8457339677175705,0.9201347285820394,default,mse
0.0,2,gauche,pdv,10000,0.27252504608989847,0.1434133618062466,0.3786995666834682,0.8698399666373291,0.9330699817906943,default,mse
0.2,1,gauche,pdv,10000,0.30565694674425276,0.1702403129045196,0.4126018818480105,0.8446331257710359,0.9201911124796024,default,mse
0.0,3,gauche,pdv,10000,0.2912808393944064,0.15952933748225512,0.3994112385527667,0.8534539320883439,0.9249011870436126,default,mse
0.2,3,gauche,pdv,10000,0.30781539376762157,0.17390825662037337,0.417023088833668,0.8395689420019528,0.917171682017564,default,mse
0.0,4,gauche,pdv,10000,0.2833868512981068,0.14809645360113366,0.38483302041422285,0.8663206674696471,0.9317022123658628,default,mse
0.2,4,gauche,pdv,10000,0.3064088250938563,0.16481117893216526,0.4059694310316545,0.8508709881416165,0.9233355661885835,default,mse
0.2,6,gauche,pdv,10000,0.3027835504670571,0.17436840441690446,0.41757442979294657,0.839117912697477,0.9180131833140481,default,mse
0.0,5,gauche,pdv,10000,0.2881871281542984,0.1538761017519152,0.3922704446576561,0.8675861033299006,0.9324541386226403,default,mse
0.2,7,gauche,pdv,10000,0.3011232228163843,0.16902194151957542,0.4111227815623642,0.8597176803312725,0.9277509437169424,default,mse
0.0,6,gauche,pdv,10000,0.27215348280393575,0.14739514174412963,0.3839207493013755,0.8627044182832813,0.9306052622365588,default,mse
0.2,8,gauche,pdv,10000,0.29276301183250847,0.1601659979824043,0.4002074436869013,0.8454263082258971,0.9200457449018585,default,mse
0.2,9,gauche,pdv,10000,0.29886063142555097,0.17576229785144762,0.4192401434159754,0.8413457619503892,0.9194977235272264,default,mse
0.0,7,gauche,pdv,10000,0.27227143077550414,0.14258146663016213,0.3775996115333835,0.8817159331070307,0.9393923985497401,default,mse
0.3,0,gauche,pdv,10000,0.33203030193050065,0.19864321203754473,0.44569407897967944,0.8238160819489961,0.9080951781361049,default,mse
0.1,0,gauche,pdv,10000,0.29674736057594,0.15917523758113894,0.3989677149609213,0.8594908990991438,0.9276482690408068,default,mse
0.3,2,gauche,pdv,10000,0.3209763099507934,0.1944049259823563,0.44091373984301774,0.8247552114398828,0.9088149047196662,default,mse
0.1,2,gauche,pdv,10000,0.28085003121565943,0.15032980944343066,0.3877238829933367,0.8639963304112667,0.9299851917745919,default,mse
0.3,3,gauche,pdv,10000,0.32465114887022933,0.19401970180294875,0.44047667566279686,0.8203215098644824,0.9065733265349658,default,mse
0.3,4,gauche,pdv,10000,0.325959964970924,0.18712658834802698,0.43258130836644687,0.8301043801249688,0.9120666203623949,default,mse
0.1,3,gauche,pdv,10000,0.29409749638613986,0.16197673263389414,0.4024633307941161,0.8509846512510141,0.9234489713699552,default,mse
0.3,5,gauche,pdv,10000,0.3328967171074709,0.20663997949927676,0.4545767036477747,0.8231324739652819,0.908624667884548,default,mse
0.1,4,gauche,pdv,10000,0.2895027063057107,0.15131739343751044,0.38899536428794423,0.863351998423807,0.9300550582277499,default,mse
0.3,6,gauche,pdv,10000,0.32550385155741185,0.20499468678604074,0.45276338940559313,0.8121273319430665,0.9033458208623079,default,mse
0.1,5,gauche,pdv,10000,0.2981094642508075,0.16164074555548494,0.4020457008295014,0.8613092759189686,0.9291155006458829,default,mse
0.3,7,gauche,pdv,10000,0.32241221987557767,0.1968860446513604,0.4437184294700417,0.8363088586252265,0.9151597620215608,default,mse
0.3,8,gauche,pdv,10000,0.31077274217561196,0.18513873017544877,0.4302775036827382,0.8217923089170016,0.9071245264923009,default,mse
0.1,6,gauche,pdv,10000,0.2832052252742469,0.15452760577227106,0.3930999946225783,0.856639558261526,0.9273965596107272,default,mse
0.3,9,gauche,pdv,10000,0.31726718276686017,0.1982458333976441,0.4452480582749846,0.8221432096593774,0.9088166062153931,default,mse
0.1,7,gauche,pdv,10000,0.28225996140704324,0.1505127738726666,0.38795975805831534,0.8751730684942532,0.9359552429912328,default,mse
0.4,0,gauche,pdv,10000,0.35139499800257734,0.22976559178463465,0.47933870257327926,0.7953550810925762,0.8922421550522817,default,mse
0.1,8,gauche,pdv,10000,0.27759253863439765,0.14385359534353295,0.37928036509096136,0.8607592679067184,0.9283676722532175,default,mse
0.4,1,gauche,pdv,10000,0.34319100464440216,0.2194894524852566,0.4684970143824361,0.7958994312475036,0.8934470045222919,default,mse
0.1,9,gauche,pdv,10000,0.284661429976975,0.1609267147483881,0.40115672093134386,0.8536343521809603,0.9263534355127556,default,mse
0.4,3,gauche,pdv,10000,0.3426399264197049,0.22072709841870045,0.4698160261407655,0.7945979017981626,0.892246853802154,default,mse
0.4,4,gauche,pdv,10000,0.34551977046016513,0.21639197871334562,0.4651795123533985,0.8026258077939743,0.8969253220577178,default,mse
0.2,0,gauche,pdv,10000,0.31272486277760775,0.17446068220192237,0.4176849077976392,0.8457339677175041,0.9201347285820013,default,mse
0.4,5,gauche,pdv,10000,0.3520076680091993,0.24108160604384696,0.4910006171522058,0.7935664702564993,0.8924082238230313,default,mse
0.2,1,gauche,pdv,10000,0.30565694674407107,0.17024031290430144,0.4126018818477461,0.844633125771235,0.9201911124796328,default,mse
0.4,6,gauche,pdv,10000,0.3474311061721599,0.24403265273219615,0.4939966120655041,0.7780559237646238,0.8844477652416798,default,mse
0.4,8,gauche,pdv,10000,0.32924505410038724,0.2171997367462609,0.46604692547667437,0.7914002521899729,0.8902607866667195,default,mse
0.2,2,gauche,pdv,10000,0.2993986050642485,0.16780740774142952,0.4096430247684312,0.8485291173758235,0.9217066594661456,default,mse
0.4,9,gauche,pdv,10000,0.3369473952137682,0.22714422179341895,0.4765964978820333,0.7971569656781099,0.8948133072918509,default,mse
0.2,3,gauche,pdv,10000,0.30781539376764433,0.17390825662039225,0.41702308883369066,0.8395689420019353,0.9171716820175686,default,mse
0.5,0,gauche,pdv,10000,0.36987289168737997,0.26588318169314307,0.515638615401468,0.7619631158707952,0.8732884440222911,default,mse
0.5,1,gauche,pdv,10000,0.3607816319598937,0.2513459924145532,0.5013441855796805,0.7635814351960746,0.8752402486679816,default,mse
0.2,4,gauche,pdv,10000,0.3064088250938688,0.16481117893203087,0.40596943103148897,0.8508709881417381,0.9233355661885947,default,mse
0.5,3,gauche,pdv,10000,0.3601473050910063,0.25242463827994116,0.502418787745782,0.7637869387139054,0.8747936781893773,default,mse
0.2,6,gauche,pdv,10000,0.302783550467183,0.17436840441710222,0.4175744297931834,0.8391179126972945,0.9180131833140229,default,mse
0.5,4,gauche,pdv,10000,0.36525602997085027,0.25068361944103884,0.500683152743368,0.7700636197618135,0.878624970346155,default,mse
0.2,7,gauche,pdv,10000,0.30112322281640364,0.1690219415195794,0.41112278156236903,0.8597176803312692,0.9277509437169144,default,mse
0.5,5,gauche,pdv,10000,0.3713965558885708,0.28113014022295774,0.5302170689660582,0.758935728862012,0.8729948581856366,default,mse
0.2,8,gauche,pdv,10000,0.2927630124504742,0.16016599813368979,0.4002074438759102,0.8454263080798938,0.9200457448437894,default,mse
0.5,6,gauche,pdv,10000,0.36820851298613083,0.2891541331855512,0.5377305395693565,0.739188409857402,0.862335189280452,default,mse
0.5,8,gauche,pdv,10000,0.34691706729304644,0.25462799768334027,0.5046067753046329,0.7559073000107355,0.8701614238349318,default,mse
0.2,9,gauche,pdv,10000,0.2988606314256454,0.17576229785155492,0.4192401434161034,0.8413457619502923,0.9194977235271979,default,mse
0.5,9,gauche,pdv,10000,0.3552546138691764,0.2610366687608397,0.5109174774470332,0.7676238211676629,0.8780403463141131,default,mse
0.3,0,gauche,pdv,10000,0.3320303019305324,0.19864321203751747,0.44569407897964886,0.8238160819490203,0.9080951781360653,default,mse
0.6,0,gauche,pdv,10000,0.3868573146577837,0.3052255170494577,0.5524721866750015,0.725130659941263,0.8519012972871551,default,mse
0.3,1,gauche,pdv,10000,0.32461339647601495,0.1919247171439485,0.43809213316829654,0.8233421605066227,0.9086102425030329,default,mse
0.6,1,gauche,pdv,10000,0.37695286948039014,0.285952140120851,0.5347449299627356,0.727694517199361,0.8545555308522831,default,mse
0.3,2,gauche,pdv,10000,0.3209763099507883,0.19440492598238893,0.4409137398430547,0.8247552114398535,0.9088149047196556,default,mse
0.6,2,gauche,pdv,10000,0.3822583256387452,0.3099002241552751,0.5566868277184894,0.7203244690268907,0.8497801997051047,default,mse
0.6,3,gauche,pdv,10000,0.3767275935935729,0.28757983586451374,0.536264706898108,0.7292393683393086,0.8548067319607828,default,mse
0.3,3,gauche,pdv,10000,0.3246511488701717,0.19401970180285205,0.4404766756626871,0.820321509864572,0.9065733265349832,default,mse
0.6,4,gauche,pdv,10000,0.38312892594121045,0.2882200042783127,0.5368612523532619,0.7339500195532054,0.8578536195795833,default,mse
0.3,4,gauche,pdv,10000,0.3259599649708939,0.18712658834794044,0.43258130836634684,0.8301043801250473,0.9120666203623892,default,mse
0.6,6,gauche,pdv,10000,0.3878352280668929,0.3382682753342438,0.5816083521874869,0.6975072764473653,0.8379194941654908,default,mse
0.3,5,gauche,pdv,10000,0.33289671710748386,0.2066399794993104,0.45457670364781166,0.8231324739652531,0.9086246678845933,default,mse
0.6,7,gauche,pdv,10000,0.3823895620939605,0.318308203801321,0.5641880925731427,0.732750727185143,0.8570471153921498,default,mse
0.6,8,gauche,pdv,10000,0.36319530623834667,0.29571697231798616,0.5437986505297583,0.7169288447244535,0.84753597102096,default,mse
0.3,6,gauche,pdv,10000,0.3255038515574916,0.20499468678608132,0.45276338940563793,0.8121273319430293,0.9033458208622751,default,mse
0.7,0,gauche,pdv,10000,0.4020567410994289,0.34625828908611095,0.5884371581452951,0.6861837129619606,0.8286929623492669,default,mse
0.3,7,gauche,pdv,10000,0.32241221987554186,0.19688604465138015,0.443718429470064,0.8363088586252101,0.9151597620215779,default,mse
0.7,1,gauche,pdv,10000,0.3908730748983947,0.3219347358423927,0.5673929289675653,0.6894795091637914,0.8319500995574024,default,mse
0.3,8,gauche,pdv,10000,0.3107727421756277,0.1851387301754908,0.430277503682787,0.8217923089169611,0.907124526492283,default,mse
0.7,2,gauche,pdv,10000,0.39883886294789783,0.354185540247607,0.5951348924803578,0.6797957523667473,0.8257055531876549,default,mse
0.3,9,gauche,pdv,10000,0.3172671827668564,0.19824583339766758,0.44524805827501096,0.8221432096593563,0.9088166062153814,default,mse
0.7,3,gauche,pdv,10000,0.39232477729271104,0.32480988706812536,0.5699209480867723,0.6922148422987946,0.8328578761883814,default,mse
0.4,0,gauche,pdv,10000,0.3513949980025851,0.22976559178460595,0.4793387025732493,0.7953550810926018,0.8922421550522797,default,mse
0.7,4,gauche,pdv,10000,0.398649578043196,0.32742220162389835,0.5722081803189276,0.6956857349239336,0.8352664928888434,default,mse
0.4,1,gauche,pdv,10000,0.34319100464445507,0.21948945248523255,0.4684970143824105,0.795899431247526,0.8934470045223208,default,mse
0.7,5,gauche,pdv,10000,0.406754223447889,0.3708328797176398,0.6089604910974437,0.6803726149050264,0.8271196484450121,default,mse
0.4,2,gauche,pdv,10000,0.34316402542191254,0.22824435707069698,0.47774926171653787,0.7943375167631128,0.8920345673052495,default,mse
0.7,6,gauche,pdv,10000,0.40564750363728125,0.3895700724460058,0.6241554873955734,0.6546479370540521,0.8119956301725323,default,mse
0.4,4,gauche,pdv,10000,0.3455197704602607,0.21639197871345317,0.46517951235351407,0.8026258077938763,0.8969253220577179,default,mse
0.7,7,gauche,pdv,10000,0.39941608099855386,0.36523768491280345,0.6043489760997395,0.6920316965573299,0.8330212574231535,default,mse
0.7,8,gauche,pdv,10000,0.3781634015876449,0.33888316903027405,0.582136727092763,0.6759548169970456,0.8230720278550918,default,mse
0.4,5,gauche,pdv,10000,0.35200766800914557,0.2410816060437929,0.4910006171521507,0.7935664702565457,0.8924082238230424,default,mse
0.7,9,gauche,pdv,10000,0.38714580034334517,0.3380418542954297,0.5814136688240393,0.6997488942384712,0.8383861638535034,default,mse
0.4,6,gauche,pdv,10000,0.3474311061721147,0.24403265273212674,0.4939966120654338,0.7780559237646869,0.8844477652416656,default,mse
0.8,0,gauche,pdv,10000,0.4153872669407262,0.38770280590826134,0.6226578562166074,0.6462692907955587,0.8042187108435459,default,mse
0.4,7,gauche,pdv,10000,0.3432600923533344,0.2323307956679656,0.4820070493965473,0.8063372603747823,0.8987541043562317,default,mse
0.8,1,gauche,pdv,10000,0.4031024305339161,0.3581439215261692,0.5984512691323908,0.6500527495272068,0.8079515339427212,default,mse
0.4,8,gauche,pdv,10000,0.3292450541003821,0.21719973674624174,0.46604692547665383,0.7914002521899913,0.8902607866667246,default,mse
