sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,randomized_smiles,10000,0.43538557511790843,0.3233794937141538,0.5686646584008486,0.7146250642480316,0.845597761371297,default,mse
0.0,1,gauche,randomized_smiles,10000,0.4313063171792988,0.3087141802525076,0.5556205362047983,0.7212677753149039,0.8493919440601998,default,mse
0.0,2,gauche,randomized_smiles,10000,0.4167716106059629,0.3225399666064825,0.5679260221247856,0.7072670754973827,0.8418621181309824,default,mse
0.0,3,gauche,randomized_smiles,10000,0.42585945488331833,0.3127548537231476,0.5592448960188618,0.7126986499363442,0.8449538052404034,default,mse
0.0,4,gauche,randomized_smiles,10000,0.41367693959283336,0.2939573086258736,0.5421782996633797,0.7346592990311489,0.8580107671811327,default,mse
0.0,5,gauche,randomized_smiles,10000,0.41957812830145563,0.2948613310545695,0.5430113544435047,0.7462650965436107,0.8640751610183879,default,mse
0.0,6,gauche,randomized_smiles,10000,0.4314760967589939,0.3323489480172315,0.5764971361743538,0.6904237031762095,0.8341448322965914,default,mse
0.0,7,gauche,randomized_smiles,10000,0.4395426169810516,0.31919091067657696,0.5649698316517237,0.7352026183877871,0.8581922931280601,default,mse
0.0,8,gauche,randomized_smiles,10000,0.4036109311242734,0.2870050627131774,0.5357285345332815,0.7213096449751756,0.8500815091178193,default,mse
0.0,9,gauche,randomized_smiles,10000,0.40671210772148164,0.2883405945315413,0.5369735510539987,0.735415926944327,0.8579967665453447,default,mse
0.1,0,gauche,randomized_smiles,10000,0.4496239338996625,0.33905066584377613,0.5822805731292915,0.70070907421601,0.837652959318085,default,mse
0.1,1,gauche,randomized_smiles,10000,0.4306147178130144,0.31511601282536944,0.5613519509410914,0.714282180245852,0.8452571932550328,default,mse
0.1,2,gauche,randomized_smiles,10000,0.4202079094005735,0.3227419897564107,0.5681038547276464,0.708014697153204,0.8424860096379043,default,mse
0.1,3,gauche,randomized_smiles,10000,0.437297034470596,0.3254486630030531,0.5704810803199815,0.7005937505425206,0.8378637055676674,default,mse
0.1,4,gauche,randomized_smiles,10000,0.4178630316710473,0.3035990960644715,0.5509982722881003,0.7258331721483082,0.8525296525342183,default,mse
0.1,5,gauche,randomized_smiles,10000,0.4350533091056145,0.3154128388984803,0.5616162737122922,0.7293699997426201,0.8541417720552112,default,mse
0.1,6,gauche,randomized_smiles,10000,0.4235361772924766,0.3307287273304512,0.5750901906053095,0.6931718691379296,0.8345583432822461,default,mse
0.1,7,gauche,randomized_smiles,10000,0.4381004422670753,0.33092345630766773,0.5752594686814531,0.7255504728847213,0.8519155885237903,default,mse
0.1,8,gauche,randomized_smiles,10000,0.41531985697959595,0.29781012652240557,0.5457198241977339,0.7117395645013558,0.8448988810742002,default,mse
0.1,9,gauche,randomized_smiles,10000,0.4116973957620893,0.31301125540142516,0.5594740882305678,0.715310815590117,0.846458899343023,default,mse
0.2,0,gauche,randomized_smiles,10000,0.46692830788974776,0.36353123618454686,0.6029355157763945,0.678549225480886,0.8238351509046171,default,mse
0.2,1,gauche,randomized_smiles,10000,0.4425580192040902,0.31777668509037393,0.5637168483293487,0.7099866099692624,0.8429166050286536,default,mse
0.2,2,gauche,randomized_smiles,10000,0.43664007722615295,0.33093911328416253,0.5752730771417714,0.7012787441347348,0.8383780581083473,default,mse
0.2,3,gauche,randomized_smiles,10000,0.4373797719956304,0.3274938659964709,0.572270797784118,0.6978856068669861,0.8357651613223491,default,mse
0.2,4,gauche,randomized_smiles,10000,0.42779232345456036,0.3044777726245185,0.5517950458499229,0.724493995743912,0.8514554883019507,default,mse
0.2,5,gauche,randomized_smiles,10000,0.4426775936576579,0.3316798728330307,0.5759165502336521,0.7159213548236694,0.8461954377050773,default,mse
0.2,6,gauche,randomized_smiles,10000,0.4387759711820761,0.3508841770499812,0.592354772961256,0.6762545428226889,0.8239208695550762,default,mse
0.2,7,gauche,randomized_smiles,10000,0.446905289315512,0.34459353477596666,0.5870208980743076,0.7139993780297433,0.8452386645383271,default,mse
0.2,9,gauche,randomized_smiles,10000,0.42208755578966306,0.30946227610671473,0.5562933363853235,0.7206596510116989,0.8494137074186603,default,mse
0.3,0,gauche,randomized_smiles,10000,0.4591317593471656,0.3631083553569482,0.6025847287784085,0.6779459410284208,0.8234694707240081,default,mse
0.3,1,gauche,randomized_smiles,10000,0.4633024374615104,0.3532545995588912,0.5943522520853195,0.6748454535828944,0.8217752773597167,default,mse
0.3,2,gauche,randomized_smiles,10000,0.4545950146351165,0.36138982572616296,0.6011570724246392,0.6742279894548207,0.8218633119056397,default,mse
0.3,3,gauche,randomized_smiles,10000,0.4545408659261756,0.3567739700673518,0.5973055918601062,0.6695974292009665,0.8200971369552487,default,mse
0.3,4,gauche,randomized_smiles,10000,0.463598444355294,0.3523486369460422,0.5935896199783501,0.6800962887500783,0.8250812835559782,default,mse
0.3,5,gauche,randomized_smiles,10000,0.4487524327067698,0.3415703059574982,0.5844401645656279,0.707642755637053,0.8413739118830275,default,mse
0.3,6,gauche,randomized_smiles,10000,0.45895968877201654,0.36625546207454235,0.6051904345530772,0.664335735090599,0.8166859984500201,default,mse
0.3,7,gauche,randomized_smiles,10000,0.4695855637869115,0.38178084071672513,0.6178841644812765,0.6825872464317927,0.8264413326360289,default,mse
0.3,8,gauche,randomized_smiles,10000,0.4408193528125773,0.333451726691856,0.5774527917430619,0.6790317064123685,0.8246236912861014,default,mse
0.3,9,gauche,randomized_smiles,10000,0.4413488580416118,0.3532311908078328,0.5943325591012433,0.6830976733858368,0.827050201917533,default,mse
0.4,0,gauche,randomized_smiles,10000,0.47362247235164395,0.39517083420141386,0.6286261482005134,0.6480338823076319,0.8050634440211523,default,mse
0.4,1,gauche,randomized_smiles,10000,0.47102177567830883,0.36557909706961883,0.6046313728790617,0.6600524499420068,0.8126649981263563,default,mse
0.4,4,gauche,randomized_smiles,10000,0.464678477917372,0.36722739148867845,0.6059928972262616,0.6650466889670634,0.8158250520635113,default,mse
0.4,5,gauche,randomized_smiles,10000,0.4623292101899669,0.37064819567668905,0.6088088334417373,0.6826210983815889,0.8262098052687021,default,mse
0.4,6,gauche,randomized_smiles,10000,0.45671730412240763,0.3806126621940578,0.6169381348190901,0.6538384319952016,0.8099330926246828,default,mse
0.4,7,gauche,randomized_smiles,10000,0.4861007570581355,0.41956995900134175,0.6477422010347494,0.6502613117170855,0.8066268422112768,default,mse
0.4,8,gauche,randomized_smiles,10000,0.45204913595838925,0.3602795838713391,0.6002329413413922,0.6539856287926342,0.8092549458588109,default,mse
0.4,9,gauche,randomized_smiles,10000,0.4471633208773033,0.38079989304579687,0.6170898581615135,0.6599402566132165,0.8131286919576326,default,mse
0.5,0,gauche,randomized_smiles,10000,0.5012052111077712,0.43642720144394326,0.6606263705332563,0.6092803970548237,0.7808022158229391,default,mse
0.5,2,gauche,randomized_smiles,10000,0.480756595902594,0.42647924951930954,0.6530537876157748,0.6155570640888671,0.7846784844293487,default,mse
0.5,3,gauche,randomized_smiles,10000,0.47425076852635895,0.4097387680402383,0.6401084033507436,0.6165760625195328,0.7866745624025036,default,mse
0.5,4,gauche,randomized_smiles,10000,0.4836605658746387,0.3948965916420199,0.6284079818414307,0.6377860944682908,0.7991098322567235,default,mse
0.5,5,gauche,randomized_smiles,10000,0.48674086932383737,0.42032829462244015,0.6483273051649453,0.6395757000602189,0.7997627099170767,default,mse
0.5,6,gauche,randomized_smiles,10000,0.4957686925695949,0.4384808070593158,0.6621788331405013,0.6044985583423631,0.778894165564211,default,mse
0.5,7,gauche,randomized_smiles,10000,0.49201508338991434,0.44658350759974713,0.6682690383369164,0.6265053998639702,0.7917283239400927,default,mse
0.5,8,gauche,randomized_smiles,10000,0.4811742586064448,0.40692648882810917,0.6379078999574384,0.6099101973902721,0.781922027752236,default,mse
0.5,9,gauche,randomized_smiles,10000,0.4535520073093874,0.39052392199362723,0.624919132363242,0.6523536054674373,0.8078186394546398,default,mse
0.6,0,gauche,randomized_smiles,10000,0.49618400819146985,0.4468433069540214,0.668463392381379,0.5975974548936105,0.7730837992828259,default,mse
0.6,1,gauche,randomized_smiles,10000,0.4815968505972413,0.39907495531056264,0.6317237966948551,0.6199703267352388,0.7874814232311012,default,mse
0.6,2,gauche,randomized_smiles,10000,0.5024012659889038,0.47064015841055334,0.6860321846754374,0.5752615650423393,0.7593747887439042,default,mse
0.6,3,gauche,randomized_smiles,10000,0.4886584369827974,0.4240822805566303,0.6512160014592933,0.6007203154058525,0.7758298767498351,default,mse
0.6,4,gauche,randomized_smiles,10000,0.49330783372184644,0.4262999822253879,0.6529165201045137,0.6064912211089455,0.7790428099330869,default,mse
0.6,5,gauche,randomized_smiles,10000,0.49264179079378906,0.4349218951001144,0.6594860840837465,0.6262267093666465,0.7914186607861549,default,mse
0.6,6,gauche,randomized_smiles,10000,0.5017872788586488,0.4763383950942726,0.6901727284486635,0.5740395745880017,0.7587554526084552,default,mse
0.6,7,gauche,randomized_smiles,10000,0.511367438063524,0.48102253287005037,0.6935578799711315,0.5961369497176996,0.7723322950303628,default,mse
0.6,8,gauche,randomized_smiles,10000,0.47832809741113885,0.42907775409410803,0.6550402690629852,0.589271002599574,0.7677777398698598,default,mse
0.6,9,gauche,randomized_smiles,10000,0.47727928338177783,0.4387825951827246,0.6624066690355137,0.6100775201305386,0.781100116751013,default,mse
0.7,1,gauche,randomized_smiles,10000,0.49853154433916597,0.43535495501974525,0.6598143337483244,0.5800806211017591,0.7616628401095153,default,mse
0.7,2,gauche,randomized_smiles,10000,0.5074344100169033,0.49141518134129547,0.7010101150064066,0.5557322066085923,0.7456024423595912,default,mse
0.7,3,gauche,randomized_smiles,10000,0.5028474106516281,0.4737312460662083,0.688281371290992,0.551099113408777,0.7428995137498196,default,mse
0.7,4,gauche,randomized_smiles,10000,0.4892146697619191,0.44255768402108675,0.6652500913348954,0.5886759795191205,0.767350508302453,default,mse
0.7,5,gauche,randomized_smiles,10000,0.5069016023797003,0.46809661776966405,0.68417586757329,0.5965392873915596,0.7724880925414781,default,mse
0.7,6,gauche,randomized_smiles,10000,0.5064265137241332,0.5294016388802437,0.7275999167676174,0.5306879017520062,0.7299713137631612,default,mse
0.7,7,gauche,randomized_smiles,10000,0.5281161587747406,0.5128447680328568,0.7161318091195621,0.5675694495264499,0.753700133139831,default,mse
0.7,8,gauche,randomized_smiles,10000,0.49459177291673534,0.47522417965807884,0.6893650554373052,0.5455834920766631,0.7393719080474871,default,mse
