sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,smiles,10000,0.3718933935850892,0.24934865064486156,0.4993482258352998,0.7799555737429775,0.8833666316050335,default,mse
0.0,1,gauche,smiles,10000,0.33755076652780724,0.19557367074776927,0.4422371204995904,0.8234202125319656,0.9074306060147441,default,mse
0.0,2,gauche,smiles,10000,0.33010708747619816,0.2082878914859647,0.45638568282316294,0.8109607182803471,0.9011937409962814,default,mse
0.0,3,gauche,smiles,10000,0.3497082965251328,0.23221795747045604,0.48188998482066014,0.7866810637914369,0.8880549103238884,default,mse
0.0,4,gauche,smiles,10000,0.3361479907870905,0.21038242387543216,0.45867463836082345,0.8100982075132536,0.9003957364365702,default,mse
0.0,5,gauche,smiles,10000,0.33196047538950374,0.2041576573793029,0.45183808757042926,0.8243176773985561,0.907926904030065,default,mse
0.0,6,gauche,smiles,10000,0.3436820495165124,0.23587502691088805,0.48566966851028287,0.7802872018102532,0.885046113749335,default,mse
0.0,7,gauche,smiles,10000,0.33953042876926504,0.21573764897485725,0.4644756710257893,0.8210263430038549,0.9062766420993283,default,mse
0.0,8,gauche,smiles,10000,0.3178070688577858,0.18297239186451936,0.42775272280199383,0.8223284273580065,0.9072905729987252,default,mse
0.0,9,gauche,smiles,10000,0.34469257746143267,0.21486452512235324,0.4635348154371506,0.8028382673469641,0.8975568206308775,default,mse
0.1,0,gauche,smiles,10000,0.3713445644798125,0.2516419986679774,0.5016393113263526,0.7778675155819487,0.8821707530090732,default,mse
0.1,1,gauche,smiles,10000,0.3448821063040452,0.20247378938409105,0.4499708761509916,0.8164156459664191,0.9035606998692485,default,mse
0.1,2,gauche,smiles,10000,0.3360289723672617,0.21387514984215195,0.462466376985562,0.8065067379512734,0.8987758388181604,default,mse
0.1,3,gauche,smiles,10000,0.3547848656075951,0.2364320892669009,0.48624282952749126,0.7824872148940594,0.8858942170189549,default,mse
0.1,4,gauche,smiles,10000,0.3410400841852626,0.21261854799790791,0.4611057882936495,0.8079936547813695,0.8991059791811862,default,mse
0.1,5,gauche,smiles,10000,0.3361432335907929,0.20676829154216386,0.4547178152900586,0.8225890138502431,0.9069707021431669,default,mse
0.1,6,gauche,smiles,10000,0.3468050197408843,0.23564664201577237,0.4854344878722281,0.7813827081268918,0.8854214376733694,default,mse
0.1,7,gauche,smiles,10000,0.3484658379974626,0.22465470444804556,0.47397753580528007,0.8136838709231136,0.9022754791434453,default,mse
0.1,8,gauche,smiles,10000,0.32426911573237044,0.1890833594078555,0.43483716424410584,0.8169798583919059,0.9041965517740707,default,mse
