sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,smiles,10000,0.37916413111726693,0.25625077500873517,0.5062121837814013,0.7738646083751066,0.8802401251818981,default,mse
0.0,1,gauche_rbf,smiles,10000,0.3427607556015719,0.1984834908056996,0.44551486036461185,0.8207929907518814,0.9061493306009468,default,mse
0.0,2,gauche_rbf,smiles,10000,0.33275104154491686,0.21090360874206193,0.4592424291613983,0.8085867285695356,0.9001519951176241,default,mse
0.0,3,gauche_rbf,smiles,10000,0.3554579679328949,0.23767984078353752,0.48752419507501116,0.7816636949766669,0.8853316880507096,default,mse
0.0,4,gauche_rbf,smiles,10000,0.3420957110854222,0.21263442365196442,0.461123002735674,0.8080654388704869,0.8994028951975186,default,mse
0.0,5,gauche_rbf,smiles,10000,0.33773333767662267,0.21103685643774237,0.45938747962666804,0.8183979696406495,0.9048687176782646,default,mse
0.0,6,gauche_rbf,smiles,10000,0.34953906672720414,0.2403586768600018,0.4902638849232134,0.7761107729219365,0.8835013274804615,default,mse
0.0,7,gauche_rbf,smiles,10000,0.34421710961376584,0.21915246274748884,0.46813722640641264,0.8181934498498189,0.9047188653414021,default,mse
0.0,8,gauche_rbf,smiles,10000,0.3239051990241851,0.1860296404854907,0.4313115353030692,0.8193597490513485,0.906126335429772,default,mse
0.0,9,gauche_rbf,smiles,10000,0.34852392873197163,0.2178838771640934,0.46678033073823216,0.8000676811848231,0.8964888335234095,default,mse
0.1,0,gauche_rbf,smiles,10000,0.37883497066968796,0.2588096298472519,0.5087333583000548,0.7715404170464404,0.8789252885999294,default,mse
0.1,1,gauche_rbf,smiles,10000,0.3495650679636823,0.2051711345470154,0.4529582039736287,0.8139699448667983,0.9023846760538821,default,mse
0.1,2,gauche_rbf,smiles,10000,0.3401937994121709,0.21717439535315378,0.46601973708540906,0.8035219041512993,0.8974321634314271,default,mse
0.1,3,gauche_rbf,smiles,10000,0.36006589920937543,0.24161363588856938,0.49154209981299607,0.7777202958166617,0.8834152445744282,default,mse
0.1,4,gauche_rbf,smiles,10000,0.3463907186939619,0.21438065987025529,0.4630125914813282,0.8064023699961912,0.8983679513750797,default,mse
0.1,5,gauche_rbf,smiles,10000,0.34201810075327505,0.21352002401526254,0.4620822697477826,0.8167959035655962,0.9039296324964428,default,mse
0.1,6,gauche_rbf,smiles,10000,0.35240589380592713,0.2399809808541428,0.48987853683759486,0.7773615966406456,0.883986835380314,default,mse
0.1,7,gauche_rbf,smiles,10000,0.35349352671136863,0.22878599919071896,0.4783157944190417,0.8102576046162417,0.9004264341397717,default,mse
0.1,8,gauche_rbf,smiles,10000,0.33049657879987926,0.1920675515060705,0.4382551214829902,0.8140913585148597,0.9030669199753852,default,mse
0.1,9,gauche_rbf,smiles,10000,0.3568708925022427,0.2285598867202185,0.478079372824449,0.7921208051903874,0.8916975431609043,default,mse
0.2,0,gauche_rbf,smiles,10000,0.38832606291938476,0.27182604972632135,0.5213693985326732,0.7596391024438974,0.8721966928810516,default,mse
0.2,1,gauche_rbf,smiles,10000,0.36333230601954425,0.22193996862377247,0.4711050505182177,0.7974503300467415,0.8932491164603616,default,mse
0.2,2,gauche_rbf,smiles,10000,0.35484338449531855,0.23472718782470542,0.484486519755406,0.788124166899212,0.8889419244166974,default,mse
0.2,3,gauche_rbf,smiles,10000,0.37508435166769516,0.25645667417495543,0.5064155153379045,0.763417698687179,0.8757097555159339,default,mse
0.2,4,gauche_rbf,smiles,10000,0.3604208945350431,0.2265510469844384,0.47597378812749597,0.7950058121592758,0.8919783484280881,default,mse
0.2,5,gauche_rbf,smiles,10000,0.35738836415192043,0.22816248037011388,0.47766356399678833,0.8045823891875349,0.8971399291474105,default,mse
0.2,6,gauche_rbf,smiles,10000,0.3656239729441616,0.2524774567531008,0.5024713491863002,0.7670501122316088,0.8780396672290592,default,mse
0.2,7,gauche_rbf,smiles,10000,0.371183545797365,0.2497247624866661,0.499724686689247,0.7927371520797832,0.8908083023932831,default,mse
0.2,8,gauche_rbf,smiles,10000,0.34574422818821166,0.20958697874344404,0.4578067045636663,0.797730895069791,0.8939010364043225,default,mse
0.2,9,gauche_rbf,smiles,10000,0.37003604210996505,0.24773572004371033,0.49773056972995977,0.7763779696688642,0.8824883829495946,default,mse
0.3,0,gauche_rbf,smiles,10000,0.40401477088797216,0.29408823450098953,0.5422990268302069,0.7391624064290017,0.8605018563295067,default,mse
0.3,1,gauche_rbf,smiles,10000,0.38130179697680056,0.24705268349050152,0.49704394523070244,0.7725994131660531,0.879363412778062,default,mse
0.3,2,gauche_rbf,smiles,10000,0.3740135106866406,0.26149837807814497,0.5113691211621454,0.7642743477638156,0.875552225260662,default,mse
0.3,3,gauche_rbf,smiles,10000,0.39483788818150267,0.28025501209779347,0.5293911711558793,0.7404603916060785,0.862969895695371,default,mse
0.3,4,gauche_rbf,smiles,10000,0.37766719392194603,0.2472584361071948,0.4972508784378312,0.7755095860902783,0.8810003073118432,default,mse
0.3,5,gauche_rbf,smiles,10000,0.37732856885689475,0.25366041012735535,0.5036471087253012,0.782886693558086,0.8849920179340541,default,mse
0.3,6,gauche_rbf,smiles,10000,0.3857771853631072,0.2762703725156832,0.5256142811184673,0.7468048913688298,0.8663622414317107,default,mse
0.3,7,gauche_rbf,smiles,10000,0.3929222446335727,0.27996694978598263,0.5291190317744984,0.7672353587130446,0.8765934847189649,default,mse
0.3,8,gauche_rbf,smiles,10000,0.3668632947431544,0.23652120490633138,0.48633445786447355,0.7723334400177517,0.879579427017218,default,mse
0.3,9,gauche_rbf,smiles,10000,0.38706746124700553,0.2744545358599064,0.523884086282363,0.7537723643121552,0.8692946156021601,default,mse
0.4,0,gauche_rbf,smiles,10000,0.422421170313954,0.32363375928537524,0.5688881781909123,0.711749684057396,0.844584413666914,default,mse
0.4,1,gauche_rbf,smiles,10000,0.40047063138517197,0.27817324525787795,0.5274213166510033,0.7413300870451884,0.8616048399100998,default,mse
0.4,2,gauche_rbf,smiles,10000,0.394768030497822,0.2950148575479803,0.5431527018693548,0.7341731073934021,0.8582996014241172,default,mse
0.4,3,gauche_rbf,smiles,10000,0.41439960655571534,0.31071660232035964,0.5574195926950897,0.7108563356290618,0.8460908613034761,default,mse
0.4,4,gauche_rbf,smiles,10000,0.39502286161406847,0.27448852325324413,0.5239165231725796,0.7496351257146083,0.8662104335652523,default,mse
0.4,5,gauche_rbf,smiles,10000,0.3988348421462467,0.2878069953589944,0.5364764630055958,0.753556420534121,0.8683132259373011,default,mse
0.4,6,gauche_rbf,smiles,10000,0.40608317380873415,0.3090899089897422,0.5559585497046899,0.7188873146427339,0.8499805978328054,default,mse
0.4,7,gauche_rbf,smiles,10000,0.4150872370424174,0.3169794636553368,0.563009292690038,0.7357771226154808,0.8586949543261274,default,mse
0.4,8,gauche_rbf,smiles,10000,0.387821172915732,0.27043794761984397,0.5200364868159194,0.7402699997852005,0.8611747839968074,default,mse
0.4,9,gauche_rbf,smiles,10000,0.405924596213987,0.3071498723969212,0.5542110359753956,0.7257107769827584,0.8527600527396434,default,mse
0.5,0,gauche_rbf,smiles,10000,0.44116367691615815,0.3582648870470357,0.5985523260726966,0.679256668802767,0.8252964388946964,default,mse
0.5,1,gauche_rbf,smiles,10000,0.41827048409420114,0.3128059272645074,0.5592905571029314,0.705771603216722,0.8409584504649016,default,mse
0.5,2,gauche_rbf,smiles,10000,0.4142913742873313,0.3330162177164793,0.577075573661266,0.6998078274869319,0.8381164738648117,default,mse
0.5,3,gauche_rbf,smiles,10000,0.4325437383869298,0.34570020981974403,0.5879627622730406,0.6765018446487521,0.8259224968145196,default,mse
0.5,4,gauche_rbf,smiles,10000,0.41147747417575953,0.3064351125980304,0.5535658159587082,0.7189262675966561,0.8482886075969854,default,mse
0.5,5,gauche_rbf,smiles,10000,0.42012508196965986,0.32812275134989516,0.5728199990833902,0.7186403711988247,0.8480304805952659,default,mse
0.5,6,gauche_rbf,smiles,10000,0.4253581098393185,0.34871246584869925,0.5905188107492422,0.6854679138818194,0.8299067481047135,default,mse
0.5,7,gauche_rbf,smiles,10000,0.4362219306753262,0.35847414761712865,0.5987271061319411,0.7001945747101759,0.8379243997558835,default,mse
0.5,8,gauche_rbf,smiles,10000,0.4065378171510665,0.30913026471452093,0.5559948423452514,0.7036600780390128,0.8396484361499141,default,mse
0.5,9,gauche_rbf,smiles,10000,0.4234981908340155,0.34412520475906455,0.5866218584054507,0.6936579810744067,0.8335498933244374,default,mse
0.6,0,gauche_rbf,smiles,10000,0.45842532962031524,0.3959209899192589,0.6292225281402907,0.6434552973601003,0.8034707351495793,default,mse
0.6,1,gauche_rbf,smiles,10000,0.43402673394400604,0.34889236639335774,0.5906711152522677,0.6677580232970141,0.8182824784165632,default,mse
0.6,2,gauche_rbf,smiles,10000,0.43155765480533187,0.3736340653763876,0.6112561372913875,0.6628066149076908,0.8157734861590051,default,mse
0.6,3,gauche_rbf,smiles,10000,0.44835229432215024,0.3833552118005381,0.6191568555709758,0.639065447737325,0.8032299944943975,default,mse
