sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,sns,10000,0.304807828164511,0.1716326028040662,0.4142856536305188,0.8485381913503511,0.9223145413018505,default,mse
0.0,1,gauche,sns,10000,0.2990474150962468,0.1762985701888731,0.41987923286210893,0.8408233381526147,0.9186226182190611,default,mse
0.0,3,gauche,sns,10000,0.2990601429554446,0.17579692039463674,0.41928143340080865,0.8385102838048328,0.9171995441293199,default,mse
0.0,4,gauche,sns,10000,0.28248108560296964,0.14450097983546248,0.38013284498377997,0.8695661235318146,0.9340848453153159,default,mse
0.0,5,gauche,sns,10000,0.29087284884990544,0.1696884367769636,0.41193256338503226,0.8539792282383064,0.9250206891622192,default,mse
0.0,6,gauche,sns,10000,0.2755038503317261,0.1556440417723282,0.3945174796790735,0.8550207353986674,0.9263928593265516,default,mse
0.0,7,gauche,sns,10000,0.29628598538133294,0.16812111409607483,0.4100257480891594,0.8605285134466846,0.9290114497465009,default,mse
0.0,8,gauche,sns,10000,0.2797803787481482,0.14826688455687212,0.3850543916862553,0.8560284954385156,0.9259401014785743,default,mse
0.0,9,gauche,sns,10000,0.28518223033012624,0.1520410046833221,0.3899243576430204,0.8604857274573263,0.9288467807556273,default,mse
0.1,0,gauche,sns,10000,0.30793842258806187,0.1745116032509918,0.41774585964554073,0.845952995942195,0.9208469635439864,default,mse
0.1,1,gauche,sns,10000,0.3066543130940513,0.1824070982880776,0.42709144019527906,0.8346102504812023,0.9151646408456727,default,mse
0.1,2,gauche,sns,10000,0.29782226551977115,0.1619948949968617,0.40248589415886576,0.8534429049316039,0.9242827154834701,default,mse
0.1,3,gauche,sns,10000,0.3093611617328016,0.18167892664814575,0.42623811027188285,0.8328590274999178,0.9141101016435649,default,mse
0.1,4,gauche,sns,10000,0.28892962548714396,0.14868320590728792,0.38559461343137036,0.8657308159120325,0.9321433857892343,default,mse
0.1,5,gauche,sns,10000,0.29802434893521207,0.17583620217133153,0.4193282749485557,0.8491293138064031,0.9224018675946883,default,mse
0.1,6,gauche,sns,10000,0.28617700046301886,0.16255526739607024,0.40318143235529863,0.8491920273769095,0.9234521208759789,default,mse
0.1,7,gauche,sns,10000,0.30514556501081835,0.17384424903644094,0.41694633831758365,0.8558232393916392,0.9266244586908945,default,mse
