sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,continuous_pdv,10000,0.2520824612583882,0.11709619786035393,0.3421932171454512,0.89666530936332,0.9470889071818077,default,mse
0.0,1,gauche_rbf,continuous_pdv,10000,0.2585463454875967,0.13774766794205143,0.3711437294931054,0.875630222430121,0.9360599914922465,default,mse
0.0,2,gauche_rbf,continuous_pdv,10000,0.2446460312295595,0.11792160401307111,0.34339715201654064,0.8929759422747702,0.9450469669892425,default,mse
0.0,3,gauche_rbf,continuous_pdv,10000,0.26079295046395823,0.14000477368859768,0.3741721177327323,0.8713894923859541,0.9339126292508846,default,mse
0.0,4,gauche_rbf,continuous_pdv,10000,0.2561934998577215,0.12426406952196098,0.3525110913460185,0.8878329800121969,0.9426449935187482,default,mse
0.0,5,gauche_rbf,continuous_pdv,10000,0.24115583661223777,0.11052622246453819,0.332454842744903,0.9048896636051308,0.9513890881346804,default,mse
0.0,6,gauche_rbf,continuous_pdv,10000,0.25004250945002326,0.13337729257710007,0.365208560383105,0.8757617601537855,0.9366624841986633,default,mse
0.0,7,gauche_rbf,continuous_pdv,10000,0.24597915733104475,0.11445434465806667,0.3383110176421493,0.9050498940732468,0.9515041401612327,default,mse
0.0,8,gauche_rbf,continuous_pdv,10000,0.2518220877505343,0.11836536647048655,0.3440426811755869,0.8850637487281203,0.943019520255943,default,mse
0.0,9,gauche_rbf,continuous_pdv,10000,0.24335914201156836,0.11517420633739937,0.3393732551887367,0.894315052401093,0.9462794540575994,default,mse
0.1,0,gauche_rbf,continuous_pdv,10000,0.28876171713799514,0.1448264459138581,0.3805606993816599,0.8707444663059093,0.9332961688154835,default,mse
0.1,1,gauche_rbf,continuous_pdv,10000,0.29112917131964194,0.15910674568288705,0.3988818693333743,0.8546270074825583,0.9249207703201084,default,mse
0.1,2,gauche_rbf,continuous_pdv,10000,0.27949928080256653,0.14483791322166314,0.38057576541559124,0.8695280087995005,0.9325087571636375,default,mse
0.1,3,gauche_rbf,continuous_pdv,10000,0.2937831143897529,0.16504641007235454,0.4062590430653262,0.8494758213098047,0.9219372118861819,default,mse
0.1,4,gauche_rbf,continuous_pdv,10000,0.2977270706673983,0.1532669951790467,0.3914932888046061,0.8641337003440572,0.9297900734771145,default,mse
0.1,5,gauche_rbf,continuous_pdv,10000,0.2756365465716744,0.13199922913919326,0.36331698162787995,0.8849814556421903,0.9408526303447616,default,mse
0.1,6,gauche_rbf,continuous_pdv,10000,0.28525415480613175,0.15427797792672185,0.3927823543983638,0.8563370438723887,0.9260452034178848,default,mse
0.1,7,gauche_rbf,continuous_pdv,10000,0.28201028232030184,0.13749834963162774,0.37080769899184635,0.8861871016872166,0.9417053515306104,default,mse
0.1,8,gauche_rbf,continuous_pdv,10000,0.29657372785555297,0.1505779005831782,0.3880436838594054,0.8528484571190424,0.9256674075969432,default,mse
0.1,9,gauche_rbf,continuous_pdv,10000,0.28268545321463,0.14502521595514012,0.38082176402503587,0.8673549284648462,0.9318194561999553,default,mse
0.2,0,gauche_rbf,continuous_pdv,10000,0.3630433012087537,0.21936465074430003,0.46836380170151926,0.8011126169537126,0.8952477830527567,default,mse
0.2,1,gauche_rbf,continuous_pdv,10000,0.3635966331430551,0.22324230582508012,0.4724852440289327,0.7927189985168834,0.8909846701579647,default,mse
0.2,2,gauche_rbf,continuous_pdv,10000,0.35407460221205483,0.21293294156268963,0.46144657498207703,0.8083794015136856,0.8993018887006954,default,mse
0.2,3,gauche_rbf,continuous_pdv,10000,0.36366601084950173,0.2310499812901061,0.48067658700014304,0.7896303790463207,0.8888223518666666,default,mse
0.2,4,gauche_rbf,continuous_pdv,10000,0.37748474304157403,0.22912786259708118,0.47867302263348954,0.7992541676567723,0.8944743292099582,default,mse
0.2,5,gauche_rbf,continuous_pdv,10000,0.3425303725748521,0.19398919774085494,0.4404420481071885,0.827658135961451,0.9098725234481022,default,mse
0.2,6,gauche_rbf,continuous_pdv,10000,0.3629886731509788,0.22353150354714837,0.4727911838720646,0.7915084371906377,0.8902991827832649,default,mse
