sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,ecfp4,10000,0.30391802326141054,0.20986530375650522,0.45811058027129786,0.8147987156259849,0.9034367191378712,default,mse
0.0,0,gauche,ecfp4,10000,0.303918023261411,0.20986530375650533,0.458110580271298,0.8147987156259848,0.9034367191378712,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,1,gauche,ecfp4,10000,0.29528561543514525,0.17488530494675814,0.41819290398900616,0.8420993487481844,0.9191812118850784,default,mse
0.0,3,gauche,ecfp4,10000,0.2952850240336592,0.1814791521712095,0.4260036997154009,0.8332904995509677,0.9151202565878981,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599371,0.22419988569642077,0.4734975033687303,0.7965192068952526,0.8934376911302657,default,mse
0.0,5,gauche,ecfp4,10000,0.2922964008238476,0.19013004927739627,0.43603904558811735,0.8363887542492627,0.9150197124301672,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.0,4,gauche,ecfp4,10000,0.2907444239730754,0.1932086933185818,0.43955510839777734,0.8256000833655887,0.9098134926708823,default,mse
0.0,7,gauche,ecfp4,10000,0.3119152973859682,0.2330600949131655,0.48276298005663765,0.8066558262561806,0.8993156273951084,default,mse
0.0,5,gauche,ecfp4,10000,0.29229640082384745,0.19013004927739596,0.43603904558811696,0.836388754249263,0.9150197124301671,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.0,6,gauche,ecfp4,10000,0.28802156215551417,0.20741757436102215,0.45543119607798294,0.8067947410396822,0.9002061217501247,default,mse
0.1,0,gauche,ecfp4,10000,0.33256264780211076,0.2328859038467507,0.4825825357871446,0.792152658296629,0.8906076035248012,default,mse
