sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mhggnn,10000,0.296997428012569,0.1529787262112332,0.3911249496148682,0.8649998066898518,0.9303259948801166,default,mse
0.0,1,gauche,mhggnn,10000,0.2855409466967355,0.14830405560799828,0.3851026559347498,0.86609905863207,0.9312527458780695,default,mse
0.0,2,gauche,mhggnn,10000,0.2738108681664174,0.13398565507670304,0.3660405101579647,0.8783964261400964,0.9373830440535782,default,mse
0.0,3,gauche,mhggnn,10000,0.2877658031619869,0.15617028910735875,0.3951838674684972,0.8565396048494488,0.9273793924468249,default,mse
0.0,4,gauche,mhggnn,10000,0.277666445216557,0.13857291911526198,0.37225383693826714,0.8749170902903444,0.9361489275488335,default,mse
0.0,5,gauche,mhggnn,10000,0.2704220480427876,0.1297861543952395,0.3602584549947988,0.8883160527096801,0.9429659834496052,default,mse
0.0,6,gauche,mhggnn,10000,0.27807523951416036,0.14788988470254374,0.38456453906014754,0.8622435752631386,0.9307168735686598,default,mse
0.0,7,gauche,mhggnn,10000,0.28586458924523495,0.14736822104275507,0.38388568746796886,0.8777448926028114,0.937031715520619,default,mse
0.0,8,gauche,mhggnn,10000,0.26464214220522003,0.1297499613719565,0.3602082194675137,0.874008972324837,0.9355644413419957,default,mse
0.0,9,gauche,mhggnn,10000,0.27660006744656973,0.1298960626145147,0.3604109635048783,0.8808061370051607,0.9391822699582382,default,mse
0.1,0,gauche,mhggnn,10000,0.33258849284539554,0.18661745402156343,0.43199242356963097,0.8334465886807936,0.9131311581894574,default,mse
0.1,1,gauche,mhggnn,10000,0.3231179904451949,0.17941129091802335,0.42356970018879225,0.8360751070595518,0.9149433604257877,default,mse
0.1,2,gauche,mhggnn,10000,0.30625848069395384,0.16238503729172862,0.40297026849598794,0.8537213172617684,0.9241619608132632,default,mse
0.1,3,gauche,mhggnn,10000,0.3198896303560069,0.17890049474845174,0.4229663045071696,0.8368407405682137,0.916265079564177,default,mse
0.1,4,gauche,mhggnn,10000,0.31470386464582156,0.16998249423225115,0.4122893331536133,0.8493159439144474,0.9223612223109176,default,mse
0.1,5,gauche,mhggnn,10000,0.2988573259674056,0.15158292008235755,0.3893365126498638,0.8679170557958797,0.9320546935849644,default,mse
0.1,6,gauche,mhggnn,10000,0.30374253708023163,0.17231028226519704,0.4151027370003684,0.8395454435294769,0.9184119892862976,default,mse
0.1,7,gauche,mhggnn,10000,0.3177168839504942,0.1772728928135808,0.4210378757470411,0.8532641171515262,0.9240726255077738,default,mse
0.1,8,gauche,mhggnn,10000,0.30390687631982904,0.15976713752971386,0.3997088159269368,0.8438683186701439,0.9191734949884466,default,mse
0.1,9,gauche,mhggnn,10000,0.3105192303732559,0.16106737382329686,0.40133199950078347,0.8526822167989101,0.9239356772066416,default,mse
0.2,0,gauche,mhggnn,10000,0.39894301898385404,0.25924155955230227,0.5091576961534631,0.7649581407886185,0.8748663944413664,default,mse
0.2,1,gauche,mhggnn,10000,0.3909251166558016,0.25103050088589135,0.5010294411368371,0.7669175946103751,0.8762378297182454,default,mse
0.2,2,gauche,mhggnn,10000,0.3751297091029314,0.23229722576541229,0.4819722250974762,0.7909532780545665,0.889709238936089,default,mse
0.2,3,gauche,mhggnn,10000,0.3848061065935805,0.24361045443260826,0.49356909793118964,0.7781941436515671,0.8833477855623867,default,mse
0.2,4,gauche,mhggnn,10000,0.39064077224673555,0.2474214897552049,0.4974148065299272,0.7832265690539256,0.8862238685922671,default,mse
