sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mhggnn,10000,0.8900629645834747,1.148254259365253,1.0715662645703499,-0.013307868503663611,0.10912365988320992,default,mse
0.0,1,gauche_rbf,mhggnn,10000,0.8880239179985515,1.136038852696547,1.065851233848583,-0.02570810476478158,0.04436844554607796,default,mse
0.0,2,gauche_rbf,mhggnn,10000,0.8793110005825268,1.1189343163433596,1.05779691639906,-0.01552969759297218,0.05017154593692549,default,mse
0.0,3,gauche_rbf,mhggnn,10000,0.8715282835911494,1.1179188226898107,1.0573168033705937,-0.026937178422385744,0.035632142649821355,default,mse
0.0,4,gauche_rbf,mhggnn,10000,0.8834201464001403,1.1262042647669466,1.0612277157928671,-0.01656880192659682,0.02513602345390808,default,mse
0.0,5,gauche_rbf,mhggnn,10000,0.901605602037278,1.1704059868912662,1.0818530338688643,-0.007161057797962389,0.008782298091773996,default,mse
0.0,6,gauche_rbf,mhggnn,10000,0.8736443244732798,1.0894090248689814,1.0437475867607942,-0.014762386513917702,0.03144141438884859,default,mse
0.0,7,gauche_rbf,mhggnn,10000,0.9264930452307906,1.2215208247293017,1.1052243323096456,-0.01336067273185626,0.07166861899988572,default,mse
0.0,8,gauche_rbf,mhggnn,10000,0.8561095591289922,1.045463418709479,1.0224790553891454,-0.01517572049517013,nan,default,mse
0.0,9,gauche_rbf,mhggnn,10000,0.8810345527096957,1.0997207923776569,1.0486757327113356,-0.009114262748958213,0.018808339881836722,default,mse
0.1,0,gauche_rbf,mhggnn,10000,0.8848121876613478,1.1367848972614938,1.0662011523448536,-0.014564278393691676,0.09811467528928425,default,mse
0.1,1,gauche_rbf,mhggnn,10000,0.8796120559734343,1.1211816762634652,1.0588586668028293,-0.024403677761050124,0.03901758385521215,default,mse
0.1,2,gauche_rbf,mhggnn,10000,0.8810887540986521,1.128123361330826,1.0621315179067166,-0.01622909360322522,0.0539705422171353,default,mse
0.1,3,gauche_rbf,mhggnn,10000,0.8720627076172969,1.125145639701861,1.0607288247718458,-0.02614545356503495,0.036595688699401836,default,mse
0.1,4,gauche_rbf,mhggnn,10000,0.8942547898486609,1.1460221341961676,1.0705242333530651,-0.015912046263736324,0.027664581509970865,default,mse
0.1,5,gauche_rbf,mhggnn,10000,0.8978123610284819,1.1557700866535994,1.0750674800465314,-0.007089161399696398,0.0100597650035918,default,mse
0.1,6,gauche_rbf,mhggnn,10000,0.8693618891614021,1.087820860613315,1.0429865102738938,-0.012973871405158377,0.03362229678873062,default,mse
0.1,7,gauche_rbf,mhggnn,10000,0.9238137603301753,1.223020774159464,1.1059026965151428,-0.01234334358740985,0.06917450220060785,default,mse
0.1,8,gauche_rbf,mhggnn,10000,0.8497799342771177,1.0396018375272897,1.0196086688172525,-0.01594599062373514,nan,default,mse
0.1,9,gauche_rbf,mhggnn,10000,0.8785833052797546,1.1038379698162353,1.0506369352998377,-0.009608332628061156,0.013818167013814149,default,mse
0.2,0,gauche_rbf,mhggnn,10000,0.8785158141381612,1.1195007463055595,1.058064622934516,-0.01499750755472995,0.08596055381128992,default,mse
0.2,1,gauche_rbf,mhggnn,10000,0.8658002162606092,1.1008986601183537,1.0492371801067448,-0.02218697283817872,0.03301455562574885,default,mse
0.2,2,gauche_rbf,mhggnn,10000,0.8762138706603554,1.1293796795489222,1.0627227670229533,-0.01634067761062008,0.056526074796484964,default,mse
