sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mol2vec,10000,0.2982534453862827,0.15639971465190197,0.39547403789869945,0.8619808633881252,0.9289525047175009,default,mse
0.0,1,gauche,mol2vec,10000,0.287058284093604,0.14503541399890849,0.3808351533129636,0.8690502536392274,0.932369286415121,default,mse
0.0,2,gauche,mol2vec,10000,0.2834808705785872,0.1426273428956273,0.3776603538837871,0.8705533468017806,0.9333615014492589,default,mse
0.0,3,gauche,mol2vec,10000,0.29438250484898165,0.15339468669181924,0.3916563374845596,0.8590893153071172,0.9279140310957708,default,mse
0.0,4,gauche,mol2vec,10000,0.2912595150501511,0.15271278358311832,0.3907848302878687,0.86215373507035,0.9293903499525091,default,mse
0.0,5,gauche,mol2vec,10000,0.28079415848574807,0.13955883469439362,0.37357574157644874,0.8799064383212911,0.9382125341460849,default,mse
0.0,6,gauche,mol2vec,10000,0.2764696812672246,0.15048167319658115,0.3879196736395064,0.8598293769064974,0.9288961885291509,default,mse
0.0,7,gauche,mol2vec,10000,0.2892555749928915,0.1466568181419525,0.38295798482594995,0.8783350648762153,0.9372108933120371,default,mse
0.0,8,gauche,mol2vec,10000,0.2765124802916216,0.13940733732069308,0.37337291990809013,0.8646313763120054,0.9310960320266803,default,mse
0.0,9,gauche,mol2vec,10000,0.2818398302420201,0.1403340597647099,0.37461187883556213,0.8712281315043083,0.9342960192496523,default,mse
0.1,0,gauche,mol2vec,10000,0.3327840440598229,0.18708416614997936,0.43253227180174586,0.8330300547745774,0.9132304193986782,default,mse
0.1,1,gauche,mol2vec,10000,0.3213744080118522,0.17559105496661306,0.4190358635804495,0.8395655884341511,0.9165598659675137,default,mse
0.1,2,gauche,mol2vec,10000,0.3205009988448728,0.17226630237496565,0.4150497589144772,0.844820137299193,0.9195011562026362,default,mse
0.1,3,gauche,mol2vec,10000,0.32198079505182614,0.17774144035188164,0.4215939282673336,0.8378978111886803,0.9160244098504498,default,mse
0.1,4,gauche,mol2vec,10000,0.3318929390075282,0.19062033823914107,0.4366008912486793,0.8310211538664198,0.9126521024480969,default,mse
0.1,5,gauche,mol2vec,10000,0.307335136288933,0.1609353657611485,0.4011675033712832,0.8597677302643973,0.9274469760801846,default,mse
