sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,morgan,10000,0.35331470338364557,0.22483793839444383,0.4741707903218458,0.8015857113047637,0.9000898916321012,default,mse
0.0,1,gauche,morgan,10000,0.3444833769763461,0.21151509740974775,0.4599077053167817,0.8090269983475276,0.9043287775218579,default,mse
0.0,2,gauche,morgan,10000,0.340403005596089,0.22612212794836176,0.47552300464684333,0.7947746057472662,0.8948614674401084,default,mse
0.0,3,gauche,morgan,10000,0.35354362723230054,0.23873261291274042,0.4886027148028758,0.78069660253852,0.8890184109799358,default,mse
0.0,4,gauche,morgan,10000,0.336654460803053,0.20081150116169139,0.44811996291360573,0.8187374053398155,0.9097992569291316,default,mse
0.0,5,gauche,morgan,10000,0.3274955060626024,0.20668833386015684,0.4546298866772364,0.8221399725423368,0.9108991269549033,default,mse
0.0,6,gauche,morgan,10000,0.3403329623770619,0.22822676009861026,0.4777308448264674,0.7874114070499294,0.8895881151560086,default,mse
0.0,7,gauche,morgan,10000,0.35830770871409723,0.23796019017465359,0.4878116339066275,0.802590759390266,0.9024086379362555,default,mse
0.0,8,gauche,morgan,10000,0.32595629498792233,0.19821334237050564,0.44521157034662256,0.807529016270008,0.9030039778392511,default,mse
0.0,9,gauche,morgan,10000,0.33328371494305953,0.20623618401775612,0.4541323419640536,0.8107557152417947,0.9029881826705725,default,mse
0.1,0,gauche,morgan,10000,0.37786557134438414,0.25325442574244983,0.503243902836835,0.7739740435306883,0.8838179005869289,default,mse
0.1,1,gauche,morgan,10000,0.36777893970623254,0.23873521314699736,0.48860537568368745,0.7818718986079977,0.8886418972653496,default,mse
0.1,2,gauche,morgan,10000,0.36723949175629605,0.25715789133285577,0.5071073765316925,0.7683486223405417,0.8806594584089118,default,mse
0.1,3,gauche,morgan,10000,0.3796365586437731,0.2625751721686753,0.5124208935715593,0.7605284954831819,0.8768471252096337,default,mse
0.1,4,gauche,morgan,10000,0.36672067874396475,0.23096820197132972,0.48059151258769617,0.7952540603841558,0.8975493468378086,default,mse
0.1,5,gauche,morgan,10000,0.346155455480293,0.22126944418421288,0.47039286153619814,0.8071951666165214,0.9017882214514061,default,mse
0.1,6,gauche,morgan,10000,0.3598477437098594,0.24156628794414675,0.4914939347989421,0.7750545638904248,0.8827052883146356,default,mse
