sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,pdv,10000,0.2899437073557043,0.1542918264165913,0.39279998270950994,0.8638410260806175,0.9300889254691606,default,mse
0.0,1,gauche,pdv,10000,0.28289100687133223,0.149727984831948,0.3869470051983191,0.8648134197279518,0.9309864567317703,default,mse
0.0,2,gauche,pdv,10000,0.2725250460898751,0.143413361806297,0.37869956668353477,0.8698399666372834,0.9330699817906816,default,mse
0.0,3,gauche,pdv,10000,0.2912808393943982,0.15952933748223105,0.3994112385527366,0.8534539320883661,0.9249011870436269,default,mse
0.0,4,gauche,pdv,10000,0.2833868505946693,0.1480964528678008,0.3848330194614293,0.8663206681315903,0.9317022127021337,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.0,7,gauche,pdv,10000,0.27227143077546617,0.14258146663019808,0.37759961153343113,0.8817159331070008,0.9393923985497447,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.1,0,gauche,pdv,10000,0.32409401099571694,0.18135163232848037,0.42585400353698727,0.8381462593036728,0.9161621887942133,default,mse
0.1,1,gauche,pdv,10000,0.31281785991155153,0.1740565130620251,0.41720080664114867,0.8409676719715644,0.9184049299883577,default,mse
0.1,2,gauche,pdv,10000,0.3063165091319171,0.1683648334458261,0.4103228405119877,0.8483346343564151,0.9215905782751572,default,mse
0.1,3,gauche,pdv,10000,0.31712848556461204,0.17868752857269005,0.42271447641722665,0.8370349681111288,0.9156372029710567,default,mse
0.1,4,gauche,pdv,10000,0.3164269074280774,0.17583369740042396,0.4193252882911117,0.8441290390490779,0.9197730199506067,default,mse
0.1,5,gauche,pdv,10000,0.31404774787544193,0.17500738802849009,0.4183388435568589,0.8475059653441374,0.921556441529598,default,mse
0.1,6,gauche,pdv,10000,0.3101597185638356,0.17228635722611188,0.4150739177858709,0.8395677224177968,0.9182043531576509,default,mse
0.1,7,gauche,pdv,10000,0.30575530731591755,0.16945496570239818,0.41164908077438744,0.8597353289566539,0.9278156385362475,default,mse
0.1,8,gauche,pdv,10000,0.30584775399230396,0.1641155181246305,0.4051117353578275,0.8396188842505018,0.916964559246189,default,mse
0.2,0,gauche,pdv,10000,0.38805699876507355,0.24963264057317702,0.4996325055209849,0.7736700856857462,0.880275544930011,default,mse
0.2,1,gauche,pdv,10000,0.37675601649463764,0.2383163616399874,0.48817656809804727,0.7787227025452113,0.8841524251661995,default,mse
0.2,2,gauche,pdv,10000,0.3772042579181614,0.2353632300834012,0.48514248431095086,0.7881941484522467,0.8886184207741308,default,mse
0.2,3,gauche,pdv,10000,0.37834612042270976,0.2400407641442958,0.48993955152069096,0.7814443252299479,0.8846973088511293,default,mse
0.2,6,gauche,pdv,10000,0.38023157732219315,0.24004466657925497,0.48994353407229996,0.7761063345211877,0.883079364373997,default,mse
0.2,7,gauche,pdv,10000,0.3754837657069154,0.23803894547753185,0.4878923502961815,0.8016257687178215,0.8962777770577689,default,mse
0.2,8,gauche,pdv,10000,0.38169238242814374,0.23642392000834334,0.48623442906518183,0.7684612333483907,0.877456953635813,default,mse
0.0,0,gauche,pdv,10000,0.2899437073557116,0.1542918264166386,0.3927999827095702,0.8638410260805758,0.9300889254691846,default,mse
0.2,9,gauche,pdv,10000,0.37380123993640746,0.2451198201862823,0.4950957687016546,0.7755463570342476,0.8828248257740758,default,mse
0.0,1,gauche,pdv,10000,0.2828910068713141,0.14972798483182542,0.3869470051981607,0.8648134197280625,0.9309864567317783,default,mse
0.3,0,gauche,pdv,10000,0.45768301980560677,0.3389723600700197,0.582213328660569,0.6872104414542757,0.8296989099983918,default,mse
0.3,1,gauche,pdv,10000,0.4479086338591502,0.3238282907662434,0.5690591276539226,0.6939718967476315,0.8350419482941406,default,mse
0.0,2,gauche,pdv,10000,0.27252504608989847,0.1434133618062466,0.3786995666834682,0.8698399666373291,0.9330699817906943,default,mse
0.3,2,gauche,pdv,10000,0.45018107129176776,0.32560537172205184,0.5706184116570826,0.7056785171290887,0.84126423119012,default,mse
0.0,3,gauche,pdv,10000,0.2912808393944064,0.15952933748225512,0.3994112385527667,0.8534539320883439,0.9249011870436126,default,mse
0.3,3,gauche,pdv,10000,0.4469612762656629,0.3253438069587469,0.570389171494995,0.7028682055574185,0.839175318559826,default,mse
0.0,4,gauche,pdv,10000,0.2833868512981068,0.14809645360113366,0.38483302041422285,0.8663206674696471,0.9317022123658628,default,mse
0.3,4,gauche,pdv,10000,0.4637739994059044,0.342323405149404,0.5850841009200336,0.7016479073807225,0.8395016176709676,default,mse
0.3,5,gauche,pdv,10000,0.4354599109338699,0.31660804242281576,0.5626793424525338,0.7121924829957931,0.8454173462600663,default,mse
0.0,5,gauche,pdv,10000,0.2881871281542984,0.1538761017519152,0.3922704446576561,0.8675861033299006,0.9324541386226403,default,mse
0.3,6,gauche,pdv,10000,0.4530573485710554,0.3304917973978866,0.5748841599817189,0.6908181412241186,0.8333412167528804,default,mse
0.0,6,gauche,pdv,10000,0.27215348280393575,0.14739514174412963,0.3839207493013755,0.8627044182832813,0.9306052622365588,default,mse
0.3,7,gauche,pdv,10000,0.4491417286193246,0.32950679716532144,0.5740268261721934,0.7216759662994457,0.8508069986423079,default,mse
0.3,8,gauche,pdv,10000,0.46107240273202105,0.3345434362835396,0.5783972996855532,0.6729004910050831,0.8214252017063858,default,mse
0.0,7,gauche,pdv,10000,0.27227143077550414,0.14258146663016213,0.3775996115333835,0.8817159331070307,0.9393923985497401,default,mse
0.3,9,gauche,pdv,10000,0.4448552203194367,0.3308891854904483,0.5752296806410881,0.6955930107714251,0.8359737310678502,default,mse
0.4,0,gauche,pdv,10000,0.5190534796506319,0.4327168814714734,0.6578121931611434,0.5937931520345907,0.7713381580498623,default,mse
0.0,8,gauche,pdv,10000,0.26850268051453735,0.13733210685181674,0.3705834681307529,0.866646486117603,0.9315876850991496,default,mse
0.4,1,gauche,pdv,10000,0.51112288488195,0.4141407829796278,0.6435377090580068,0.6019350251424826,0.7780564142914956,default,mse
0.0,9,gauche,pdv,10000,0.27929022653188607,0.15460484117894235,0.39319822123064385,0.8581331266944608,0.9289886348544312,default,mse
0.4,2,gauche,pdv,10000,0.5143432128244471,0.4211039463984464,0.6489252240423748,0.6162796594757476,0.7867127850587032,default,mse
0.1,0,gauche,pdv,10000,0.3240940109957577,0.18135163232854376,0.4258540035370617,0.8381462593036162,0.9161621887942042,default,mse
0.4,3,gauche,pdv,10000,0.5077493350493001,0.4169133778784253,0.6456882977710107,0.6168623197231177,0.786341616540928,default,mse
0.4,4,gauche,pdv,10000,0.5309301430463491,0.44214616721673455,0.6649407245888422,0.6146468516198688,0.7863869973961053,default,mse
0.1,1,gauche,pdv,10000,0.3128178599115739,0.17405651306204015,0.41720080664116665,0.8409676719715506,0.9184049299883877,default,mse
0.4,5,gauche,pdv,10000,0.49544906516719806,0.4038666115132629,0.6355050051048087,0.6242078070846504,0.7917940238907585,default,mse
0.1,2,gauche,pdv,10000,0.3063165091319058,0.16836483344581246,0.4103228405119711,0.8483346343564273,0.921590578275162,default,mse
0.4,6,gauche,pdv,10000,0.518256194018043,0.42639265546618316,0.6529874849230903,0.5996296918037912,0.7764961147105569,default,mse
0.4,7,gauche,pdv,10000,0.5154704971388212,0.4257397056169151,0.6524873221886499,0.634168716788394,0.7979007347208135,default,mse
0.1,3,gauche,pdv,10000,0.31712848556461076,0.17868752857269107,0.42271447641722787,0.8370349681111279,0.9156372029710718,default,mse
0.4,9,gauche,pdv,10000,0.506840552137076,0.42275220558104615,0.6501939753496999,0.6084241126281613,0.7817464486958065,default,mse
0.1,5,gauche,pdv,10000,0.3140477478755639,0.17500738802864457,0.4183388435570436,0.8475059653440027,0.9215564415296265,default,mse
0.5,0,gauche,pdv,10000,0.5709385162975562,0.520133360336422,0.7212027179208506,0.5041983142320929,0.7108900090818614,default,mse
0.1,6,gauche,pdv,10000,0.3101597185622546,0.17228635722582675,0.4150739177855274,0.8395677224180622,0.9182043531587145,default,mse
0.5,1,gauche,pdv,10000,0.5636239971284135,0.4987668748323046,0.706234291741986,0.5133766021841978,0.7188567808023896,default,mse
0.5,2,gauche,pdv,10000,0.5681423780497907,0.5102294480935804,0.7143034705876631,0.5304705558382722,0.7304690592397366,default,mse
0.1,7,gauche,pdv,10000,0.3057553073158859,0.16945496570237834,0.41164908077436335,0.8597353289566704,0.92781563853625,default,mse
0.5,3,gauche,pdv,10000,0.5588897283988612,0.503136251089139,0.7093209788869486,0.5339899926642263,0.7318160698487393,default,mse
0.1,8,gauche,pdv,10000,0.3058477539922783,0.16411551812463943,0.40511173535783856,0.839618884250493,0.9169645592461867,default,mse
0.5,4,gauche,pdv,10000,0.5863372918302041,0.5352207237819554,0.7315878100282668,0.5318758296616382,0.7322563086412969,default,mse
0.5,5,gauche,pdv,10000,0.5467236150782104,0.4860946447127575,0.6972048800121508,0.5378577758180645,0.7352214513559694,default,mse
0.1,9,gauche,pdv,10000,0.3084993851699737,0.1808103113719043,0.42521795748992575,0.83462464421609,0.9159673667951505,default,mse
0.5,6,gauche,pdv,10000,0.5727276789234238,0.5165622824101024,0.7187226742006282,0.5131124579376596,0.7183144815253433,default,mse
0.2,0,gauche,pdv,10000,0.38805699876512695,0.249632640573232,0.49963250552103994,0.7736700856856964,0.8802755449299839,default,mse
0.5,7,gauche,pdv,10000,0.5690674060816997,0.5149815586893128,0.717622155935359,0.5493330532464636,0.7428914200068459,default,mse
0.2,1,gauche,pdv,10000,0.3767560164946678,0.23831636164000006,0.48817656809806026,0.7787227025451995,0.8841524251661474,default,mse
0.5,8,gauche,pdv,10000,0.5872793747248566,0.5389307742242806,0.7341190463571154,0.4781647685986019,0.6932211414506911,default,mse
0.5,9,gauche,pdv,10000,0.5606611703205049,0.5101203175546521,0.7142270770242838,0.5238416942891344,0.72529712161601,default,mse
0.2,2,gauche,pdv,10000,0.3772042579182,0.23536323008344248,0.4851424843109934,0.7881941484522095,0.888618420774107,default,mse
0.6,0,gauche,pdv,10000,0.6123875654344059,0.5962666838952615,0.7721830637195182,0.4242450016550058,0.6522398212986782,default,mse
0.2,3,gauche,pdv,10000,0.37834612042271043,0.2400407641442971,0.4899395515206923,0.7814443252299468,0.8846973088511465,default,mse
0.6,1,gauche,pdv,10000,0.6056580501730187,0.5727920927618879,0.7568302932374522,0.43413997888095124,0.661319159017237,default,mse
0.6,2,gauche,pdv,10000,0.6104927998640709,0.5877442642701292,0.7666448097196832,0.45356055951851193,0.6760250226319159,default,mse
0.2,4,gauche,pdv,10000,0.38869576059936345,0.24744021236297592,0.4974336260879193,0.783210165612467,0.8863624049450067,default,mse
0.6,3,gauche,pdv,10000,0.6000101147448834,0.578705828305478,0.7607271707422301,0.4595480811369643,0.6790992029446821,default,mse
0.6,4,gauche,pdv,10000,0.6302050863399103,0.6162574063805006,0.7850206407353253,0.4580002025807788,0.6803031629489065,default,mse
0.2,5,gauche,pdv,10000,0.3712472909985063,0.2348421951397431,0.48460519512252764,0.7913639412058655,0.8907836927801375,default,mse
0.6,5,gauche,pdv,10000,0.5892626564284449,0.5584231656769961,0.7472771679082643,0.459086067888256,0.6794047131547344,default,mse
0.2,6,gauche,pdv,10000,0.38023157732229457,0.24004466657942586,0.4899435340724744,0.7761063345210283,0.8830793643739829,default,mse
0.6,6,gauche,pdv,10000,0.6157628188424062,0.5957276236398353,0.7718339352735375,0.43647689340969453,0.6624602666085642,default,mse
0.6,7,gauche,pdv,10000,0.6119102476713354,0.5921358925930551,0.7695036663935105,0.4725966826006873,0.6892877491408722,default,mse
0.2,7,gauche,pdv,10000,0.3754837657068749,0.2380389454774948,0.4878923502961435,0.8016257687178524,0.8962777770577925,default,mse
0.6,8,gauche,pdv,10000,0.6327998624906525,0.6264646026441394,0.7914951690592554,0.396993742385251,0.6320730830757864,default,mse
0.6,9,gauche,pdv,10000,0.604148897741733,0.5875812895766714,0.7665385114765412,0.44728635274893636,0.6701472264573874,default,mse
0.2,8,gauche,pdv,10000,0.381692382428156,0.23642392000840193,0.48623442906524206,0.7684612333483334,0.8774569536358126,default,mse
0.7,0,gauche,pdv,10000,0.6444312486663804,0.660097652676885,0.8124639393086225,0.35587933612651945,0.5975418848149532,default,mse
0.2,9,gauche,pdv,10000,0.373801238813096,0.2451198166990285,0.49509576517985737,0.7755463602274892,0.8828248278324208,default,mse
0.7,1,gauche,pdv,10000,0.6389326196666959,0.6350698778747857,0.7969127165974864,0.3662652153361623,0.6076428428761051,default,mse
0.7,2,gauche,pdv,10000,0.6436054093178469,0.6526017742530551,0.8078377152950059,0.38723943562034413,0.6252198070078239,default,mse
0.3,0,gauche,pdv,10000,0.4576830198056101,0.33897236007002607,0.5822133286605744,0.6872104414542698,0.8296989099983911,default,mse
0.7,3,gauche,pdv,10000,0.6323115904855781,0.642401691296646,0.8014996514638332,0.3952418420998661,0.630008009471205,default,mse
0.7,4,gauche,pdv,10000,0.664266627855199,0.6841854194376515,0.8271550153614808,0.3943661659558233,0.6321339247144299,default,mse
0.3,1,gauche,pdv,10000,0.44790863385917135,0.32382829076627984,0.5690591276539546,0.693971896747597,0.8350419482941247,default,mse
0.7,5,gauche,pdv,10000,0.6235563879253306,0.6196489474575255,0.7871778372499606,0.3903443248167794,0.6265708923812409,default,mse
0.7,6,gauche,pdv,10000,0.6488706115250935,0.6626150920230607,0.8140117272024161,0.37118839402882386,0.6108264670281236,default,mse
0.3,2,gauche,pdv,10000,0.4501810712917868,0.32560537172207843,0.5706184116571059,0.7056785171290647,0.8412642311901066,default,mse
0.7,7,gauche,pdv,10000,0.6456505300867217,0.6563814117124953,0.810173692310788,0.4058785244400389,0.6390006476462531,default,mse
0.3,3,gauche,pdv,10000,0.44696127626566756,0.32534380695876874,0.5703891714950142,0.7028682055573985,0.8391753185598171,default,mse
0.7,8,gauche,pdv,10000,0.6691977126413199,0.7006343761881549,0.8370390529647675,0.3294766591234599,0.5762472128950465,default,mse
0.7,9,gauche,pdv,10000,0.6389393151276525,0.653501885960572,0.808394635039454,0.3808152659904739,0.6183096389674039,default,mse
0.3,4,gauche,pdv,10000,0.4637739994059092,0.34232340514945325,0.5850841009200757,0.7016479073806796,0.8395016176709751,default,mse
0.8,0,gauche,pdv,10000,0.6691701627964759,0.712592490052684,0.84415193540777,0.2987997748718504,0.5477033234132425,default,mse
0.3,5,gauche,pdv,10000,0.4354599109338875,0.3166080424228336,0.5626793424525496,0.7121924829957768,0.8454173462600775,default,mse
0.8,1,gauche,pdv,10000,0.6652055725281468,0.6864186933467765,0.8285038885525985,0.3095332248359537,0.5587817805047646,default,mse
0.3,6,gauche,pdv,10000,0.4530573485709571,0.33049179739778023,0.5748841599816265,0.690818141224218,0.8333412167528738,default,mse
0.8,2,gauche,pdv,10000,0.6698505307028202,0.7058824215505247,0.8401680912475341,0.3311660430845358,0.5787514497243578,default,mse
0.8,3,gauche,pdv,10000,0.6580938505884985,0.6950343300599093,0.8336871895740688,0.3408459718184381,0.5852740338652468,default,mse
