sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,randomized_smiles,10000,0.43538557511790843,0.3233794937141538,0.5686646584008486,0.7146250642480316,0.845597761371297,default,mse
0.0,1,gauche,randomized_smiles,10000,0.4313063171792988,0.3087141802525076,0.5556205362047983,0.7212677753149039,0.8493919440601998,default,mse
0.0,2,gauche,randomized_smiles,10000,0.4167716106059629,0.3225399666064825,0.5679260221247856,0.7072670754973827,0.8418621181309824,default,mse
0.0,3,gauche,randomized_smiles,10000,0.42585945488331833,0.3127548537231476,0.5592448960188618,0.7126986499363442,0.8449538052404034,default,mse
0.0,4,gauche,randomized_smiles,10000,0.41367693959283336,0.2939573086258736,0.5421782996633797,0.7346592990311489,0.8580107671811327,default,mse
0.0,6,gauche,randomized_smiles,10000,0.4314760967589939,0.3323489480172315,0.5764971361743538,0.6904237031762095,0.8341448322965914,default,mse
0.0,7,gauche,randomized_smiles,10000,0.4395426169810516,0.31919091067657696,0.5649698316517237,0.7352026183877871,0.8581922931280601,default,mse
0.0,8,gauche,randomized_smiles,10000,0.4036109311242734,0.2870050627131774,0.5357285345332815,0.7213096449751756,0.8500815091178193,default,mse
0.0,9,gauche,randomized_smiles,10000,0.40671210772148164,0.2883405945315413,0.5369735510539987,0.735415926944327,0.8579967665453447,default,mse
0.1,1,gauche,randomized_smiles,10000,0.44317255064982514,0.33215461826557374,0.5763285679762662,0.6965162562497909,0.8346979775564295,default,mse
0.1,2,gauche,randomized_smiles,10000,0.43725926389895275,0.34408564898364324,0.5865881425528846,0.6900428985212873,0.8317309622180207,default,mse
0.1,3,gauche,randomized_smiles,10000,0.44916956035248623,0.340472576965985,0.5835002801764408,0.6894851878821718,0.830874204164668,default,mse
0.1,4,gauche,randomized_smiles,10000,0.43945977681590787,0.33040328862129015,0.5748071751651072,0.7071080295748748,0.8413700313996574,default,mse
0.1,5,gauche,randomized_smiles,10000,0.4459086237048367,0.32924506561650185,0.5737988023832935,0.713109777752805,0.8446079469641011,default,mse
0.1,6,gauche,randomized_smiles,10000,0.4349647168448852,0.3384996909700415,0.5818072627340102,0.6847906168686175,0.8290743228454415,default,mse
0.1,7,gauche,randomized_smiles,10000,0.45033155217918275,0.35170357538961566,0.5930460145634702,0.7088808457025055,0.8421459056581355,default,mse
0.1,8,gauche,randomized_smiles,10000,0.42775794350076535,0.312738603823172,0.5592303674007447,0.694377674992253,0.8345535282290669,default,mse
0.1,9,gauche,randomized_smiles,10000,0.42828303508481774,0.3308598133179979,0.5752041492531134,0.6973841871799122,0.8359298640609245,default,mse
0.2,0,gauche,randomized_smiles,10000,0.49261014380847834,0.40192349180624565,0.6339743621048454,0.6355952921359769,0.797387515718844,default,mse
0.2,1,gauche,randomized_smiles,10000,0.4871007871586593,0.3755919323099998,0.6128555558286143,0.651262015098532,0.8075122674394428,default,mse
0.2,2,gauche,randomized_smiles,10000,0.48500246882091597,0.3907122868054238,0.6250698255438538,0.6483938948846495,0.8059266555336289,default,mse
0.2,3,gauche,randomized_smiles,10000,0.4784858496949772,0.37850385827027383,0.6152266722682574,0.6553745092329408,0.809582112332499,default,mse
0.2,4,gauche,randomized_smiles,10000,0.49153000292153143,0.3909453289522444,0.6252562106466791,0.6574810039614317,0.8111199773808933,default,mse
0.2,5,gauche,randomized_smiles,10000,0.47757662495386605,0.38022825817301226,0.6166265143285782,0.6622015682481126,0.8139140871560073,default,mse
0.2,6,gauche,randomized_smiles,10000,0.47390935558242697,0.39444725524248,0.6280503604349574,0.6320924639867513,0.7958954773745753,default,mse
0.2,7,gauche,randomized_smiles,10000,0.48191826089543877,0.398282311680343,0.6310961192087485,0.6680839462871231,0.8177748913638275,default,mse
0.2,8,gauche,randomized_smiles,10000,0.46445218260365567,0.3777949766352838,0.6146502880787447,0.6300112825545732,0.7954977571137379,default,mse
0.2,9,gauche,randomized_smiles,10000,0.46836249000299873,0.3760253761413561,0.6132090802828641,0.6556775153541092,0.8101650545332995,default,mse
0.3,0,gauche,randomized_smiles,10000,0.5363734093859038,0.47098822161629744,0.6862858162721254,0.5653917095506952,0.7521074396104132,default,mse
0.3,1,gauche,randomized_smiles,10000,0.5373431949155931,0.4524213743471765,0.6726227578272805,0.5724473154130951,0.7569334110324216,default,mse
0.3,2,gauche,randomized_smiles,10000,0.5350223262473396,0.4687702176150372,0.6846679615806753,0.5762688285992013,0.7598895158258511,default,mse
0.3,3,gauche,randomized_smiles,10000,0.5233033316210963,0.45064466284402604,0.6713007245966789,0.5884327457206031,0.7674194222611637,default,mse
0.3,4,gauche,randomized_smiles,10000,0.5381679440307343,0.4648437362464108,0.6817944970784164,0.5948652666926137,0.7717290540316214,default,mse
0.3,6,gauche,randomized_smiles,10000,0.5284682808258658,0.4605480442151456,0.678636901601398,0.5691478533290032,0.755023534787721,default,mse
0.3,7,gauche,randomized_smiles,10000,0.5393030018711347,0.4857320674733098,0.6969448094887498,0.5897173913257612,0.7682657119314272,default,mse
0.3,8,gauche,randomized_smiles,10000,0.5292988414920897,0.45125494165893365,0.6717551203071948,0.5587859337850963,0.74801883561725,default,mse
0.3,9,gauche,randomized_smiles,10000,0.5240977267236853,0.45794039757634725,0.676712935871886,0.5787101428965364,0.7613061559978549,default,mse
0.4,0,gauche,randomized_smiles,10000,0.5804308220134018,0.5446942317543713,0.7380340315692572,0.48867599934284134,0.6991047361101822,default,mse
0.4,3,gauche,randomized_smiles,10000,0.5706338107828157,0.5238187684431561,0.7237532510760529,0.5186177309826501,0.7202188915457008,default,mse
0.4,4,gauche,randomized_smiles,10000,0.5971298229993119,0.5734877296666103,0.7572897263707005,0.5001759178971403,0.7079075800369474,default,mse
0.4,5,gauche,randomized_smiles,10000,0.5534178853884424,0.5014321800157303,0.7081187612369343,0.5334244199579061,0.7305224560263655,default,mse
0.4,6,gauche,randomized_smiles,10000,0.5730279849261541,0.5263673026313701,0.7255117522351862,0.505756404390876,0.7117493675713646,default,mse
0.4,7,gauche,randomized_smiles,10000,0.594461455115404,0.5790447650208025,0.7609499096660716,0.502436144362978,0.7089661074503888,default,mse
0.4,8,gauche,randomized_smiles,10000,0.587755063654603,0.5543990250301002,0.7445797640482181,0.46020969198113015,0.6789790328022067,default,mse
0.4,9,gauche,randomized_smiles,10000,0.5651527684357922,0.5336795315540038,0.7305337306066051,0.5056772421725823,0.7115670229026242,default,mse
0.5,0,gauche,randomized_smiles,10000,0.6276126013884921,0.6241455288387164,0.7900288151951905,0.405051802171305,0.6365078097009884,default,mse
0.5,1,gauche,randomized_smiles,10000,0.6347753883380984,0.6106726411161856,0.7814554632966524,0.40419540557295053,0.6361555248891452,default,mse
0.5,3,gauche,randomized_smiles,10000,0.6134195115658132,0.6088541819066723,0.780291087932364,0.43607295009542657,0.6605237252918748,default,mse
0.5,4,gauche,randomized_smiles,10000,0.6550324734542755,0.6782406747008277,0.8235536865929433,0.40678520276542374,0.6383523764760741,default,mse
0.5,5,gauche,randomized_smiles,10000,0.6040636897520841,0.5879080880365007,0.7667516469082416,0.44106121230714534,0.6642415430429534,default,mse
0.5,6,gauche,randomized_smiles,10000,0.6179105296211941,0.6041845024047666,0.7772930608237582,0.43052383546952133,0.6562732836306913,default,mse
0.5,7,gauche,randomized_smiles,10000,0.6302913458810038,0.648252752436297,0.8051414487133903,0.4327057275437447,0.6580096484874985,default,mse
0.5,8,gauche,randomized_smiles,10000,0.6447745272451424,0.6545450683133783,0.8090395962580437,0.3662179012182172,0.6074674786899699,default,mse
0.5,9,gauche,randomized_smiles,10000,0.6048882647324797,0.597656401793587,0.7730824029775785,0.4421334538497418,0.6652101176498841,default,mse
0.6,0,gauche,randomized_smiles,10000,0.6473359908977168,0.6706707961064617,0.8189449286163641,0.3524004048327134,0.5937516478797723,default,mse
0.6,1,gauche,randomized_smiles,10000,0.6433171578650205,0.6443336023291861,0.8027039319258291,0.3634642823652372,0.6032171883854173,default,mse
0.6,2,gauche,randomized_smiles,10000,0.6603379768549231,0.6944091244975261,0.8333121410957158,0.35439177117810117,0.5973248853864437,default,mse
0.6,4,gauche,randomized_smiles,10000,0.6765567475369527,0.7328352847743645,0.8560579914785941,0.35546969208493573,0.596772240571661,default,mse
0.6,5,gauche,randomized_smiles,10000,0.6320857817296358,0.6402519633850866,0.8001574616193281,0.37982299384547547,0.6164518836936086,default,mse
0.6,7,gauche,randomized_smiles,10000,0.660934363346951,0.6968876475408354,0.8347979680981713,0.37929643893377074,0.6165413196246599,default,mse
0.6,8,gauche,randomized_smiles,10000,0.6659322361415707,0.7071566581330672,0.8409260717405943,0.3193232496004258,0.5663281947903773,default,mse
0.7,0,gauche,randomized_smiles,10000,0.6752209133127589,0.7258285728214009,0.8519557340739018,0.29173936570122705,0.5402037954157248,default,mse
0.7,1,gauche,randomized_smiles,10000,0.674878344203975,0.7040512489255812,0.8390776179386393,0.29742886228004795,0.5454634251823971,default,mse
0.7,2,gauche,randomized_smiles,10000,0.6804108164211189,0.7329180219365552,0.8561063146225212,0.3118264790501186,0.5599143792018635,default,mse
0.7,3,gauche,randomized_smiles,10000,0.6660528549322134,0.7090378728048906,0.8420438663186679,0.33251041575962026,0.577630610617115,default,mse
0.7,5,gauche,randomized_smiles,10000,0.6617912028182154,0.701260168010694,0.8374127823306102,0.31004927392866477,0.5569327342063988,default,mse
0.7,6,gauche,randomized_smiles,10000,0.6796791568582943,0.7372202651198113,0.8586153184749334,0.30038922378129107,0.5484310183049035,default,mse
0.7,7,gauche,randomized_smiles,10000,0.6775531427935105,0.7326853050629725,0.8559703879591702,0.33681230638538706,0.5815179915198612,default,mse
0.7,8,gauche,randomized_smiles,10000,0.7017826646219398,0.7673932945323958,0.8760098712528277,0.2655868265905166,0.5166292786680364,default,mse
0.7,9,gauche,randomized_smiles,10000,0.6792158775890373,0.7395524014358569,0.8599723259709331,0.2992834958753354,0.5471412578463888,default,mse
0.8,0,gauche,randomized_smiles,10000,0.7065299752778268,0.7910867325291928,0.8894305664464163,0.22156042522374753,0.470884327122604,default,mse
0.8,1,gauche,randomized_smiles,10000,0.6894168361351711,0.7320395641818396,0.8555931066703609,0.2636433097287788,0.5138869391564735,default,mse
0.8,2,gauche,randomized_smiles,10000,0.7026452841937939,0.7798627506466242,0.8830983810689634,0.2610685952198266,0.5128006626673225,default,mse
0.8,3,gauche,randomized_smiles,10000,0.7016450657246969,0.7875957266012364,0.8874659016555151,0.2530629447857048,0.5031635586504114,default,mse
