sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,smiles,10000,0.3718933935850892,0.24934865064486156,0.4993482258352998,0.7799555737429775,0.8833666316050335,default,mse
0.0,1,gauche,smiles,10000,0.33755076652780724,0.19557367074776927,0.4422371204995904,0.8234202125319656,0.9074306060147441,default,mse
0.0,2,gauche,smiles,10000,0.33010708747619816,0.2082878914859647,0.45638568282316294,0.8109607182803471,0.9011937409962814,default,mse
0.0,3,gauche,smiles,10000,0.3497082965251328,0.23221795747045604,0.48188998482066014,0.7866810637914369,0.8880549103238884,default,mse
0.0,4,gauche,smiles,10000,0.3361479907870905,0.21038242387543216,0.45867463836082345,0.8100982075132536,0.9003957364365702,default,mse
0.0,5,gauche,smiles,10000,0.33196047538950374,0.2041576573793029,0.45183808757042926,0.8243176773985561,0.907926904030065,default,mse
0.0,6,gauche,smiles,10000,0.3436820495165124,0.23587502691088805,0.48566966851028287,0.7802872018102532,0.885046113749335,default,mse
0.0,7,gauche,smiles,10000,0.33953042876926504,0.21573764897485725,0.4644756710257893,0.8210263430038549,0.9062766420993283,default,mse
0.0,8,gauche,smiles,10000,0.3178070688577858,0.18297239186451936,0.42775272280199383,0.8223284273580065,0.9072905729987252,default,mse
0.1,0,gauche,smiles,10000,0.39588009562800186,0.27848222029297326,0.5277141463832226,0.7514585973497311,0.8673040081669967,default,mse
0.1,1,gauche,smiles,10000,0.36717271938763996,0.22490910131847966,0.47424582372276053,0.7945045701064042,0.8913521072645557,default,mse
0.1,2,gauche,smiles,10000,0.36084597123015055,0.23641826590594386,0.4862286148571923,0.7870311631616075,0.8878513339935064,default,mse
0.1,3,gauche,smiles,10000,0.37360298192748964,0.251697970659576,0.5016950973047036,0.7704486253599065,0.8786637458449466,default,mse
0.1,4,gauche,smiles,10000,0.37172738738375977,0.24436288747804347,0.4943307470490213,0.7833800991785727,0.8853872228245384,default,mse
0.1,5,gauche,smiles,10000,0.34811253421230487,0.22078936138770938,0.4698822846072295,0.8076134904566313,0.8986772902958251,default,mse
0.1,6,gauche,smiles,10000,0.3663401689440913,0.2531020739892639,0.5030925103688823,0.7643124920356568,0.875974595548376,default,mse
0.1,7,gauche,smiles,10000,0.3689171356680493,0.24767227096375252,0.4976668272687587,0.7949917285144653,0.8918371248491531,default,mse
0.1,8,gauche,smiles,10000,0.35209939755960556,0.2131117436468603,0.4616402751568155,0.7917375540352702,0.8901242684471474,default,mse
0.1,9,gauche,smiles,10000,0.37012446695548096,0.24037285947366283,0.49027834897501116,0.780146680492749,0.8841727312713018,default,mse
