sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,sns,10000,0.304807828164511,0.1716326028040662,0.4142856536305188,0.8485381913503511,0.9223145413018505,default,mse
0.0,1,gauche,sns,10000,0.2990474150962468,0.1762985701888731,0.41987923286210893,0.8408233381526147,0.9186226182190611,default,mse
0.0,2,gauche,sns,10000,0.2901545532321295,0.15379713113155327,0.3921697733527576,0.8604157976143745,0.9279834998180653,default,mse
0.0,3,gauche,sns,10000,0.2990601429554446,0.17579692039463674,0.41928143340080865,0.8385102838048328,0.9171995441293199,default,mse
0.0,4,gauche,sns,10000,0.28248108560296964,0.14450097983546248,0.38013284498377997,0.8695661235318146,0.9340848453153159,default,mse
0.0,5,gauche,sns,10000,0.29087284884990544,0.1696884367769636,0.41193256338503226,0.8539792282383064,0.9250206891622192,default,mse
0.0,6,gauche,sns,10000,0.2755038503317261,0.1556440417723282,0.3945174796790735,0.8550207353986674,0.9263928593265516,default,mse
0.0,7,gauche,sns,10000,0.29628598538133294,0.16812111409607483,0.4100257480891594,0.8605285134466846,0.9290114497465009,default,mse
0.0,8,gauche,sns,10000,0.2797803787481482,0.14826688455687212,0.3850543916862553,0.8560284954385156,0.9259401014785743,default,mse
0.1,0,gauche,sns,10000,0.33535233863590475,0.2001660450729931,0.4473992010196186,0.8213546647500141,0.9072755800767727,default,mse
0.1,1,gauche,sns,10000,0.3254644545921395,0.2013052347150337,0.4486705191062075,0.8160710015508914,0.9052266935248876,default,mse
0.1,2,gauche,sns,10000,0.32370745750590624,0.18369862050620334,0.42860077053850865,0.8345217473442275,0.9141060084825338,default,mse
0.1,3,gauche,sns,10000,0.33201124125421877,0.19833369365729533,0.44534671173962354,0.8191174450188314,0.9062939015876714,default,mse
0.1,4,gauche,sns,10000,0.31868822369201943,0.17260938677465185,0.41546285847792924,0.8469872875138125,0.9228300654545218,default,mse
0.1,5,gauche,sns,10000,0.3154412575581314,0.18833487494770623,0.43397566169971585,0.8358929570304332,0.9151621911758945,default,mse
0.1,6,gauche,sns,10000,0.3058056864257941,0.1776161758167534,0.42144534143439455,0.8346046194225063,0.9157863302787833,default,mse
0.1,7,gauche,sns,10000,0.3258722996716402,0.19328759582269842,0.43964485192334324,0.840008105206879,0.9180647757672562,default,mse
