sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche_rbf,continuous_pdv,10000,0.2585463454875967,0.13774766794205143,0.3711437294931054,0.875630222430121,0.9360599914922465,default,mse
0.0,2,gauche_rbf,continuous_pdv,10000,0.2446460312295595,0.11792160401307111,0.34339715201654064,0.8929759422747702,0.9450469669892425,default,mse
0.0,3,gauche_rbf,continuous_pdv,10000,0.26079295046395823,0.14000477368859768,0.3741721177327323,0.8713894923859541,0.9339126292508846,default,mse
0.0,4,gauche_rbf,continuous_pdv,10000,0.2561934998577215,0.12426406952196098,0.3525110913460185,0.8878329800121969,0.9426449935187482,default,mse
0.0,5,gauche_rbf,continuous_pdv,10000,0.24115583661223777,0.11052622246453819,0.332454842744903,0.9048896636051308,0.9513890881346804,default,mse
0.0,6,gauche_rbf,continuous_pdv,10000,0.25004250945002326,0.13337729257710007,0.365208560383105,0.8757617601537855,0.9366624841986633,default,mse
0.0,7,gauche_rbf,continuous_pdv,10000,0.24597915733104475,0.11445434465806667,0.3383110176421493,0.9050498940732468,0.9515041401612327,default,mse
0.0,8,gauche_rbf,continuous_pdv,10000,0.2518220877505343,0.11836536647048655,0.3440426811755869,0.8850637487281203,0.943019520255943,default,mse
0.0,9,gauche_rbf,continuous_pdv,10000,0.24335914201156836,0.11517420633739937,0.3393732551887367,0.894315052401093,0.9462794540575994,default,mse
0.1,0,gauche_rbf,continuous_pdv,10000,0.2799160076684246,0.13721613587268341,0.37042696428943106,0.8778037193973881,0.9370654286622409,default,mse
0.1,1,gauche_rbf,continuous_pdv,10000,0.28158764304932377,0.1525952150446361,0.39063437514463073,0.8608974271084106,0.9282846081713223,default,mse
0.1,2,gauche_rbf,continuous_pdv,10000,0.2698002232942708,0.1375188949194586,0.3708354013837657,0.8760695167582457,0.9360076821129782,default,mse
0.1,3,gauche_rbf,continuous_pdv,10000,0.28477037628593743,0.1580833828830174,0.3975970106565408,0.8557791550904671,0.9253703841272569,default,mse
0.1,4,gauche_rbf,continuous_pdv,10000,0.28840668922537804,0.1456784325706896,0.3816784413229147,0.8706568008645497,0.9332859163766394,default,mse
0.1,5,gauche_rbf,continuous_pdv,10000,0.2675832739710046,0.12568387344836604,0.35451921449812285,0.8907476945749966,0.9439105185347012,default,mse
0.1,6,gauche_rbf,continuous_pdv,10000,0.2759332669062339,0.14787184776862802,0.38454108723077696,0.8622913803303337,0.9292872463063173,default,mse
0.1,7,gauche_rbf,continuous_pdv,10000,0.2723535722328715,0.13057911161499663,0.36135731847438296,0.8919412446269637,0.9447372422876428,default,mse
0.1,8,gauche_rbf,continuous_pdv,10000,0.2862378331597614,0.14216660229995218,0.37704986712628896,0.8612323015186968,0.9302613374501529,default,mse
0.1,9,gauche_rbf,continuous_pdv,10000,0.2728700190972271,0.13708390850157043,0.3702484415923589,0.874812197511224,0.9358113648414526,default,mse
0.2,0,gauche_rbf,continuous_pdv,10000,0.33904592337310213,0.19328381870905065,0.43964055626050996,0.8256956420178879,0.908843477050597,default,mse
0.2,1,gauche_rbf,continuous_pdv,10000,0.3380754523148671,0.19936586646945145,0.44650404977945213,0.8158442332139482,0.9038250396588394,default,mse
0.2,2,gauche_rbf,continuous_pdv,10000,0.3285897255210489,0.1882528702241829,0.4338811706264549,0.8307542195248969,0.9115950123515133,default,mse
0.2,3,gauche_rbf,continuous_pdv,10000,0.3419939702879644,0.20855986840460408,0.45668355390204723,0.8102986948722581,0.90039704842762,default,mse
0.2,4,gauche_rbf,continuous_pdv,10000,0.35334021541022326,0.20343629615101957,0.45103912929037493,0.8216196037434644,0.9067781365050227,default,mse
0.2,5,gauche_rbf,continuous_pdv,10000,0.32144990945132956,0.17214742432804991,0.414906524807757,0.8480759962794637,0.9210108248187758,default,mse
0.2,6,gauche_rbf,continuous_pdv,10000,0.33942859242309087,0.2004090186896251,0.4476706587320919,0.8131894889842257,0.9024299065550208,default,mse
0.2,7,gauche_rbf,continuous_pdv,10000,0.33177256008713313,0.1805380155253436,0.42489765300051213,0.8499668402617305,0.9223648225019845,default,mse
0.2,8,gauche_rbf,continuous_pdv,10000,0.348885649063878,0.19717036707151897,0.4440386999705307,0.807184027160791,0.9001806386840738,default,mse
0.2,9,gauche_rbf,continuous_pdv,10000,0.33381150279922095,0.19252986749612458,0.4387822552201998,0.8243446098823048,0.9084966902605465,default,mse
0.3,0,gauche_rbf,continuous_pdv,10000,0.4064085239640713,0.27175390434253016,0.5213002055845846,0.7513546852400095,0.8670620478963316,default,mse
0.3,1,gauche_rbf,continuous_pdv,10000,0.405399172101616,0.267589716960498,0.5172907470277214,0.749042928101199,0.8662121685904612,default,mse
0.3,2,gauche_rbf,continuous_pdv,10000,0.395218164800449,0.2600927486569259,0.5099928907905735,0.7657316674579135,0.8755157022380318,default,mse
0.3,3,gauche_rbf,continuous_pdv,10000,0.403085958746652,0.2762611594760771,0.5256055169764461,0.7485640161414675,0.8654093102995217,default,mse
0.3,4,gauche_rbf,continuous_pdv,10000,0.4230553979724688,0.28443634344431445,0.5333257385916363,0.7525781461854466,0.8681984808674306,default,mse
0.3,5,gauche_rbf,continuous_pdv,10000,0.38141264629094096,0.23896267073685606,0.4888380823308021,0.7852220050384284,0.8862475239043572,default,mse
0.3,6,gauche_rbf,continuous_pdv,10000,0.40739192159345483,0.2738863074903735,0.5233414826768211,0.7442234721834611,0.8633322298681015,default,mse
0.3,7,gauche_rbf,continuous_pdv,10000,0.3962757434893802,0.253076034404416,0.5030666301837322,0.7876406573085342,0.8880007381914939,default,mse
0.3,8,gauche_rbf,continuous_pdv,10000,0.4178614103758872,0.27500461288123634,0.5244088222763194,0.7313928323111106,0.8565273617099619,default,mse
0.3,9,gauche_rbf,continuous_pdv,10000,0.39899076074718703,0.2655413768152362,0.5153070704106787,0.7571328004942578,0.8707317960401958,default,mse
0.4,0,gauche_rbf,continuous_pdv,10000,0.467907989043269,0.3569814692424751,0.5974792626045485,0.6684866241056782,0.817990504112208,default,mse
0.4,1,gauche_rbf,continuous_pdv,10000,0.46784424649114376,0.34514907834229325,0.587493896429821,0.6712338443877994,0.8201891918807183,default,mse
0.4,2,gauche_rbf,continuous_pdv,10000,0.4585929422586751,0.34151673299436447,0.5843943300498085,0.6908118653391304,0.8320127632185815,default,mse
0.4,3,gauche_rbf,continuous_pdv,10000,0.4604119967876068,0.3513122074743112,0.5927159585115885,0.679158947034448,0.8243146984793812,default,mse
0.4,4,gauche_rbf,continuous_pdv,10000,0.4854435529640238,0.3736457381175243,0.6112656853754547,0.6762107881047025,0.8234321133128037,default,mse
0.4,5,gauche_rbf,continuous_pdv,10000,0.4401096630563711,0.3155213683523278,0.5617128878282283,0.7108616585687624,0.8433016831341056,default,mse
0.4,6,gauche_rbf,continuous_pdv,10000,0.4706313104282202,0.3560575585461203,0.5967055878288055,0.6666804763682121,0.817148213699169,default,mse
0.4,7,gauche_rbf,continuous_pdv,10000,0.4570595343160765,0.3358447677047257,0.5795211538026249,0.71440972445726,0.845797189242824,default,mse
0.4,8,gauche_rbf,continuous_pdv,10000,0.48269479288854655,0.36484714172417587,0.6040257790228625,0.6449001428137664,0.8041319198941728,default,mse
0.4,9,gauche_rbf,continuous_pdv,10000,0.4578125322677623,0.34483000421059545,0.5872222783670553,0.6830246476018265,0.8270138712949074,default,mse
0.5,0,gauche_rbf,continuous_pdv,10000,0.5194487925709582,0.43982868109460094,0.6631958090146536,0.585764811288132,0.7658715786620748,default,mse
0.5,1,gauche_rbf,continuous_pdv,10000,0.522658146669211,0.4229523966369386,0.650347904307332,0.5911625220890877,0.7699350355498025,default,mse
0.5,2,gauche_rbf,continuous_pdv,10000,0.5134306788877209,0.42306873530718975,0.6504373415688783,0.6142072680993831,0.7849644319203737,default,mse
0.5,3,gauche_rbf,continuous_pdv,10000,0.5107940595503007,0.42662615174973506,0.6531662512329729,0.6083163961780751,0.7801527998703672,default,mse
0.5,4,gauche_rbf,continuous_pdv,10000,0.5380947432301418,0.46103485321510096,0.6789954736337356,0.6006672746518493,0.7766100169996191,default,mse
