sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,ecfp4,10000,0.30391802326141054,0.20986530375650522,0.45811058027129786,0.8147987156259849,0.9034367191378712,default,mse
0.0,1,gauche,ecfp4,10000,0.29528561543514475,0.1748853049467583,0.4181929039890064,0.8420993487481843,0.9191812118850784,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,3,gauche,ecfp4,10000,0.2952850240336592,0.1814791521712095,0.4260036997154009,0.8332904995509677,0.9151202565878981,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.0,5,gauche,ecfp4,10000,0.2922964008238476,0.19013004927739627,0.43603904558811735,0.8363887542492627,0.9150197124301672,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.0,7,gauche,ecfp4,10000,0.3119152973859682,0.2330600949131655,0.48276298005663765,0.8066558262561806,0.8993156273951084,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.1,0,gauche,ecfp4,10000,0.3248693594312931,0.2266165167064936,0.4760425576631711,0.7981892195947928,0.8940233045738066,default,mse
0.1,1,gauche,ecfp4,10000,0.31354963968889527,0.19234516814701635,0.4385717366030515,0.8246622099868008,0.9094258434121195,default,mse
0.1,2,gauche,ecfp4,10000,0.3354310389868566,0.24407536843808084,0.4940398449903417,0.7800420198572982,0.8843043332687588,default,mse
0.1,3,gauche,ecfp4,10000,0.3138928886936044,0.19757302375676386,0.444491871418099,0.8197524123163689,0.9076572850925806,default,mse
0.1,4,gauche,ecfp4,10000,0.31966739398134614,0.21481168388909427,0.463477813804603,0.8092756085056978,0.9010812908986432,default,mse
0.1,5,gauche,ecfp4,10000,0.31237668915852657,0.20059755304228788,0.44788118183541475,0.8256280258462286,0.9092400388244781,default,mse
0.1,6,gauche,ecfp4,10000,0.3060115342988872,0.21791088059998176,0.4668092550496206,0.7970661283317554,0.8950505571184992,default,mse
0.1,7,gauche,ecfp4,10000,0.3365699394568293,0.25118067758239754,0.5011792868648879,0.7921392552176576,0.8912264158269727,default,mse
0.1,9,gauche,ecfp4,10000,0.2993398882600867,0.18369561714527885,0.42859726684298727,0.8322454408500212,0.9131740498854557,default,mse
0.2,0,gauche,ecfp4,10000,0.37405612324204524,0.272385083257664,0.521905243562147,0.7543617081955548,0.8690032471754673,default,mse
0.2,1,gauche,ecfp4,10000,0.36582851192098037,0.23825304394564653,0.48811171256757047,0.7799238516908086,0.8842716208501838,default,mse
0.2,2,gauche,ecfp4,10000,0.3880197040429981,0.2911340937359281,0.5395684328571567,0.7382604745490923,0.8604506969321978,default,mse
0.2,3,gauche,ecfp4,10000,0.36309881081146284,0.24326559974413584,0.49321962627630284,0.778731152272214,0.8848015477721279,default,mse
0.2,4,gauche,ecfp4,10000,0.3787123272117851,0.26659192056029135,0.5163254018158426,0.7662424388957925,0.8772227739724348,default,mse
0.2,5,gauche,ecfp4,10000,0.3585336178838545,0.2404714545974018,0.49037888881700625,0.7877784909908429,0.8882681673408205,default,mse
0.2,6,gauche,ecfp4,10000,0.35999930179095274,0.2604414969534926,0.5103346911130896,0.7572304407570362,0.8726778340257393,default,mse
0.2,7,gauche,ecfp4,10000,0.38717309132941025,0.2957368694166529,0.5438169447678629,0.7542327202358342,0.869680475082326,default,mse
0.2,8,gauche,ecfp4,10000,0.3757083115885523,0.26819606133125634,0.5178764923524298,0.7377268945364754,0.8594305956923189,default,mse
0.2,9,gauche,ecfp4,10000,0.35113008743363233,0.23302170028558666,0.48272321291355635,0.7874017252394501,0.8882703672710472,default,mse
0.3,0,gauche,ecfp4,10000,0.4317501840992589,0.33598004084942906,0.5796378531888934,0.6925900173828466,0.8325798268646507,default,mse
0.3,1,gauche,ecfp4,10000,0.42770476449381684,0.30236477109306503,0.5498770508878008,0.7164293962384645,0.847455306985417,default,mse
0.3,2,gauche,ecfp4,10000,0.4455715127161792,0.35548299116091686,0.596223943800412,0.6798126513854131,0.8258937561453046,default,mse
0.3,3,gauche,ecfp4,10000,0.4212895587076436,0.30802423136333085,0.5549993075341003,0.7196552138853454,0.8509042698149694,default,mse
0.3,5,gauche,ecfp4,10000,0.41368181234686463,0.2997689944865524,0.5475116386767979,0.7305697020001627,0.8555199040781167,default,mse
