sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mhggnn,10000,0.296997428012569,0.1529787262112332,0.3911249496148682,0.8649998066898518,0.9303259948801166,default,mse
0.0,1,gauche,mhggnn,10000,0.2855409466967355,0.14830405560799828,0.3851026559347498,0.86609905863207,0.9312527458780695,default,mse
0.0,2,gauche,mhggnn,10000,0.2738108681664174,0.13398565507670304,0.3660405101579647,0.8783964261400964,0.9373830440535782,default,mse
0.0,3,gauche,mhggnn,10000,0.2877658031619869,0.15617028910735875,0.3951838674684972,0.8565396048494488,0.9273793924468249,default,mse
0.0,4,gauche,mhggnn,10000,0.277666445216557,0.13857291911526198,0.37225383693826714,0.8749170902903444,0.9361489275488335,default,mse
0.0,6,gauche,mhggnn,10000,0.27807523951416036,0.14788988470254374,0.38456453906014754,0.8622435752631386,0.9307168735686598,default,mse
0.0,7,gauche,mhggnn,10000,0.28586458924523495,0.14736822104275507,0.38388568746796886,0.8777448926028114,0.937031715520619,default,mse
0.0,8,gauche,mhggnn,10000,0.26464214220522003,0.1297499613719565,0.3602082194675137,0.874008972324837,0.9355644413419957,default,mse
0.0,9,gauche,mhggnn,10000,0.27660006744656973,0.1298960626145147,0.3604109635048783,0.8808061370051607,0.9391822699582382,default,mse
0.1,0,gauche,mhggnn,10000,0.32443385385733026,0.17847484792211563,0.42246283614315194,0.8410612392012345,0.9172899736634985,default,mse
0.1,1,gauche,mhggnn,10000,0.31378378107415916,0.1710315355075375,0.41355959124113845,0.8440912670312858,0.9193250003502859,default,mse
0.1,2,gauche,mhggnn,10000,0.29820106632296395,0.15497037200321973,0.39366276430876684,0.8603424416567508,0.9277211586209813,default,mse
0.1,3,gauche,mhggnn,10000,0.3115729020278951,0.1721612922919689,0.41492323662572683,0.8429357559140888,0.9196482652770908,default,mse
0.1,4,gauche,mhggnn,10000,0.30643801445955193,0.16220582253383473,0.40274783988723606,0.8559826623975875,0.9259373786396758,default,mse
0.1,5,gauche,mhggnn,10000,0.2915428303843028,0.14512895995099293,0.380957950371157,0.8738448058326842,0.9352213861899886,default,mse
0.1,6,gauche,mhggnn,10000,0.29614040238142025,0.16513624343641065,0.4063695897042625,0.846213566110001,0.9220353322039881,default,mse
0.1,7,gauche,mhggnn,10000,0.3098207499075531,0.16922798484953744,0.4113732913662935,0.8599579581223931,0.9276594079428999,default,mse
0.1,8,gauche,mhggnn,10000,0.2940840370202,0.15160754987002076,0.38936814182726964,0.8520170671064897,0.9236115888240779,default,mse
0.1,9,gauche,mhggnn,10000,0.3020332369926027,0.1529576987117115,0.3910980678956513,0.8603159306970002,0.9280665750676469,default,mse
0.2,0,gauche,mhggnn,10000,0.37779447366044133,0.2350027339487887,0.48477080558629837,0.788073306195152,0.8879620645398532,default,mse
0.2,1,gauche,mhggnn,10000,0.3673251064369392,0.22481116365427237,0.47414255625736906,0.792340218724649,0.8906418259646618,default,mse
0.2,2,gauche,mhggnn,10000,0.3531800318477725,0.2083163173376282,0.45641682411763507,0.8127164931322409,0.9017939265792301,default,mse
0.2,3,gauche,mhggnn,10000,0.3638551782314201,0.22073574454159336,0.46982522765555423,0.7992237953149779,0.8952566809621775,default,mse
0.2,4,gauche,mhggnn,10000,0.36846261779520995,0.2223488585947606,0.4715388198173726,0.8050363762330864,0.8982827861266973,default,mse
0.2,5,gauche,mhggnn,10000,0.34090663535300186,0.19418992525288795,0.44066985970552597,0.828622989616213,0.9107639147787311,default,mse
