sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mhggnn,10000,0.8900629645834747,1.148254259365253,1.0715662645703499,-0.013307868503663611,0.10912365988320992,default,mse
0.0,1,gauche_rbf,mhggnn,10000,0.8880239179985515,1.136038852696547,1.065851233848583,-0.02570810476478158,0.04436844554607796,default,mse
0.0,2,gauche_rbf,mhggnn,10000,0.8793110005825268,1.1189343163433596,1.05779691639906,-0.01552969759297218,0.05017154593692549,default,mse
0.0,3,gauche_rbf,mhggnn,10000,0.8715282835911494,1.1179188226898107,1.0573168033705937,-0.026937178422385744,0.035632142649821355,default,mse
0.0,4,gauche_rbf,mhggnn,10000,0.8834201464001403,1.1262042647669466,1.0612277157928671,-0.01656880192659682,0.02513602345390808,default,mse
0.0,5,gauche_rbf,mhggnn,10000,0.901605602037278,1.1704059868912662,1.0818530338688643,-0.007161057797962389,0.008782298091773996,default,mse
0.0,6,gauche_rbf,mhggnn,10000,0.8736443244732798,1.0894090248689814,1.0437475867607942,-0.014762386513917702,0.03144141438884859,default,mse
0.0,7,gauche_rbf,mhggnn,10000,0.9264930452307906,1.2215208247293017,1.1052243323096456,-0.01336067273185626,0.07166861899988572,default,mse
0.0,8,gauche_rbf,mhggnn,10000,0.8561095591289922,1.045463418709479,1.0224790553891454,-0.01517572049517013,nan,default,mse
0.0,9,gauche_rbf,mhggnn,10000,0.8810345527096957,1.0997207923776569,1.0486757327113356,-0.009114262748958213,0.018808339881836722,default,mse
0.1,0,gauche_rbf,mhggnn,10000,0.8858274153952679,1.139209609989955,1.0673376269906139,-0.014510256262343812,0.09990568156768467,default,mse
0.1,1,gauche_rbf,mhggnn,10000,0.8812758239004419,1.1240394300314538,1.0602072580545059,-0.024650587524874368,0.04009265952179042,default,mse
0.1,2,gauche_rbf,mhggnn,10000,0.8812782472514827,1.1275334225818172,1.06185376704225,-0.01612045394659023,0.05376727357212904,default,mse
0.1,3,gauche_rbf,mhggnn,10000,0.8728579031095142,1.125026759041995,1.0606727860381802,-0.026371695593948807,0.03644488239565531,default,mse
0.1,4,gauche_rbf,mhggnn,10000,0.8933256617658696,1.1442896224544106,1.0697147388226502,-0.015977985855462506,0.02731698055463136,default,mse
0.1,5,gauche_rbf,mhggnn,10000,0.8983907286048052,1.158560397339393,1.076364435188841,-0.0070933597971649665,0.009833949202708447,default,mse
0.1,6,gauche_rbf,mhggnn,10000,0.8704563482031223,1.0881422573040358,1.043140574085792,-0.013354269380845496,0.03339627060336638,default,mse
0.1,7,gauche_rbf,mhggnn,10000,0.9250683171561607,1.2235576301806863,1.1061453928759484,-0.012536484658716818,0.06970765756624363,default,mse
0.1,8,gauche_rbf,mhggnn,10000,0.8504349935353966,1.0406772569899163,1.0201359012356719,-0.015796857194602776,nan,default,mse
0.1,9,gauche_rbf,mhggnn,10000,0.8800819040299823,1.1054305680940628,1.0513945824922548,-0.009501590203270682,0.014486824210438997,default,mse
0.2,0,gauche_rbf,mhggnn,10000,0.8811866273238049,1.1256304995657664,1.0609573504933016,-0.015099468037919728,0.08982116980340114,default,mse
0.2,1,gauche_rbf,mhggnn,10000,0.8706764959786433,1.1073965516738844,1.0523291080616768,-0.022910615147765823,0.03529409906748189,default,mse
0.2,2,gauche_rbf,mhggnn,10000,0.8787760690997882,1.1304171823588096,1.0632107892411597,-0.016283778637479207,0.05645656039032018,default,mse
0.2,3,gauche_rbf,mhggnn,10000,0.8707638734810462,1.1269382497926403,1.0615734782824222,-0.02503735938930829,0.036669423917639006,default,mse
0.2,4,gauche_rbf,mhggnn,10000,0.8964298663327215,1.1575227293586956,1.0758823027444477,-0.014958328702918022,0.028974770121719676,default,mse
0.2,5,gauche_rbf,mhggnn,10000,0.889457898113993,1.1408508962042132,1.0681062195325957,-0.00682677348234173,0.010723450863887155,default,mse
0.2,6,gauche_rbf,mhggnn,10000,0.8639434215323998,1.085295104211949,1.041774977724052,-0.011653738671033365,0.034731072370228155,default,mse
0.2,7,gauche_rbf,mhggnn,10000,0.9177648897702074,1.2170476338860239,1.103198818838211,-0.01140749516143913,0.06686592265009993,default,mse
0.2,8,gauche_rbf,mhggnn,10000,0.8461503535263473,1.038755594099564,1.01919359991101,-0.0158152738328472,nan,default,mse
0.2,9,gauche_rbf,mhggnn,10000,0.8756545690808989,1.1065173743629666,1.0519112958624253,-0.0095355260640122,0.01010144263176889,default,mse
0.3,0,gauche_rbf,mhggnn,10000,0.873046667893766,1.1094227660718952,1.0532913965621742,-0.015083016154752826,0.07981530290719209,default,mse
0.3,1,gauche_rbf,mhggnn,10000,0.8578660650055283,1.0883271170103097,1.0432291776068716,-0.02067967953077199,0.0302591633229538,default,mse
0.3,2,gauche_rbf,mhggnn,10000,0.8713646752024142,1.1280667332855279,1.0621048598351897,-0.016061823974891754,0.05825153460994481,default,mse
0.3,3,gauche_rbf,mhggnn,10000,0.8666722018715227,1.124182492837704,1.0602747251715963,-0.02316203862766586,0.036382592748777,default,mse
0.3,4,gauche_rbf,mhggnn,10000,0.8952343226673339,1.1653185762755394,1.0794992247683828,-0.013672440501882877,0.03012258279917971,default,mse
0.3,5,gauche_rbf,mhggnn,10000,0.877304193051823,1.1197242352767742,1.0581702298197462,-0.006400394760622374,0.011429301243801272,default,mse
0.3,6,gauche_rbf,mhggnn,10000,0.8560528508052518,1.0813481600423178,1.039878916048555,-0.00984777322666397,0.035471627543031216,default,mse
0.3,7,gauche_rbf,mhggnn,10000,0.9057578574174417,1.2037955448397555,1.0971761685525965,-0.010120263812007924,0.06336871941841622,default,mse
0.3,8,gauche_rbf,mhggnn,10000,0.8421544064207701,1.0395003305678991,1.019558890191194,-0.015318385681372337,nan,default,mse
0.3,9,gauche_rbf,mhggnn,10000,0.8675707310560136,1.103495212518182,1.050473803822914,-0.009269422138912908,0.005844399524327259,default,mse
0.4,0,gauche_rbf,mhggnn,10000,0.8624137293828863,1.0924790113400376,1.0452172077324586,-0.014538390218307384,0.07106463241286842,default,mse
0.4,1,gauche_rbf,mhggnn,10000,0.8451032316946434,1.0689007737485867,1.033876575684248,-0.018164092467078286,0.025249957185485263,default,mse
0.4,2,gauche_rbf,mhggnn,10000,0.8616806398857786,1.1217229532791848,1.0591142305149075,-0.015538607698018625,0.059257911791669934,default,mse
0.4,3,gauche_rbf,mhggnn,10000,0.8602636102080577,1.117970011415183,1.0573410099940241,-0.02100259545517158,0.03570225883713999,default,mse
0.4,4,gauche_rbf,mhggnn,10000,0.8900653584978333,1.1681479888169852,1.0808089511180896,-0.01227895327193873,0.03082744166567861,default,mse
0.4,5,gauche_rbf,mhggnn,10000,0.8626834014285123,1.097655603812557,1.0476906050034795,-0.005872668486495147,0.01195344841450516,default,mse
0.4,6,gauche_rbf,mhggnn,10000,0.847192964426067,1.0768822309810886,1.0377293630716482,-0.008111929160630194,0.035710130498796726,default,mse
0.4,7,gauche_rbf,mhggnn,10000,0.8929218050904365,1.186308985013082,1.0891781236386828,-0.008794367183904805,0.059471624652208406,default,mse
