sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mol2vec,10000,0.2982534453862827,0.15639971465190197,0.39547403789869945,0.8619808633881252,0.9289525047175009,default,mse
0.0,1,gauche,mol2vec,10000,0.287058284093604,0.14503541399890849,0.3808351533129636,0.8690502536392274,0.932369286415121,default,mse
0.0,2,gauche,mol2vec,10000,0.2834808705785872,0.1426273428956273,0.3776603538837871,0.8705533468017806,0.9333615014492589,default,mse
0.0,3,gauche,mol2vec,10000,0.29438250484898165,0.15339468669181924,0.3916563374845596,0.8590893153071172,0.9279140310957708,default,mse
0.0,4,gauche,mol2vec,10000,0.2912595150501511,0.15271278358311832,0.3907848302878687,0.86215373507035,0.9293903499525091,default,mse
0.0,5,gauche,mol2vec,10000,0.28079415848574807,0.13955883469439362,0.37357574157644874,0.8799064383212911,0.9382125341460849,default,mse
0.0,6,gauche,mol2vec,10000,0.2764696812672246,0.15048167319658115,0.3879196736395064,0.8598293769064974,0.9288961885291509,default,mse
0.0,7,gauche,mol2vec,10000,0.2892555749928915,0.1466568181419525,0.38295798482594995,0.8783350648762153,0.9372108933120371,default,mse
0.0,8,gauche,mol2vec,10000,0.2765124802916216,0.13940733732069308,0.37337291990809013,0.8646313763120054,0.9310960320266803,default,mse
0.0,9,gauche,mol2vec,10000,0.2818398302420201,0.1403340597647099,0.37461187883556213,0.8712281315043083,0.9342960192496523,default,mse
0.1,0,gauche,mol2vec,10000,0.3242499659312598,0.17934368487101313,0.423489887566413,0.8402875062657443,0.9171969039208483,default,mse
0.1,1,gauche,mol2vec,10000,0.31253228738209143,0.16690372741483908,0.40853852623080616,0.8478540896461961,0.921041907930988,default,mse
0.1,2,gauche,mol2vec,10000,0.31255924793985834,0.16461353522633476,0.40572593610260455,0.8516521312894395,0.9231954305905536,default,mse
0.1,3,gauche,mol2vec,10000,0.3138168471294193,0.17030523531483074,0.41268054874785504,0.8446290528347473,0.9197458828115839,default,mse
0.1,4,gauche,mol2vec,10000,0.3230993539491574,0.18196912231690837,0.42657838941618736,0.8384354635823112,0.9166740691624997,default,mse
0.1,5,gauche,mol2vec,10000,0.30044974727743284,0.15457790948435224,0.39316397277008003,0.8656311862803865,0.9306004037391773,default,mse
