sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mol2vec,10000,0.8763693549137704,1.1233914700711012,1.0599016322617403,0.008632968919085937,0.19714632410006916,default,mse
0.0,1,gauche_rbf,mol2vec,10000,0.8737288830904699,1.1122964236145116,1.0546546466092641,-0.00427151227638034,0.16100069368033257,default,mse
0.0,2,gauche_rbf,mol2vec,10000,0.8556962962470159,1.0789367211493803,1.0387187882913163,0.02077158047000538,0.20980785960063106,default,mse
0.0,3,gauche_rbf,mol2vec,10000,0.8587844800848752,1.0996253826311468,1.048630241138957,-0.010132547051851848,0.1379199479567474,default,mse
0.0,4,gauche_rbf,mol2vec,10000,0.8596190572449097,1.0851710213952255,1.0417154224620204,0.020469874234148144,0.21172647945531575,default,mse
0.0,5,gauche_rbf,mol2vec,10000,0.887248791819189,1.1469190635189113,1.0709430720252646,0.013049975683634307,0.15042752523510539,default,mse
0.0,6,gauche_rbf,mol2vec,10000,0.8531465633885832,1.0591781134203568,1.0291637932906292,0.013397093670108218,0.18339615296392192,default,mse
0.0,7,gauche_rbf,mol2vec,10000,0.9130917253021746,1.1951100104290449,1.0932108718948257,0.00854945766042381,0.16683967151134566,default,mse
0.0,8,gauche_rbf,mol2vec,10000,0.8445139063660073,1.024749976843516,1.012299351399336,0.004937640617139749,0.15117176806610527,default,mse
0.0,9,gauche_rbf,mol2vec,10000,0.867994305090421,1.0775842514998277,1.0380675563275388,0.011198437786098525,0.15185317623754552,default,mse
0.1,0,gauche_rbf,mol2vec,10000,0.8719892148987263,1.1143565053337223,1.0556308565657422,0.007622395492526746,0.191095696182333,default,mse
0.1,1,gauche_rbf,mol2vec,10000,0.868122750155088,1.102425447321684,1.049964498124429,-0.004947737704295907,0.15362480619952293,default,mse
0.1,2,gauche_rbf,mol2vec,10000,0.8598856599465954,1.0895527850883788,1.0438164518191781,0.018107269895638378,0.20407203198849266,default,mse
0.1,3,gauche_rbf,mol2vec,10000,0.8604176278750602,1.1066907076833918,1.0519936823400566,-0.009643556487770821,0.137316642494961,default,mse
0.1,4,gauche_rbf,mol2vec,10000,0.8712215693617793,1.104192110068247,1.0508054577647792,0.019623306922609385,0.20797256962061422,default,mse
0.1,5,gauche_rbf,mol2vec,10000,0.884435560853354,1.1365747158668313,1.0661025822437686,0.012017973433696483,0.14659700332975129,default,mse
0.1,6,gauche_rbf,mol2vec,10000,0.8495799403745078,1.0579173014020242,1.0285510689324202,0.014793326119246775,0.18227769214715683,default,mse
0.1,7,gauche_rbf,mol2vec,10000,0.9118584804419311,1.1986086423787083,1.0948098658574046,0.008109670276443603,0.16260172869402859,default,mse
0.1,8,gauche_rbf,mol2vec,10000,0.8393708943102447,1.0211003573633495,1.0104951050664963,0.0033120000238203717,0.1475917450480469,default,mse
0.1,9,gauche_rbf,mol2vec,10000,0.8684056659019184,1.0841326573065302,1.0412169117463135,0.009948093411948467,0.14781749762897295,default,mse
0.2,0,gauche_rbf,mol2vec,10000,0.8679593206848945,1.1019693792917975,1.0497472930623815,0.006238253898855128,0.18227904751155155,default,mse
0.2,1,gauche_rbf,mol2vec,10000,0.8597228567147149,1.0891454697298273,1.0436213248730726,-0.006051951979374692,0.1408645647090499,default,mse
0.2,2,gauche_rbf,mol2vec,10000,0.8605772403179976,1.0963015147109367,1.0470441799231476,0.014387375489507193,0.19362295446231306,default,mse
0.2,3,gauche_rbf,mol2vec,10000,0.8597830643318359,1.109640765971277,1.0533948765639962,-0.009303962156947065,0.13299642375443935,default,mse
0.2,4,gauche_rbf,mol2vec,10000,0.8777339292275832,1.1207497933454307,1.0586547092161025,0.01728552857166077,0.19827848972575607,default,mse
0.2,5,gauche_rbf,mol2vec,10000,0.8773079782302079,1.1213224681322818,1.0589251475587318,0.010407506906324637,0.1394676406687563,default,mse
0.2,6,gauche_rbf,mol2vec,10000,0.8443717849552267,1.0565693902272664,1.027895612514844,0.015122827293207353,0.17638719543643738,default,mse
0.2,7,gauche_rbf,mol2vec,10000,0.9060852601728474,1.1949925109183623,1.0931571300221952,0.006921053413915357,0.15444433814681838,default,mse
0.2,8,gauche_rbf,mol2vec,10000,0.8365436951875898,1.0214319665347156,1.010659174269306,0.0011257713740565611,0.13920481035520615,default,mse
0.2,9,gauche_rbf,mol2vec,10000,0.8666939901284351,1.0875682890586864,1.0428654223142535,0.007752747255782455,0.13884303991240762,default,mse
0.3,0,gauche_rbf,mol2vec,10000,0.861072590571474,1.0877004094481808,1.0429287652798636,0.004792180167079607,0.17173881423609905,default,mse
