sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,pdv,10000,0.2899437073557043,0.1542918264165913,0.39279998270950994,0.8638410260806175,0.9300889254691606,default,mse
0.0,1,gauche,pdv,10000,0.28289100687133223,0.149727984831948,0.3869470051983191,0.8648134197279518,0.9309864567317703,default,mse
0.0,2,gauche,pdv,10000,0.2725250460898751,0.143413361806297,0.37869956668353477,0.8698399666372834,0.9330699817906816,default,mse
0.0,3,gauche,pdv,10000,0.2912808393943982,0.15952933748223105,0.3994112385527366,0.8534539320883661,0.9249011870436269,default,mse
0.0,4,gauche,pdv,10000,0.2833868505946693,0.1480964528678008,0.3848330194614293,0.8663206681315903,0.9317022127021337,default,mse
0.0,5,gauche,pdv,10000,0.2881871271521703,0.1538761010470182,0.39227044375917264,0.8675861039364805,0.9324541408181938,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.0,7,gauche,pdv,10000,0.27227143077546617,0.14258146663019808,0.37759961153343113,0.8817159331070008,0.9393923985497447,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.0,9,gauche,pdv,10000,0.2792902265318537,0.15460484117891632,0.39319822123061077,0.8581331266944847,0.9289886348544039,default,mse
0.1,0,gauche,pdv,10000,0.31572627635544065,0.17423155662943982,0.41741053727648014,0.8448400543542829,0.9198022292294331,default,mse
0.1,1,gauche,pdv,10000,0.30488627627732506,0.1670820805204927,0.4087567498164314,0.8476915067246258,0.9220124193026421,default,mse
0.1,2,gauche,pdv,10000,0.2980954894167699,0.16166554405246397,0.4020765400423954,0.8543088278181907,0.9247987806849315,default,mse
0.1,3,gauche,pdv,10000,0.31000913855452655,0.17281930946333235,0.4157154188424244,0.8423354411264855,0.9185676775483288,default,mse
0.1,4,gauche,pdv,10000,0.3086515406314179,0.1684638789749813,0.410443514962755,0.8504263351761552,0.9231522440684776,default,mse
0.1,5,gauche,pdv,10000,0.3073846747732158,0.16913461247378744,0.41125978708571476,0.8529775870766971,0.9245144502414198,default,mse
0.1,6,gauche,pdv,10000,0.3007465423919559,0.16497412640698406,0.4061700707917609,0.8463645408403785,0.9218685653152635,default,mse
0.1,7,gauche,pdv,10000,0.29687169563862703,0.16206863543855582,0.40257748997994885,0.8658825687056871,0.9310897305085769,default,mse
0.1,8,gauche,pdv,10000,0.29712386907303484,0.15689338571404812,0.39609769718347027,0.8468576044566188,0.9208852756137749,default,mse
0.1,9,gauche,pdv,10000,0.3008264505917169,0.17351173280320772,0.41654739562648535,0.8415455703511371,0.91974977869576,default,mse
0.2,0,gauche,pdv,10000,0.36663171623500523,0.22588093859218583,0.47526933268641036,0.7962993889262173,0.8930279542248325,default,mse
0.2,1,gauche,pdv,10000,0.3544106640793268,0.2145943966704483,0.4632433449823627,0.8017775240733498,0.897021691681805,default,mse
0.2,2,gauche,pdv,10000,0.3533632804980879,0.21201414870587465,0.46044994158526575,0.8093920160326944,0.90038478064005,default,mse
0.2,3,gauche,pdv,10000,0.3584845217012171,0.21836131066526915,0.4672914622216729,0.8013835262772375,0.8959221693702067,default,mse
0.2,4,gauche,pdv,10000,0.36678308538219295,0.2228421551035044,0.4720616009627392,0.8046038357849632,0.8982292441743341,default,mse
0.2,5,gauche,pdv,10000,0.3522130522353864,0.2141436316476672,0.46275655764955637,0.8110133914686268,0.9016994704920855,default,mse
0.2,6,gauche,pdv,10000,0.35852094595929496,0.21606393380627623,0.4648267782801204,0.798596818893967,0.8956967962558846,default,mse
0.2,7,gauche,pdv,10000,0.35211145982151,0.2135652750879637,0.4621312314570004,0.8225200773444752,0.9077914443762166,default,mse
0.2,8,gauche,pdv,10000,0.3566196868969472,0.21169010595386875,0.46009793082980577,0.7929849483663793,0.8912325976289881,default,mse
0.2,9,gauche,pdv,10000,0.3515132479801092,0.22109578359358653,0.4702082342894332,0.7982823827513895,0.8956526338388372,default,mse
0.3,0,gauche,pdv,10000,0.4258856287999297,0.2968825746062897,0.5448693188336904,0.728362831112471,0.8541295608516664,default,mse
0.3,1,gauche,pdv,10000,0.4140431895857524,0.28131285182600513,0.5303893398495158,0.7361727857719689,0.8598734485427593,default,mse
0.3,2,gauche,pdv,10000,0.4166750905981247,0.28346217879915414,0.5324116629067719,0.7446825707024327,0.8639912196495773,default,mse
0.3,3,gauche,pdv,10000,0.4164552002430329,0.28537587691086547,0.5342058375859117,0.7402683586912678,0.8611846369696092,default,mse
0.3,4,gauche,pdv,10000,0.43136236907001935,0.29904207796294086,0.5468473991553228,0.7398730963765454,0.8617767148562261,default,mse
0.3,5,gauche,pdv,10000,0.405817412358145,0.2791713934672683,0.5283667225207018,0.7490826832716678,0.8669108906638769,default,mse
0.3,6,gauche,pdv,10000,0.42041476048959303,0.2881373313148255,0.5367842502484825,0.7309147477530613,0.8570982185210093,default,mse
0.3,7,gauche,pdv,10000,0.41573823160696166,0.28615933104674157,0.5349386236258713,0.7598800392572642,0.8729086220390289,default,mse
0.3,8,gauche,pdv,10000,0.425558842593539,0.28993036191484445,0.5384518194925563,0.7168143016764843,0.8475687947028882,default,mse
0.3,9,gauche,pdv,10000,0.41155756837027324,0.28770041942225705,0.5363771242533159,0.7368658850845355,0.860402361585253,default,mse
0.4,0,gauche,pdv,10000,0.4829503058020886,0.37595321886577215,0.6131502416747238,0.6508683741231587,0.8074711269662609,default,mse
0.4,1,gauche,pdv,10000,0.47191081952750175,0.35624540974832164,0.5968629740135684,0.6606642139102091,0.8148997351062943,default,mse
0.4,2,gauche,pdv,10000,0.47602160074051875,0.3639833522753815,0.6033103283347481,0.6704719773145276,0.8202495734756858,default,mse
0.4,3,gauche,pdv,10000,0.47214417044921775,0.3621398812065304,0.6017805922481468,0.6692704143632151,0.8190089655164219,default,mse
0.4,4,gauche,pdv,10000,0.49298010728497255,0.38455520571518775,0.6201251532676189,0.6667569992472642,0.8186088854519531,default,mse
0.4,5,gauche,pdv,10000,0.459696961163003,0.3530853550859024,0.5942098577825029,0.6764386688409714,0.8241152883464075,default,mse
0.4,6,gauche,pdv,10000,0.480106718832345,0.3693117952396085,0.6077102889038563,0.6542726626461389,0.811050364797095,default,mse
0.4,7,gauche,pdv,10000,0.47573949731995424,0.367546843296975,0.6062564171181819,0.6874514229611732,0.8306096769090026,default,mse
0.4,8,gauche,pdv,10000,0.4899059723292504,0.37886409902682194,0.6155193733968265,0.6312576636296534,0.7956512019556992,default,mse
0.4,9,gauche,pdv,10000,0.46829911343254255,0.36327727259935094,0.6027248730551535,0.6660675112537424,0.8179406898700732,default,mse
0.5,0,gauche,pdv,10000,0.5325458827272038,0.4544988366944501,0.6741652888531492,0.5719483074207341,0.7570114940636575,default,mse
0.5,1,gauche,pdv,10000,0.5223140302008087,0.4310734336119083,0.6565618277145788,0.583312503266005,0.7659979621483889,default,mse
0.5,2,gauche,pdv,10000,0.5275491626621726,0.4442002878212206,0.6664835240433334,0.5949375875644463,0.7731531791780072,default,mse
0.5,3,gauche,pdv,10000,0.5208392750839648,0.439341517742328,0.6628284225516645,0.5966424742783809,0.773480032730972,default,mse
0.5,4,gauche,pdv,10000,0.5464287020662701,0.4697182479240802,0.6853599404138531,0.5931460131892315,0.7726819023841758,default,mse
0.5,5,gauche,pdv,10000,0.5076907659604982,0.4272739217231533,0.6536619322885135,0.6010015056649066,0.77705195378445,default,mse
0.5,6,gauche,pdv,10000,0.5327789176355386,0.45054535184361816,0.6712267514362178,0.5771051372405036,0.761787846434964,default,mse
0.5,7,gauche,pdv,10000,0.5283358152409844,0.44812380544764535,0.6694204997216961,0.6131124992682171,0.7847060562601468,default,mse
0.5,8,gauche,pdv,10000,0.5460706717032828,0.46835086634698675,0.6843616487990738,0.5464264043512697,0.7405547219342531,default,mse
0.5,9,gauche,pdv,10000,0.5183110671247367,0.43969065354342074,0.6630917384068518,0.5931469291392768,0.7718054616084826,default,mse
0.6,0,gauche,pdv,10000,0.5749448698277604,0.5271852003176293,0.7260752029353635,0.49720416169546755,0.7059110174251204,default,mse
0.6,1,gauche,pdv,10000,0.5650265588263672,0.5006367204845442,0.7075568673149489,0.509669907685283,0.7162650031812818,default,mse
0.6,2,gauche,pdv,10000,0.5711423356298954,0.5183958193261362,0.7199970967484078,0.523352814536734,0.72565306994746,default,mse
0.6,3,gauche,pdv,10000,0.5625652084782837,0.5113041250106377,0.7150553300344231,0.5276292428770778,0.7275687197726881,default,mse
0.6,4,gauche,pdv,10000,0.5922558996918856,0.5486314872844655,0.7406966229735799,0.5238830316120601,0.7268051830412153,default,mse
0.6,5,gauche,pdv,10000,0.5497879319984706,0.4965239106927978,0.7046445278953054,0.5282529788171857,0.72868246428417,default,mse
0.6,6,gauche,pdv,10000,0.5772336599480024,0.526235850686948,0.7254211540112048,0.5047489945433687,0.7124438974410452,default,mse
0.6,7,gauche,pdv,10000,0.5718252859129145,0.5221791962923197,0.7226196761037715,0.5421056103448553,0.7381162421976257,default,mse
0.6,8,gauche,pdv,10000,0.592579437011093,0.5520157106964295,0.7429775977083223,0.46841560468012744,0.6859567830814506,default,mse
0.6,9,gauche,pdv,10000,0.5619915019866674,0.5115787805919488,0.715247356228563,0.5231381611363803,0.7247847545125625,default,mse
0.7,0,gauche,pdv,10000,0.6101604931576301,0.5915212814838997,0.7691042071682482,0.42968380543061246,0.6563406247637062,default,mse
0.7,1,gauche,pdv,10000,0.600423845132816,0.5624741373413173,0.7499827580293545,0.44283069306116063,0.6678622060108238,default,mse
0.7,2,gauche,pdv,10000,0.6068181381216132,0.5840253366274424,0.7642155040480678,0.45840046987490546,0.6796372520009246,default,mse
0.7,3,gauche,pdv,10000,0.5972374739953686,0.5753993166022637,0.758550800277914,0.4649085396086836,0.6831647141655199,default,mse
0.7,4,gauche,pdv,10000,0.6295401152562495,0.6185794312460815,0.7864982080374255,0.46133361142502227,0.6827291940158188,default,mse
0.7,5,gauche,pdv,10000,0.5854922464015715,0.5583587947999492,0.7472340963847602,0.4613737498041923,0.681110385740814,default,mse
0.7,6,gauche,pdv,10000,0.613454158216356,0.5937179471970457,0.7705309514854324,0.4398465574597227,0.6650326429738491,default,mse
0.7,7,gauche,pdv,10000,0.6078821388139102,0.5872830427565545,0.7663439454687135,0.47722558722375574,0.692763589339999,default,mse
0.7,8,gauche,pdv,10000,0.6308518833435821,0.6267975251106725,0.7917054535057041,0.399876290669279,0.6340900467102647,default,mse
0.7,9,gauche,pdv,10000,0.5982546956476984,0.5761557129939413,0.7590492164503836,0.45891881656812594,0.678819516171701,default,mse
0.8,0,gauche,pdv,10000,0.638133834152146,0.6469694765987333,0.8043441282179744,0.37049661675385626,0.6095810505805742,default,mse
0.8,1,gauche,pdv,10000,0.6296785987321887,0.6159472615613409,0.7848230765983764,0.3840143317174126,0.6221097298723556,default,mse
0.8,2,gauche,pdv,10000,0.6360261334655694,0.6405368112609051,0.8003354367144473,0.4010221220074571,0.6361797740824309,default,mse
0.8,3,gauche,pdv,10000,0.6257874994494866,0.6309464928680967,0.794321404009798,0.4094426173070087,0.6413326014444098,default,mse
0.8,4,gauche,pdv,10000,0.6595750118797448,0.6789282997976118,0.8239710551940594,0.40623491289570546,0.6413975352412117,default,mse
0.8,5,gauche,pdv,10000,0.6151738375117679,0.6121044222112728,0.782371025927771,0.4017825097833969,0.6356742150860212,default,mse
0.8,6,gauche,pdv,10000,0.6423571922297782,0.6522794651937297,0.8076382019157649,0.383198738359928,0.6206736549775855,default,mse
0.8,7,gauche,pdv,10000,0.6372969083117693,0.6430473061478535,0.8019023046156268,0.41955731365199833,0.6497719234528642,default,mse
0.8,8,gauche,pdv,10000,0.6624450698733643,0.6918152218973207,0.8317543038045073,0.3412901229900145,0.5861012357502452,default,mse
0.8,9,gauche,pdv,10000,0.6281194942721483,0.6325090217913699,0.7953043579607557,0.4017093816200127,0.6350968775175647,default,mse
0.9,0,gauche,pdv,10000,0.6606478170149808,0.6940464833725789,0.8330945224718375,0.31955584364928413,0.5662508908343545,default,mse
0.9,1,gauche,pdv,10000,0.6535873433649979,0.6614718251132978,0.8133091817465838,0.33323314705084206,0.5796683164006073,default,mse
0.9,2,gauche,pdv,10000,0.6597900647169058,0.6884841438831465,0.8297494464494366,0.3511214592268429,0.5957772579617264,default,mse
0.9,3,gauche,pdv,10000,0.649144404135249,0.678350819029118,0.8236205552492714,0.36117197821487823,0.6025660781275823,default,mse
0.9,4,gauche,pdv,10000,0.6839052689209291,0.7302151972599046,0.8545262999228898,0.3583793295823753,0.6032066551679075,default,mse
0.9,5,gauche,pdv,10000,0.6396957672641284,0.6580876523430405,0.811226018038771,0.34973662977731723,0.5931135053752499,default,mse
0.9,6,gauche,pdv,10000,0.6657517437259173,0.7023317633265168,0.8380523631173155,0.3345292021978715,0.5798468365135561,default,mse
0.9,7,gauche,pdv,10000,0.6609853423000139,0.6901765250422768,0.8307686350857721,0.3691116830565694,0.6096720616165494,default,mse
0.9,8,gauche,pdv,10000,0.688735488190679,0.7474576055018308,0.8645563055705688,0.2919615370814683,0.5423911151952185,default,mse
0.9,9,gauche,pdv,10000,0.6530575141992601,0.6808428393059848,0.8251320132596873,0.3516620128100372,0.5942328441998145,default,mse
1.0,0,gauche,pdv,10000,0.6788170838296408,0.733720799285536,0.8565750400785305,0.2761673179049451,0.5265377756031071,default,mse
1.0,1,gauche,pdv,10000,0.6729153677618545,0.6999289534014171,0.8366175669930779,0.2898635550199097,0.5407583834609613,default,mse
1.0,2,gauche,pdv,10000,0.6793565032889283,0.7288691916733843,0.8537383625405293,0.30809509009371794,0.5585686247601871,default,mse
1.0,3,gauche,pdv,10000,0.668136280025298,0.7184875840335423,0.8476364692682484,0.3195334048558698,0.5669991142953004,default,mse
1.0,4,gauche,pdv,10000,0.7034827583705804,0.7734622547683311,0.8794670288125253,0.3171207646251293,0.5682227351980093,default,mse
1.0,5,gauche,pdv,10000,0.6595620412511205,0.6971166826552019,0.8349351367951895,0.304827962377185,0.5537445573434231,default,mse
1.0,6,gauche,pdv,10000,0.6847371612701576,0.7447815858726692,0.8630072919000564,0.29305977856422916,0.5426391760306526,default,mse
1.0,7,gauche,pdv,10000,0.6801836948491528,0.729723949783927,0.8542388130867895,0.32542139713902507,0.5726699348948563,default,mse
1.0,8,gauche,pdv,10000,0.7106786725433235,0.7946858594108321,0.8914515463057048,0.25073249040740575,0.5029342588138749,default,mse
1.0,9,gauche,pdv,10000,0.6734675359668275,0.721900448089675,0.8496472492097382,0.3083439298940338,0.5564592119333084,default,mse
