sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,smiles,10000,0.3791641311172508,0.2562507750087251,0.5062121837813913,0.7738646083751155,0.8802401251819025,default,mse
0.0,1,gauche_rbf,smiles,10000,0.34276075560158537,0.19848349080570507,0.445514860364618,0.8207929907518765,0.9061493306009443,default,mse
0.0,2,gauche_rbf,smiles,10000,0.3327510415449163,0.21090360874206993,0.459242429161407,0.8085867285695283,0.9001519951176218,default,mse
0.0,3,gauche_rbf,smiles,10000,0.35545796793290174,0.23767984078354407,0.4875241950750179,0.7816636949766609,0.8853316880507056,default,mse
0.0,4,gauche_rbf,smiles,10000,0.3420957110854155,0.21263442365195717,0.46112300273566614,0.8080654388704934,0.8994028951975177,default,mse
0.0,5,gauche_rbf,smiles,10000,0.33773333767663566,0.21103685643774542,0.45938747962667137,0.8183979696406468,0.9048687176782636,default,mse
0.0,6,gauche_rbf,smiles,10000,0.3495390667272028,0.2403586768600055,0.49026388492321715,0.7761107729219331,0.883501327480462,default,mse
0.0,7,gauche_rbf,smiles,10000,0.34421710961376584,0.21915246274748884,0.46813722640641264,0.8181934498498189,0.9047188653414021,default,mse
0.0,8,gauche_rbf,smiles,10000,0.3239051990241906,0.18602964048549803,0.4313115353030777,0.8193597490513413,0.9061263354297695,default,mse
0.0,9,gauche_rbf,smiles,10000,0.34852392873197163,0.2178838771640934,0.46678033073823216,0.8000676811848231,0.8964888335234095,default,mse
0.1,0,gauche_rbf,smiles,10000,0.395968175427438,0.2775672595656268,0.52684652372928,0.7528156107861104,0.8686053459479068,default,mse
0.1,1,gauche_rbf,smiles,10000,0.3638010201995017,0.22012053008716942,0.46917004389364997,0.7993427770823008,0.8943642198333228,default,mse
0.1,2,gauche_rbf,smiles,10000,0.3566784612193757,0.23236540171675427,0.48204294592572794,0.7905949103191421,0.8901644809936435,default,mse
0.1,3,gauche_rbf,smiles,10000,0.3733429869452068,0.2499005792028483,0.4999005693163875,0.7720135284384262,0.879813761743721,default,mse
0.1,4,gauche_rbf,smiles,10000,0.36711996709154826,0.23725051050372817,0.48708367915967804,0.7893528953904663,0.8887576556292487,default,mse
0.1,5,gauche_rbf,smiles,10000,0.34999926062706244,0.22226256242439976,0.47144730609517727,0.8067954409082536,0.8985182651786617,default,mse
0.1,6,gauche_rbf,smiles,10000,0.36529346741596125,0.2518078211728004,0.5018045647189754,0.7654989235679972,0.8776448976033622,default,mse
