sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,morgan,10000,0.35331470338364557,0.22483793839444383,0.4741707903218458,0.8015857113047637,0.9000898916321012,default,mse
0.0,1,gauche,morgan,10000,0.3444833769763461,0.21151509740974775,0.4599077053167817,0.8090269983475276,0.9043287775218579,default,mse
0.0,2,gauche,morgan,10000,0.340403005596089,0.22612212794836176,0.47552300464684333,0.7947746057472662,0.8948614674401084,default,mse
0.0,3,gauche,morgan,10000,0.35354362723230054,0.23873261291274042,0.4886027148028758,0.78069660253852,0.8890184109799358,default,mse
0.0,4,gauche,morgan,10000,0.336654460803053,0.20081150116169139,0.44811996291360573,0.8187374053398155,0.9097992569291316,default,mse
0.0,5,gauche,morgan,10000,0.3274955060626024,0.20668833386015684,0.4546298866772364,0.8221399725423368,0.9108991269549033,default,mse
0.0,6,gauche,morgan,10000,0.3403329623770619,0.22822676009861026,0.4777308448264674,0.7874114070499294,0.8895881151560086,default,mse
0.0,7,gauche,morgan,10000,0.35830770871409723,0.23796019017465359,0.4878116339066275,0.802590759390266,0.9024086379362555,default,mse
0.0,8,gauche,morgan,10000,0.32595629498792233,0.19821334237050564,0.44521157034662256,0.807529016270008,0.9030039778392511,default,mse
0.0,9,gauche,morgan,10000,0.33328371494305953,0.20623618401775612,0.4541323419640536,0.8107557152417947,0.9029881826705725,default,mse
0.1,0,gauche,morgan,10000,0.37219378193803976,0.24607276370721842,0.4960572181787283,0.7808626784933859,0.8878798893136903,default,mse
0.1,1,gauche,morgan,10000,0.3618535339014615,0.23162802375052724,0.4812774914231157,0.7888527890729226,0.8926469085782447,default,mse
0.8,0,gauche,morgan,10000,0.6518080788302189,0.6810620171319137,0.8252648163661854,0.3373244650753555,0.5820577669210405,default,mse
0.6,0,gauche,morgan,10000,0.5927173957877099,0.5698541707313768,0.7548868595566999,0.45650920148822816,0.6771765024859999,default,mse
0.7,0,gauche,morgan,10000,0.5533894676098611,0.5017411575196037,0.7083368954950771,0.5274550023604736,0.7279170080873146,default,mse
0.3,0,gauche,morgan,10000,0.4535197466039618,0.3504961311485544,0.5920271371724056,0.6793083026260973,0.8261524740045825,default,mse
0.1,0,gauche,morgan,10000,0.3555059904240314,0.22748434887312755,0.4769531935873032,0.7974163814568032,0.8958906102549405,default,mse
