sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,flexible_dnn_128_128,mol2vec,10000,0.47376900911331177,0.35673001408576965,0.5972687955064869,0.6851940155029297,0.89358914,cli,mse
0.0,1,flexible_dnn_128_128,mol2vec,10000,0.5222453474998474,0.4637288451194763,0.6809763910147519,0.5813079476356506,0.85527265,cli,mse
0.0,2,flexible_dnn_128_128,mol2vec,10000,0.48121458292007446,0.39202049374580383,0.6261153997034443,0.6442074775695801,0.872644,cli,mse
0.0,3,flexible_dnn_128_128,mol2vec,10000,0.41868725419044495,0.30047476291656494,0.5481557834380341,0.7239793539047241,0.89059174,cli,mse
0.0,4,flexible_dnn_128_128,mol2vec,10000,0.49140989780426025,0.38686853647232056,0.6219875693872994,0.6507929563522339,0.87601936,cli,mse
0.0,5,flexible_dnn_128_128,mol2vec,10000,0.4390638470649719,0.3289012014865875,0.5734990858637767,0.7169730067253113,0.89743817,cli,mse
0.0,6,flexible_dnn_128_128,mol2vec,10000,0.5600658059120178,0.4996303617954254,0.7068453591807938,0.5346044898033142,0.8453689,cli,mse
0.0,7,flexible_dnn_128_128,mol2vec,10000,0.5470337867736816,0.5204505324363708,0.7214225754967548,0.568239688873291,0.84719396,cli,mse
0.0,8,flexible_dnn_128_128,mol2vec,10000,0.39190149307250977,0.2615179121494293,0.5113882205814183,0.746058464050293,0.89110214,cli,mse
0.0,9,flexible_dnn_128_128,mol2vec,10000,0.36530277132987976,0.221514493227005,0.4706532622079709,0.7967361807823181,0.9078617,cli,mse
0.1,0,flexible_dnn_128_128,mol2vec,10000,0.43449482321739197,0.303368479013443,0.5507889605043323,0.7316843271255493,0.90077364,cli,mse
0.1,1,flexible_dnn_128_128,mol2vec,10000,0.36815714836120605,0.2171548753976822,0.4659987933435903,0.8023591637611389,0.901842,cli,mse
0.1,2,flexible_dnn_128_128,mol2vec,10000,0.43944576382637024,0.32903510332107544,0.5736158150897476,0.702130913734436,0.8612505,cli,mse
0.1,3,flexible_dnn_128_128,mol2vec,10000,0.39325055480003357,0.2756209373474121,0.5249961307928013,0.7461930513381958,0.8937698,cli,mse
0.1,4,flexible_dnn_128_128,mol2vec,10000,0.5283796191215515,0.4293989837169647,0.6552854215660262,0.6129022836685181,0.8560747,cli,mse
0.1,5,flexible_dnn_128_128,mol2vec,10000,0.4880765378475189,0.38099586963653564,0.6172486287036494,0.6720274090766907,0.8817717,cli,mse
0.1,6,flexible_dnn_128_128,mol2vec,10000,0.46834051609039307,0.36854371428489685,0.6070780133433403,0.6584019660949707,0.8524266,cli,mse
0.1,7,flexible_dnn_128_128,mol2vec,10000,0.42815592885017395,0.29435256123542786,0.5425426814872981,0.7560608983039856,0.9050236,cli,mse
0.1,8,flexible_dnn_128_128,mol2vec,10000,0.4275485873222351,0.2971716523170471,0.5451345268069591,0.7110236883163452,0.8899839,cli,mse
