sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,flexible_dnn,mol2vec,10000,0.49452611804008484,0.39007318019866943,0.6245583881421092,0.655769407749176,0.86701345,cli,mse
0.0,1,flexible_dnn,mol2vec,10000,0.4764181971549988,0.35087382793426514,0.5923460373246918,0.6832026243209839,0.8907394,cli,mse
0.0,2,flexible_dnn,mol2vec,10000,0.4204564392566681,0.3103478252887726,0.5570887050450517,0.7183325290679932,0.87141716,cli,mse
0.0,3,flexible_dnn,mol2vec,10000,0.6394094824790955,0.6232320070266724,0.7894504462134861,0.427489697933197,0.8097375,cli,mse
0.0,4,flexible_dnn,mol2vec,10000,0.45855236053466797,0.33146941661834717,0.5757338070830539,0.7007989883422852,0.89731145,cli,mse
0.0,5,flexible_dnn,mol2vec,10000,0.48737266659736633,0.3735242784023285,0.6111663262994195,0.6785738468170166,0.9063678,cli,mse
0.0,6,flexible_dnn,mol2vec,10000,0.3672981560230255,0.24769161641597748,0.49768626303724467,0.7692803144454956,0.8963225,cli,mse
0.0,7,flexible_dnn,mol2vec,10000,0.48818159103393555,0.39275652170181274,0.6267028974736057,0.6741733551025391,0.8819694,cli,mse
0.0,8,flexible_dnn,mol2vec,10000,0.4666866362094879,0.35939130187034607,0.599492536959674,0.6510205268859863,0.8354268,cli,mse
0.0,9,flexible_dnn,mol2vec,10000,0.4218416213989258,0.2865771949291229,0.5353290529469916,0.7370339632034302,0.9063894,cli,mse
0.1,0,flexible_dnn,mol2vec,10000,0.5197219848632812,0.4357636570930481,0.660123971003211,0.611935555934906,0.83828294,cli,mse
0.1,1,flexible_dnn,mol2vec,10000,0.42869293689727783,0.30405393242836,0.5514108562844587,0.7228308916091919,0.8919149,cli,mse
0.1,2,flexible_dnn,mol2vec,10000,0.4800855815410614,0.37660035490989685,0.6136777288690676,0.6606119871139526,0.86045533,cli,mse
0.1,3,flexible_dnn,mol2vec,10000,0.4214639961719513,0.28822821378707886,0.5368688981372257,0.7370468974113464,0.8821042,cli,mse
