sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,flexible_dnn_64_32,mol2vec,10000,0.42581766843795776,0.3040872812271118,0.5514410949748956,0.7316499948501587,0.8843001,cli,mse
0.0,1,flexible_dnn_64_32,mol2vec,10000,0.38798418641090393,0.2402799129486084,0.49018355026317273,0.7830557823181152,0.90636206,cli,mse
0.0,2,flexible_dnn_64_32,mol2vec,10000,0.39203885197639465,0.2646068036556244,0.5143994592295217,0.7598464488983154,0.8955338,cli,mse
0.0,3,flexible_dnn_64_32,mol2vec,10000,0.39928361773490906,0.2798621952533722,0.5290200329414494,0.7429143786430359,0.88697135,cli,mse
0.0,4,flexible_dnn_64_32,mol2vec,10000,0.40891820192337036,0.2712315022945404,0.5207989077317083,0.7551727890968323,0.90909696,cli,mse
0.0,5,flexible_dnn_64_32,mol2vec,10000,0.5487661361694336,0.46522992849349976,0.6820776557647228,0.5996590256690979,0.8412061,cli,mse
0.0,6,flexible_dnn_64_32,mol2vec,10000,0.4128205478191376,0.291319876909256,0.5397405644467127,0.7286414504051208,0.88671124,cli,mse
0.0,7,flexible_dnn_64_32,mol2vec,10000,0.49725010991096497,0.4097976088523865,0.6401543633002796,0.6600362062454224,0.86893666,cli,mse
0.0,8,flexible_dnn_64_32,mol2vec,10000,0.4307956099510193,0.304648220539093,0.5519494728134932,0.7041776180267334,0.86788964,cli,mse
0.0,9,flexible_dnn_64_32,mol2vec,10000,0.5062171816825867,0.4196566641330719,0.6478091263119654,0.6149190068244934,0.8520839,cli,mse
0.1,0,flexible_dnn_64_32,mol2vec,10000,0.4559267461299896,0.338987797498703,0.5822265860459337,0.699371874332428,0.883934,cli,mse
0.1,1,flexible_dnn_64_32,mol2vec,10000,0.4217686653137207,0.2853747308254242,0.5342047648846125,0.7409806847572327,0.9005877,cli,mse
0.1,2,flexible_dnn_64_32,mol2vec,10000,0.4049275517463684,0.280581533908844,0.5296994750883222,0.7465068697929382,0.8897853,cli,mse
0.1,3,flexible_dnn_64_32,mol2vec,10000,0.4287238121032715,0.3244311511516571,0.5695885806015225,0.7032514810562134,0.8859196,cli,mse
0.1,4,flexible_dnn_64_32,mol2vec,10000,0.4618872106075287,0.34514856338500977,0.5874934581635866,0.691476583480835,0.88214445,cli,mse
0.1,5,flexible_dnn_64_32,mol2vec,10000,0.5619121193885803,0.48546135425567627,0.6967505681775051,0.5800607204437256,0.8289232,cli,mse
0.1,6,flexible_dnn_64_32,mol2vec,10000,0.43038129806518555,0.3043501079082489,0.5516793524396657,0.7166213989257812,0.8967747,cli,mse
0.1,7,flexible_dnn_64_32,mol2vec,10000,0.49606072902679443,0.41000378131866455,0.6403153764502806,0.660653293132782,0.87134767,cli,mse
0.1,8,flexible_dnn_64_32,mol2vec,10000,0.3732165992259979,0.23673278093338013,0.4865519303562366,0.7692728042602539,0.8914445,cli,mse
0.1,9,flexible_dnn_64_32,mol2vec,10000,0.4116048514842987,0.27963754534721375,0.52880766385068,0.7439641356468201,0.9010632,cli,mse
0.2,0,flexible_dnn_64_32,mol2vec,10000,0.4838268458843231,0.37927109003067017,0.6158498924499948,0.661505937576294,0.8729441,cli,mse
0.2,1,flexible_dnn_64_32,mol2vec,10000,0.43247106671333313,0.3004300594329834,0.54811500566303,0.7255023717880249,0.8964193,cli,mse
0.2,2,flexible_dnn_64_32,mol2vec,10000,0.4690687954425812,0.3793192207813263,0.615888967900324,0.65830397605896,0.877513,cli,mse
0.2,3,flexible_dnn_64_32,mol2vec,10000,0.44596660137176514,0.3205243647098541,0.5661487125392534,0.7076781988143921,0.8773165,cli,mse
0.2,4,flexible_dnn_64_32,mol2vec,10000,0.5418304800987244,0.45183196663856506,0.67218447366669,0.5994653701782227,0.84801066,cli,mse
0.2,5,flexible_dnn_64_32,mol2vec,10000,0.6067804098129272,0.5437858700752258,0.737418381975406,0.5261679887771606,0.8072866,cli,mse
0.2,6,flexible_dnn_64_32,mol2vec,10000,0.3913894593715668,0.25802186131477356,0.5079585232228844,0.7597312331199646,0.88721454,cli,mse
0.2,7,flexible_dnn_64_32,mol2vec,10000,0.40156787633895874,0.2882783114910126,0.5369155534076216,0.7613804340362549,0.9033497,cli,mse
0.2,8,flexible_dnn_64_32,mol2vec,10000,0.553297758102417,0.47350943088531494,0.6881202154313699,0.5372651815414429,0.7940099,cli,mse
0.2,9,flexible_dnn_64_32,mol2vec,10000,0.43747472763061523,0.3115379214286804,0.5581558218174208,0.7150566577911377,0.8881926,cli,mse
0.3,0,flexible_dnn_64_32,mol2vec,10000,0.48929083347320557,0.38901224732398987,0.6237084634057725,0.6502076983451843,0.8534193,cli,mse
0.3,1,flexible_dnn_64_32,mol2vec,10000,0.4369124472141266,0.3105897903442383,0.5573058319668279,0.7140308022499084,0.881431,cli,mse
0.3,2,flexible_dnn_64_32,mol2vec,10000,0.4521862268447876,0.34626317024230957,0.5884413056901339,0.6884795427322388,0.85216147,cli,mse
0.3,3,flexible_dnn_64_32,mol2vec,10000,0.47874292731285095,0.38116729259490967,0.6173874736297373,0.6528934240341187,0.8695161,cli,mse
0.3,4,flexible_dnn_64_32,mol2vec,10000,0.5588200092315674,0.47733303904533386,0.6908929287851583,0.5796895027160645,0.82809144,cli,mse
0.3,5,flexible_dnn_64_32,mol2vec,10000,0.6088693737983704,0.55660080909729,0.7460568403930695,0.510604977607727,0.80577004,cli,mse
0.3,6,flexible_dnn_64_32,mol2vec,10000,0.39857542514801025,0.27043163776397705,0.5200304200371139,0.7480231523513794,0.87683934,cli,mse
0.3,7,flexible_dnn_64_32,mol2vec,10000,0.5155259966850281,0.43076765537261963,0.6563289231571466,0.6425881385803223,0.8688015,cli,mse
0.3,8,flexible_dnn_64_32,mol2vec,10000,0.4642537534236908,0.3546673655509949,0.5955395583426805,0.6528506278991699,0.8621399,cli,mse
0.3,9,flexible_dnn_64_32,mol2vec,10000,0.4150737226009369,0.2898278832435608,0.5383566505984307,0.7348970174789429,0.87841,cli,mse
0.4,0,flexible_dnn_64_32,mol2vec,10000,0.5337303876876831,0.4630505442619324,0.6804781732443241,0.5801743268966675,0.8131869,cli,mse
0.4,1,flexible_dnn_64_32,mol2vec,10000,0.45349016785621643,0.3363781273365021,0.5799811439490961,0.6876721382141113,0.8647597,cli,mse
0.4,2,flexible_dnn_64_32,mol2vec,10000,0.46255168318748474,0.3620086908340454,0.6016715805437759,0.6742246150970459,0.8513764,cli,mse
0.4,3,flexible_dnn_64_32,mol2vec,10000,0.48337987065315247,0.3756830394268036,0.6129298813296702,0.6579428911209106,0.84904647,cli,mse
0.4,4,flexible_dnn_64_32,mol2vec,10000,0.5536799430847168,0.4797055721282959,0.6926078054197021,0.5797154903411865,0.8229724,cli,mse
0.4,5,flexible_dnn_64_32,mol2vec,10000,0.5636019110679626,0.5035542249679565,0.7096155472986457,0.5526375770568848,0.807479,cli,mse
0.4,6,flexible_dnn_64_32,mol2vec,10000,0.4289475381374359,0.30564725399017334,0.5528537365254695,0.7149176597595215,0.8590721,cli,mse
0.4,7,flexible_dnn_64_32,mol2vec,10000,0.5503858327865601,0.47299349308013916,0.6877452239602534,0.605821967124939,0.85977405,cli,mse
0.4,8,flexible_dnn_64_32,mol2vec,10000,0.4840531051158905,0.37104344367980957,0.609133354594714,0.6366232633590698,0.837965,cli,mse
0.4,9,flexible_dnn_64_32,mol2vec,10000,0.47080928087234497,0.3679800033569336,0.6066135535552545,0.6630445718765259,0.85869455,cli,mse
0.5,0,flexible_dnn_64_32,mol2vec,10000,0.5488917231559753,0.48173120617866516,0.6940685889583718,0.5594051480293274,0.8065879,cli,mse
0.5,1,flexible_dnn_64_32,mol2vec,10000,0.495445191860199,0.3928368389606476,0.6267669734124858,0.6320312023162842,0.8397285,cli,mse
0.5,2,flexible_dnn_64_32,mol2vec,10000,0.5218424201011658,0.4533731937408447,0.6733299293369074,0.5913313627243042,0.8108191,cli,mse
0.5,3,flexible_dnn_64_32,mol2vec,10000,0.46211808919906616,0.35065245628356934,0.5921591477665183,0.6804037690162659,0.83228534,cli,mse
0.5,4,flexible_dnn_64_32,mol2vec,10000,0.5337788462638855,0.44487032294273376,0.6669859990605004,0.6115494966506958,0.8194112,cli,mse
0.5,5,flexible_dnn_64_32,mol2vec,10000,0.5479065179824829,0.4866146743297577,0.6975777192039305,0.5627991557121277,0.80508226,cli,mse
