sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,flexible_dnn_64_64_32,mol2vec,10000,0.40415653586387634,0.27257072925567627,0.5220830673903113,0.7594625949859619,0.9018619,cli,mse
0.0,1,flexible_dnn_64_64_32,mol2vec,10000,0.5748378038406372,0.49498823285102844,0.7035540013751812,0.5530844330787659,0.820876,cli,mse
0.0,2,flexible_dnn_64_64_32,mol2vec,10000,0.5000763535499573,0.40797674655914307,0.6387305743105954,0.6297258138656616,0.86169225,cli,mse
0.0,3,flexible_dnn_64_64_32,mol2vec,10000,0.5593461990356445,0.49173277616500854,0.7012366049808071,0.5482867956161499,0.8702388,cli,mse
0.0,4,flexible_dnn_64_64_32,mol2vec,10000,0.41006794571876526,0.26743200421333313,0.5171382834535972,0.7586023807525635,0.90809965,cli,mse
0.0,5,flexible_dnn_64_64_32,mol2vec,10000,0.9085793495178223,1.179021954536438,1.0858277738833346,-0.014575362205505371,-0.008806846,cli,mse
0.0,6,flexible_dnn_64_64_32,mol2vec,10000,0.3797760307788849,0.2644493281841278,0.5142463691501651,0.7536708116531372,0.8946208,cli,mse
0.0,7,flexible_dnn_64_64_32,mol2vec,10000,0.43700119853019714,0.3163396120071411,0.5624407631094506,0.7375680208206177,0.9074635,cli,mse
0.0,8,flexible_dnn_64_64_32,mol2vec,10000,0.5556396245956421,0.4710511565208435,0.6863316665584093,0.5425955057144165,0.8214202,cli,mse
0.0,9,flexible_dnn_64_64_32,mol2vec,10000,0.504905641078949,0.39750248193740845,0.6304779789472496,0.6352479457855225,0.8637115,cli,mse
0.1,0,flexible_dnn_64_64_32,mol2vec,10000,0.4747007489204407,0.36349761486053467,0.6029076337719855,0.6776355504989624,0.8970829,cli,mse
0.1,1,flexible_dnn_64_64_32,mol2vec,10000,0.43128418922424316,0.2910403609275818,0.5394815668098233,0.7358382940292358,0.89634705,cli,mse
0.1,2,flexible_dnn_64_64_32,mol2vec,10000,0.885200560092926,1.1317378282546997,1.063831672895059,-0.022475481033325195,0.020273173,cli,mse
0.1,3,flexible_dnn_64_64_32,mol2vec,10000,0.41507241129875183,0.2985680103302002,0.5464137720905287,0.7269078493118286,0.88896143,cli,mse
0.1,4,flexible_dnn_64_64_32,mol2vec,10000,0.5014950037002563,0.3979130983352661,0.6308035338639647,0.6443110704421997,0.87939936,cli,mse
0.1,5,flexible_dnn_64_64_32,mol2vec,10000,0.5339672565460205,0.4472888708114624,0.6687965840309461,0.6130810976028442,0.8502532,cli,mse
0.1,6,flexible_dnn_64_64_32,mol2vec,10000,0.47876909375190735,0.3800549805164337,0.6164859937714998,0.6461330652236938,0.8654581,cli,mse
0.1,7,flexible_dnn_64_64_32,mol2vec,10000,0.4935177266597748,0.4007081389427185,0.6330151174677573,0.6683470010757446,0.8843417,cli,mse
0.1,8,flexible_dnn_64_64_32,mol2vec,10000,0.53732830286026,0.4475719630718231,0.6690081935760003,0.5637823343276978,0.82013875,cli,mse
0.1,9,flexible_dnn_64_64_32,mol2vec,10000,0.4956037998199463,0.3857305347919464,0.6210720850206893,0.6468254923820496,0.86743855,cli,mse
0.2,0,flexible_dnn_64_64_32,mol2vec,10000,0.42646968364715576,0.2963050603866577,0.5443391042233303,0.7355519533157349,0.88130844,cli,mse
0.2,1,flexible_dnn_64_64_32,mol2vec,10000,0.5667192935943604,0.5013300776481628,0.7080466634679969,0.5419436097145081,0.8709712,cli,mse
0.2,2,flexible_dnn_64_64_32,mol2vec,10000,0.5087481737136841,0.4237932562828064,0.650994052417383,0.6182411909103394,0.8424039,cli,mse
0.2,3,flexible_dnn_64_64_32,mol2vec,10000,0.4924931824207306,0.4117356240749359,0.6416662871578465,0.6244925260543823,0.8737226,cli,mse
0.2,4,flexible_dnn_64_64_32,mol2vec,10000,0.5272907614707947,0.43861863017082214,0.6622828928568382,0.6111786365509033,0.85844016,cli,mse
0.2,5,flexible_dnn_64_64_32,mol2vec,10000,0.904263436794281,1.164718508720398,1.0792212510511447,-0.01488649845123291,-0.010134128,cli,mse
0.2,6,flexible_dnn_64_64_32,mol2vec,10000,0.4821266829967499,0.3997606337070465,0.6322662680446004,0.627744734287262,0.8466995,cli,mse
0.2,7,flexible_dnn_64_64_32,mol2vec,10000,0.5992074012756348,0.572555422782898,0.7566739210405615,0.5260729193687439,0.8549629,cli,mse
0.2,8,flexible_dnn_64_64_32,mol2vec,10000,0.6476502418518066,0.6154947280883789,0.7845347207666331,0.3985106348991394,0.7829472,cli,mse
