sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,flexible_dnn_64_64_32,mol2vec,10000,0.40415653586387634,0.27257072925567627,0.5220830673903113,0.7594625949859619,0.9018619,cli,mse
0.0,1,flexible_dnn_64_64_32,mol2vec,10000,0.5748378038406372,0.49498823285102844,0.7035540013751812,0.5530844330787659,0.820876,cli,mse
0.0,2,flexible_dnn_64_64_32,mol2vec,10000,0.5000763535499573,0.40797674655914307,0.6387305743105954,0.6297258138656616,0.86169225,cli,mse
0.0,3,flexible_dnn_64_64_32,mol2vec,10000,0.5593461990356445,0.49173277616500854,0.7012366049808071,0.5482867956161499,0.8702388,cli,mse
0.0,4,flexible_dnn_64_64_32,mol2vec,10000,0.41006794571876526,0.26743200421333313,0.5171382834535972,0.7586023807525635,0.90809965,cli,mse
0.0,5,flexible_dnn_64_64_32,mol2vec,10000,0.9085793495178223,1.179021954536438,1.0858277738833346,-0.014575362205505371,-0.008806846,cli,mse
0.0,6,flexible_dnn_64_64_32,mol2vec,10000,0.3797760307788849,0.2644493281841278,0.5142463691501651,0.7536708116531372,0.8946208,cli,mse
0.0,7,flexible_dnn_64_64_32,mol2vec,10000,0.43700119853019714,0.3163396120071411,0.5624407631094506,0.7375680208206177,0.9074635,cli,mse
0.0,8,flexible_dnn_64_64_32,mol2vec,10000,0.5556396245956421,0.4710511565208435,0.6863316665584093,0.5425955057144165,0.8214202,cli,mse
0.0,9,flexible_dnn_64_64_32,mol2vec,10000,0.504905641078949,0.39750248193740845,0.6304779789472496,0.6352479457855225,0.8637115,cli,mse
0.1,0,flexible_dnn_64_64_32,mol2vec,10000,0.451235830783844,0.33851122856140137,0.5818171779531792,0.698542594909668,0.8902863,cli,mse
0.1,1,flexible_dnn_64_64_32,mol2vec,10000,0.5856000185012817,0.5379084944725037,0.7334224529372575,0.5096539855003357,0.8376342,cli,mse
0.1,2,flexible_dnn_64_64_32,mol2vec,10000,0.5597022771835327,0.5138994455337524,0.7168678019926354,0.5368795394897461,0.8457922,cli,mse
0.1,3,flexible_dnn_64_64_32,mol2vec,10000,0.5977730751037598,0.5705441832542419,0.75534375171457,0.4794875979423523,0.8551657,cli,mse
0.1,4,flexible_dnn_64_64_32,mol2vec,10000,0.4954671859741211,0.3833470642566681,0.6191502759885261,0.6596384048461914,0.8985547,cli,mse
0.1,5,flexible_dnn_64_64_32,mol2vec,10000,0.476672887802124,0.37199878692626953,0.6099170328218991,0.6766353249549866,0.90265083,cli,mse
0.1,6,flexible_dnn_64_64_32,mol2vec,10000,0.4991829991340637,0.40873610973358154,0.6393247294869654,0.6193563342094421,0.8470932,cli,mse
0.1,7,flexible_dnn_64_64_32,mol2vec,10000,0.5378782749176025,0.4581388533115387,0.6768595521314142,0.6208741664886475,0.88360304,cli,mse
0.1,8,flexible_dnn_64_64_32,mol2vec,10000,0.41433167457580566,0.2963137924671173,0.5443471249736856,0.7107704281806946,0.88534194,cli,mse
0.1,9,flexible_dnn_64_64_32,mol2vec,10000,0.5451607704162598,0.45445290207862854,0.6741312202224642,0.5849844217300415,0.8562894,cli,mse
0.2,0,flexible_dnn_64_64_32,mol2vec,10000,0.43223273754119873,0.3099706768989563,0.5567501027381642,0.7204668521881104,0.8630898,cli,mse
0.2,1,flexible_dnn_64_64_32,mol2vec,10000,0.46443724632263184,0.35026735067367554,0.5918338877368172,0.6764553785324097,0.87063026,cli,mse
0.2,2,flexible_dnn_64_64_32,mol2vec,10000,0.8840499520301819,1.1403210163116455,1.067858144283053,-0.02518761157989502,-0.018186634,cli,mse
0.2,3,flexible_dnn_64_64_32,mol2vec,10000,0.5640882849693298,0.5163204073905945,0.7185543872182498,0.5303666591644287,0.8488389,cli,mse
0.2,4,flexible_dnn_64_64_32,mol2vec,10000,0.5988612771034241,0.545226514339447,0.7383945519432324,0.5219254493713379,0.8234329,cli,mse
0.2,5,flexible_dnn_64_64_32,mol2vec,10000,0.8938973546028137,1.1475592851638794,1.0712419358687744,-0.012747049331665039,-0.01075957,cli,mse
0.2,6,flexible_dnn_64_64_32,mol2vec,10000,0.5821052193641663,0.5228858590126038,0.723108469741991,0.5125938653945923,0.798682,cli,mse
0.2,7,flexible_dnn_64_64_32,mol2vec,10000,0.5473397374153137,0.49176526069641113,0.7012597669169472,0.5913265943527222,0.86707264,cli,mse
0.2,8,flexible_dnn_64_64_32,mol2vec,10000,0.4381721019744873,0.31964221596717834,0.5653690971101785,0.6874169111251831,0.8588951,cli,mse
