sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,dnn,mol2vec,10000,0.40234193205833435,0.2784939110279083,0.527725223035538,0.7398773431777954,0.9009721,default,mse
0.0,1,dnn,mol2vec,10000,0.41060870885849,0.2888104319572449,0.5374108595453249,0.7146655321121216,0.8892609,default,mse
0.0,2,dnn,mol2vec,10000,0.41061893105506897,0.2671051621437073,0.51682217652081,0.7481926679611206,0.8983307,default,mse
0.0,3,dnn,mol2vec,10000,0.38398829102516174,0.24266715347766876,0.4926125794959653,0.7857670187950134,0.914237,default,mse
0.0,4,dnn,mol2vec,10000,0.4096832275390625,0.2760741710662842,0.5254276078265057,0.7398383617401123,0.89665884,default,mse
0.0,5,dnn,mol2vec,10000,0.3841716945171356,0.26668280363082886,0.5164134038063195,0.7543990612030029,0.88997436,default,mse
0.0,6,dnn,mol2vec,10000,0.3912036716938019,0.27344658970832825,0.5229212079351231,0.7695372104644775,0.9010998,default,mse
0.0,7,dnn,mol2vec,10000,0.6818918585777283,0.6743361949920654,0.8211797580262591,0.383714497089386,0.7470692,default,mse
0.0,8,dnn,mol2vec,10000,0.4964079260826111,0.3961697518825531,0.6294201711754661,0.6390735507011414,0.84818894,default,mse
0.0,9,dnn,mol2vec,10000,0.5035428404808044,0.3939635157585144,0.627665130271321,0.6364461183547974,0.84896535,default,mse
0.1,0,dnn,mol2vec,10000,0.5121300220489502,0.43328914046287537,0.658247020853779,0.5966472625732422,0.8625343,default,mse
0.1,1,dnn,mol2vec,10000,0.3825390040874481,0.24694867432117462,0.4969393064763288,0.7558684349060059,0.89236796,default,mse
0.1,2,dnn,mol2vec,10000,0.471844881772995,0.344623327255249,0.5870462735213035,0.6752710342407227,0.86909556,default,mse
0.1,3,dnn,mol2vec,10000,0.388161301612854,0.24178744852542877,0.4917188714351207,0.7872584462165833,0.9110848,default,mse
0.1,4,dnn,mol2vec,10000,0.39144134521484375,0.2558496594429016,0.5058158355003347,0.7584474086761475,0.8847289,default,mse
0.1,5,dnn,mol2vec,10000,0.39644649624824524,0.28706011176109314,0.5357799098147421,0.7354247570037842,0.88610446,default,mse
0.1,6,dnn,mol2vec,10000,0.38706231117248535,0.26115214824676514,0.5110304768277183,0.7795280814170837,0.9043808,default,mse
0.1,7,dnn,mol2vec,10000,0.8877651691436768,1.1172038316726685,1.0569786334986475,-0.023380160331726074,0.02788433,default,mse
0.1,8,dnn,mol2vec,10000,0.4265362620353699,0.3033179044723511,0.5507430475932956,0.7217897176742554,0.8829204,default,mse
0.1,9,dnn,mol2vec,10000,0.556343138217926,0.46861493587493896,0.6845545528845302,0.5678027868270874,0.8067391,default,mse
0.2,0,dnn,mol2vec,10000,0.5509146451950073,0.4892367422580719,0.6994546034290373,0.545952320098877,0.8478517,default,mse
0.2,1,dnn,mol2vec,10000,0.4141455292701721,0.28188231587409973,0.5309259043163177,0.7212355136871338,0.8785037,default,mse
0.2,2,dnn,mol2vec,10000,0.37999120354652405,0.2382069230079651,0.4880644660369827,0.7754544019699097,0.88970023,default,mse
0.2,3,dnn,mol2vec,10000,0.4411831498146057,0.3063027858734131,0.5534462809283418,0.7306944727897644,0.8955393,default,mse
0.2,4,dnn,mol2vec,10000,0.45478588342666626,0.32480213046073914,0.5699141430608116,0.6925714015960693,0.8799522,default,mse
0.2,5,dnn,mol2vec,10000,0.4898988604545593,0.3977144658565521,0.6306460701982944,0.6328487396240234,0.8500871,default,mse
0.2,6,dnn,mol2vec,10000,0.4669991433620453,0.34746989607810974,0.58946577176127,0.7056359052658081,0.8873965,default,mse
0.2,7,dnn,mol2vec,10000,0.4745294153690338,0.3741711974143982,0.6116953468961475,0.6558839082717896,0.85908824,default,mse
0.2,8,dnn,mol2vec,10000,0.4360533356666565,0.3122309446334839,0.5587762921183073,0.7113274931907654,0.86664295,default,mse
0.2,9,dnn,mol2vec,10000,0.541034996509552,0.45054569840431213,0.6712270095908777,0.5840283036231995,0.8149251,default,mse
0.3,0,dnn,mol2vec,10000,0.43244630098342896,0.3213293254375458,0.5668591760195346,0.7025748491287231,0.86913925,default,mse
0.3,1,dnn,mol2vec,10000,0.4936602711677551,0.39166387915611267,0.6258305514722916,0.6126444339752197,0.8409346,default,mse
0.3,2,dnn,mol2vec,10000,0.5185186266899109,0.4235805869102478,0.6508306898958037,0.6002174615859985,0.8529468,default,mse
0.3,3,dnn,mol2vec,10000,0.4983431398868561,0.38941919803619385,0.6240346128510772,0.6570130586624146,0.86753225,default,mse
0.3,4,dnn,mol2vec,10000,0.5190690159797668,0.4427916705608368,0.6654259316864927,0.5796015858650208,0.86197305,default,mse
0.3,5,dnn,mol2vec,10000,0.43035343289375305,0.318323016166687,0.5642012195721372,0.7054541110992432,0.8686587,default,mse
0.3,6,dnn,mol2vec,10000,0.42325353622436523,0.3038818836212158,0.5512548263926728,0.7412590980529785,0.87921095,default,mse
0.3,7,dnn,mol2vec,10000,0.509761393070221,0.43697112798690796,0.6610379172081644,0.5959307551383972,0.81102395,default,mse
0.3,8,dnn,mol2vec,10000,0.6095559000968933,0.5711922645568848,0.7557726275520202,0.46722841262817383,0.7521746,default,mse
0.3,9,dnn,mol2vec,10000,0.5401667952537537,0.4716356694698334,0.6867573585116022,0.5634336471557617,0.8354527,default,mse
0.4,0,dnn,mol2vec,10000,0.4969533681869507,0.39293572306632996,0.6268458527152668,0.6370998620986938,0.8448684,default,mse
0.4,1,dnn,mol2vec,10000,0.4826813340187073,0.3727853298187256,0.6105614873366364,0.6313877105712891,0.8416289,default,mse
0.4,2,dnn,mol2vec,10000,0.4641440510749817,0.34799614548683167,0.589911981135179,0.6709078550338745,0.8478145,default,mse
0.4,3,dnn,mol2vec,10000,0.43948185443878174,0.299552857875824,0.5473142222488139,0.7350999116897583,0.8806554,default,mse
0.4,4,dnn,mol2vec,10000,0.4828677475452423,0.3731399476528168,0.6108518213550785,0.6444944143295288,0.8592787,default,mse
0.4,5,dnn,mol2vec,10000,0.4593404233455658,0.3600548505783081,0.6000457070743096,0.6658635139465332,0.8500042,default,mse
0.4,6,dnn,mol2vec,10000,0.5380764007568359,0.4677128791809082,0.6838953715159273,0.599237859249115,0.8246829,default,mse
0.4,7,dnn,mol2vec,10000,0.45745861530303955,0.339497834444046,0.582664426959503,0.683975338935852,0.8606464,default,mse
0.4,8,dnn,mol2vec,10000,0.5650273561477661,0.49738970398902893,0.7052586078801371,0.5317137837409973,0.7798802,default,mse
0.4,9,dnn,mol2vec,10000,0.6149382591247559,0.5792271494865417,0.7610697402252581,0.4617459774017334,0.75484335,default,mse
0.5,0,dnn,mol2vec,10000,0.469688355922699,0.3600902259349823,0.6000751835686777,0.6680160760879517,0.82999724,default,mse
0.5,1,dnn,mol2vec,10000,0.5265162587165833,0.43828293681144714,0.6620294078146735,0.5668084621429443,0.8102723,default,mse
0.5,2,dnn,mol2vec,10000,0.6435380578041077,0.6170766353607178,0.7855422556175561,0.4149467349052429,0.7047564,default,mse
0.5,3,dnn,mol2vec,10000,0.452088862657547,0.3131129741668701,0.5595649865447891,0.7214561700820923,0.8626225,default,mse
0.5,4,dnn,mol2vec,10000,0.49835658073425293,0.3937261402606964,0.6274760077171847,0.6234753131866455,0.830574,default,mse
0.5,5,dnn,mol2vec,10000,0.600433349609375,0.5789458155632019,0.760884889824474,0.4609149098396301,0.7488495,default,mse
