sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,dnn,mol2vec,10000,0.38005030155181885,0.24108406901359558,0.491003125258481,0.7862945199012756,0.90510124,default,mse
0.0,1,dnn,mol2vec,10000,0.4407707750797272,0.34479981660842896,0.5871965740775648,0.6977413892745972,0.88620424,default,mse
0.0,2,dnn,mol2vec,10000,0.43048956990242004,0.3187870383262634,0.5646122902720622,0.7245452404022217,0.8860041,default,mse
0.0,3,dnn,mol2vec,10000,0.38535967469215393,0.2557065784931183,0.5056743799058029,0.7717508673667908,0.9094988,default,mse
0.0,4,dnn,mol2vec,10000,0.4013749063014984,0.28164392709732056,0.5307013539622077,0.7592501044273376,0.8975024,default,mse
0.0,5,dnn,mol2vec,10000,0.42434850335121155,0.2829000949859619,0.5318835351709639,0.7303483486175537,0.8803965,default,mse
0.0,6,dnn,mol2vec,10000,0.41947004199028015,0.3188909888267517,0.5647043375313773,0.7219177484512329,0.8955209,default,mse
0.0,7,dnn,mol2vec,10000,0.422414630651474,0.28970110416412354,0.5382388913522727,0.7303501963615417,0.90561974,default,mse
0.0,8,dnn,mol2vec,10000,0.4164372682571411,0.28024786710739136,0.5293844228038745,0.7349998950958252,0.8921798,default,mse
0.0,9,dnn,mol2vec,10000,0.437663197517395,0.31563690304756165,0.5618157198295199,0.6956992149353027,0.87388325,default,mse
0.1,0,dnn,mol2vec,10000,0.4663527309894562,0.34909242391586304,0.5908404386260837,0.6892778873443604,0.8724549,default,mse
0.1,1,dnn,mol2vec,10000,0.5792639255523682,0.5172252058982849,0.7191837080317413,0.5443354845046997,0.80014884,default,mse
0.1,2,dnn,mol2vec,10000,0.462288498878479,0.3672119081020355,0.6059801218703759,0.6817951202392578,0.86110854,default,mse
0.1,3,dnn,mol2vec,10000,0.39494383335113525,0.2627381682395935,0.512579914003264,0.7639134526252747,0.90282357,default,mse
0.1,5,dnn,mol2vec,10000,0.43072038888931274,0.2966287136077881,0.5446363131556581,0.7177926301956177,0.8811546,default,mse
0.1,6,dnn,mol2vec,10000,0.4551807940006256,0.3486061096191406,0.5904287506711886,0.6923567056655884,0.8784116,default,mse
0.1,7,dnn,mol2vec,10000,0.5006755590438843,0.42034444212913513,0.6483397582511311,0.6066814064979553,0.84141123,default,mse
0.1,8,dnn,mol2vec,10000,0.4506089985370636,0.3314337730407715,0.5757028513397962,0.6849778890609741,0.8914262,default,mse
0.1,9,dnn,mol2vec,10000,0.37955790758132935,0.24265481531620026,0.4926000561471753,0.7665498852729797,0.88647264,default,mse
0.2,0,dnn,mol2vec,10000,0.4742403030395508,0.35536062717437744,0.5961213191745263,0.6816421747207642,0.8725431,default,mse
0.2,1,dnn,mol2vec,10000,0.44059252738952637,0.33354297280311584,0.5775317937595434,0.7039376497268677,0.8682678,default,mse
0.2,2,dnn,mol2vec,10000,0.5443845987319946,0.48250049352645874,0.6946225547205178,0.5787222981452942,0.8185965,default,mse
