sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,dnn,mol2vec,10000,0.49452611804008484,0.39007318019866943,0.6245583881421092,0.655769407749176,0.86701345,default,mse
0.0,1,dnn,mol2vec,10000,0.4764181971549988,0.35087382793426514,0.5923460373246918,0.6832026243209839,0.8907394,default,mse
0.0,2,dnn,mol2vec,10000,0.4204564392566681,0.3103478252887726,0.5570887050450517,0.7183325290679932,0.87141716,default,mse
0.0,3,dnn,mol2vec,10000,0.6394094824790955,0.6232320070266724,0.7894504462134861,0.427489697933197,0.8097375,default,mse
0.0,4,dnn,mol2vec,10000,0.45855236053466797,0.33146941661834717,0.5757338070830539,0.7007989883422852,0.89731145,default,mse
0.0,5,dnn,mol2vec,10000,0.48737266659736633,0.3735242784023285,0.6111663262994195,0.6785738468170166,0.9063678,default,mse
0.0,6,dnn,mol2vec,10000,0.3672981560230255,0.24769161641597748,0.49768626303724467,0.7692803144454956,0.8963225,default,mse
0.0,7,dnn,mol2vec,10000,0.48818159103393555,0.39275652170181274,0.6267028974736057,0.6741733551025391,0.8819694,default,mse
0.0,8,dnn,mol2vec,10000,0.4666866362094879,0.35939130187034607,0.599492536959674,0.6510205268859863,0.8354268,default,mse
0.0,9,dnn,mol2vec,10000,0.4218416213989258,0.2865771949291229,0.5353290529469916,0.7370339632034302,0.9063894,default,mse
0.1,0,dnn,mol2vec,10000,0.5271569490432739,0.4192732870578766,0.6475131558955977,0.6291717290878296,0.8515013,default,mse
0.1,1,dnn,mol2vec,10000,0.41420799493789673,0.26733094453811646,0.517040563726016,0.7566920518875122,0.8876086,default,mse
0.1,2,dnn,mol2vec,10000,0.4960750341415405,0.398800790309906,0.631506761887714,0.6389733552932739,0.8716624,default,mse
0.1,3,dnn,mol2vec,10000,0.4461309313774109,0.3187171220779419,0.5645503716037585,0.706507682800293,0.88113743,default,mse
0.1,4,dnn,mol2vec,10000,0.49718642234802246,0.37880390882492065,0.6154704776225426,0.6585131287574768,0.866948,default,mse
0.1,5,dnn,mol2vec,10000,0.4732351303100586,0.3552637994289398,0.5960400988431398,0.6941783428192139,0.90052986,default,mse
0.1,6,dnn,mol2vec,10000,0.4896621108055115,0.3990071713924408,0.6316701444523406,0.6301658153533936,0.84239304,default,mse
0.1,7,dnn,mol2vec,10000,0.5776228904724121,0.5182839035987854,0.7199193729847707,0.5704820156097412,0.8799184,default,mse
0.1,8,dnn,mol2vec,10000,0.37278228998184204,0.23692698776721954,0.4867514640627386,0.7696069478988647,0.90044427,default,mse
0.1,9,dnn,mol2vec,10000,0.42055585980415344,0.29346877336502075,0.5417275822450069,0.7325581312179565,0.90318066,default,mse
0.2,0,dnn,mol2vec,10000,0.47314509749412537,0.35571515560150146,0.5964186076921992,0.684615433216095,0.87789094,default,mse
0.2,1,dnn,mol2vec,10000,0.3894205391407013,0.24190977215766907,0.4918432394144186,0.7777317762374878,0.90320325,default,mse
0.2,2,dnn,mol2vec,10000,0.4447844922542572,0.34468159079551697,0.5870958957406507,0.6885051727294922,0.8749579,default,mse
0.2,3,dnn,mol2vec,10000,0.4461476802825928,0.3368033468723297,0.5803476086556485,0.688864529132843,0.8827152,default,mse
0.2,4,dnn,mol2vec,10000,0.4900955259799957,0.38356491923332214,0.6193261816146013,0.6546316146850586,0.86027807,default,mse
0.2,5,dnn,mol2vec,10000,0.6278409361839294,0.6282317042350769,0.7926106889482862,0.4578900933265686,0.8747031,default,mse
0.2,6,dnn,mol2vec,10000,0.4159185290336609,0.29708951711654663,0.5450591868013479,0.7260885238647461,0.9012228,default,mse
0.2,7,dnn,mol2vec,10000,0.3730405271053314,0.25459492206573486,0.5045740005843888,0.7891972661018372,0.9091563,default,mse
0.2,8,dnn,mol2vec,10000,0.46228793263435364,0.3390970528125763,0.5823204039122932,0.6700189113616943,0.86915827,default,mse
0.2,9,dnn,mol2vec,10000,0.40363946557044983,0.27365654706954956,0.5231219237133439,0.7524166107177734,0.89879227,default,mse
0.3,0,dnn,mol2vec,10000,0.5655206441879272,0.48893824219703674,0.6992411902891854,0.5653579235076904,0.86783665,default,mse
0.3,1,dnn,mol2vec,10000,0.7025132775306702,0.6976370215415955,0.8352466830473471,0.3520132899284363,0.75100195,default,mse
0.3,2,dnn,mol2vec,10000,0.4004504978656769,0.2695152759552002,0.5191486068123463,0.7566552758216858,0.88802856,default,mse
0.3,3,dnn,mol2vec,10000,0.3837035000324249,0.26792111992836,0.517610973539356,0.7515302896499634,0.88815165,default,mse
0.3,4,dnn,mol2vec,10000,0.4273853898048401,0.2968323826789856,0.5448232582030484,0.7330131530761719,0.89761066,default,mse
0.3,5,dnn,mol2vec,10000,0.42499274015426636,0.29653608798980713,0.5445512721404727,0.7429733872413635,0.91152394,default,mse
0.3,6,dnn,mol2vec,10000,0.48237407207489014,0.37949490547180176,0.6160315783073151,0.6520712375640869,0.8695187,default,mse
0.3,7,dnn,mol2vec,10000,0.4353801906108856,0.3330569863319397,0.5771108960433339,0.7244358062744141,0.89891016,default,mse
0.3,8,dnn,mol2vec,10000,0.3727390766143799,0.23733507096767426,0.4871704742363542,0.7690460085868835,0.8891514,default,mse
0.3,9,dnn,mol2vec,10000,0.3721120059490204,0.24548563361167908,0.4954650680034659,0.7795778512954712,0.89859766,default,mse
0.4,0,dnn,mol2vec,10000,0.43465498089790344,0.31232747435569763,0.5588626614434871,0.7215807437896729,0.8922558,default,mse
0.4,1,dnn,mol2vec,10000,0.41670897603034973,0.2813485264778137,0.5304229694100866,0.7354962229728699,0.89490074,default,mse
