model,rep,strategy,n_iterations,n_sigmas
dnn,continuous_pdv,hetero,10,11
dnn,continuous_pdv,legacy,10,11
dnn,continuous_pdv,outlier,10,11
dnn,continuous_pdv,quantile,10,11
dnn,continuous_pdv,threshold,10,11
dnn,continuous_pdv,valprop,10,11
dnn,ecfp4,hetero,10,11
dnn,ecfp4,legacy,10,11
dnn,ecfp4,outlier,10,11
dnn,ecfp4,quantile,10,11
dnn,ecfp4,threshold,10,11
dnn,ecfp4,valprop,10,11
dnn,mhggnn,hetero,10,11
dnn,mhggnn,legacy,10,11
dnn,mhggnn,outlier,10,11
dnn,mhggnn,quantile,10,11
dnn,mhggnn,threshold,10,11
dnn,mhggnn,valprop,10,11
dnn,mol2vec,hetero,10,11
dnn,mol2vec,legacy,10,11
dnn,mol2vec,outlier,10,11
dnn,mol2vec,quantile,10,11
dnn,mol2vec,threshold,9,11
dnn,mol2vec,valprop,8,11
dnn,smiles,hetero,10,11
dnn,smiles,legacy,10,11
dnn,smiles,outlier,10,11
dnn,smiles,quantile,10,11
dnn,smiles,threshold,10,11
dnn,smiles,valprop,10,11
dnn_bnn_full,continuous_pdv,hetero,10,11
dnn_bnn_full,continuous_pdv,legacy,10,11
dnn_bnn_full,continuous_pdv,outlier,10,11
dnn_bnn_full,continuous_pdv,quantile,10,11
dnn_bnn_full,continuous_pdv,threshold,10,11
dnn_bnn_full,continuous_pdv,valprop,10,11
dnn_bnn_full,ecfp4,hetero,10,11
dnn_bnn_full,ecfp4,legacy,10,11
dnn_bnn_full,ecfp4,outlier,10,11
dnn_bnn_full,ecfp4,quantile,10,11
dnn_bnn_full,ecfp4,threshold,10,11
dnn_bnn_full,ecfp4,valprop,10,11
dnn_bnn_full,mhggnn,hetero,10,11
dnn_bnn_full,mhggnn,legacy,10,11
dnn_bnn_full,mhggnn,outlier,10,11
dnn_bnn_full,mhggnn,quantile,10,11
dnn_bnn_full,mhggnn,threshold,9,11
dnn_bnn_full,mhggnn,valprop,10,11
dnn_bnn_full,mol2vec,hetero,9,11
dnn_bnn_full,mol2vec,legacy,10,11
dnn_bnn_full,mol2vec,outlier,9,11
dnn_bnn_full,mol2vec,quantile,10,11
dnn_bnn_full,mol2vec,threshold,8,11
dnn_bnn_full,mol2vec,valprop,10,11
dnn_bnn_full,smiles,hetero,10,11
dnn_bnn_full,smiles,legacy,10,11
dnn_bnn_full,smiles,outlier,10,11
dnn_bnn_full,smiles,quantile,10,11
dnn_bnn_full,smiles,threshold,10,11
dnn_bnn_full,smiles,valprop,10,11
dnn_vbll,continuous_pdv,hetero,10,11
dnn_vbll,continuous_pdv,legacy,10,11
dnn_vbll,continuous_pdv,outlier,10,11
dnn_vbll,continuous_pdv,quantile,10,11
dnn_vbll,continuous_pdv,threshold,10,11
dnn_vbll,continuous_pdv,valprop,10,11
dnn_vbll,ecfp4,hetero,10,11
dnn_vbll,ecfp4,legacy,10,11
dnn_vbll,ecfp4,outlier,10,11
dnn_vbll,ecfp4,quantile,10,11
dnn_vbll,ecfp4,threshold,10,11
dnn_vbll,ecfp4,valprop,10,11
dnn_vbll,mhggnn,hetero,6,11
dnn_vbll,mhggnn,legacy,2,11
dnn_vbll,mhggnn,outlier,5,11
dnn_vbll,mhggnn,quantile,5,11
dnn_vbll,mhggnn,threshold,3,11
dnn_vbll,mhggnn,valprop,6,11
dnn_vbll,mol2vec,hetero,7,11
dnn_vbll,mol2vec,legacy,6,11
dnn_vbll,mol2vec,outlier,5,11
dnn_vbll,mol2vec,quantile,4,11
dnn_vbll,mol2vec,threshold,3,11
dnn_vbll,mol2vec,valprop,3,11
dnn_vbll,smiles,hetero,10,11
dnn_vbll,smiles,legacy,10,11
dnn_vbll,smiles,outlier,10,11
dnn_vbll,smiles,quantile,10,11
dnn_vbll,smiles,threshold,10,11
dnn_vbll,smiles,valprop,10,11
lgb,continuous_pdv,hetero,10,11
lgb,continuous_pdv,legacy,10,11
lgb,continuous_pdv,outlier,10,11
lgb,continuous_pdv,quantile,10,11
lgb,continuous_pdv,threshold,10,11
lgb,continuous_pdv,valprop,10,11
lgb,ecfp4,hetero,10,11
lgb,ecfp4,legacy,10,11
lgb,ecfp4,outlier,10,11
lgb,ecfp4,quantile,10,11
lgb,ecfp4,threshold,10,11
lgb,ecfp4,valprop,10,11
lgb,mhggnn,hetero,10,11
lgb,mhggnn,legacy,10,11
lgb,mhggnn,outlier,10,11
lgb,mhggnn,quantile,10,11
lgb,mhggnn,threshold,10,11
lgb,mhggnn,valprop,10,11
lgb,mol2vec,hetero,10,11
lgb,mol2vec,legacy,10,11
lgb,mol2vec,outlier,10,11
lgb,mol2vec,quantile,10,11
lgb,mol2vec,threshold,10,11
lgb,mol2vec,valprop,10,11
lgb,smiles,hetero,10,11
lgb,smiles,legacy,10,11
lgb,smiles,outlier,10,11
lgb,smiles,quantile,10,11
lgb,smiles,threshold,10,11
lgb,smiles,valprop,10,11
mlp,continuous_pdv,hetero,10,11
mlp,continuous_pdv,legacy,10,11
mlp,continuous_pdv,outlier,10,11
mlp,continuous_pdv,quantile,10,11
mlp,continuous_pdv,threshold,10,11
mlp,continuous_pdv,valprop,9,11
mlp,ecfp4,hetero,10,11
mlp,ecfp4,legacy,10,11
mlp,ecfp4,outlier,10,11
mlp,ecfp4,quantile,10,11
mlp,ecfp4,threshold,10,11
mlp,ecfp4,valprop,10,11
mlp,mhggnn,hetero,10,11
mlp,mhggnn,legacy,10,11
mlp,mhggnn,outlier,10,11
mlp,mhggnn,quantile,10,11
mlp,mhggnn,threshold,10,11
mlp,mhggnn,valprop,10,11
mlp,mol2vec,hetero,10,11
mlp,mol2vec,legacy,10,11
mlp,mol2vec,outlier,10,11
mlp,mol2vec,quantile,10,11
mlp,mol2vec,threshold,10,11
mlp,mol2vec,valprop,10,11
mlp,smiles,hetero,10,11
mlp,smiles,legacy,10,11
mlp,smiles,outlier,10,11
mlp,smiles,quantile,10,11
mlp,smiles,threshold,10,11
mlp,smiles,valprop,10,11
mlp_bnn_full,continuous_pdv,hetero,10,11
mlp_bnn_full,continuous_pdv,legacy,10,11
mlp_bnn_full,continuous_pdv,outlier,10,11
mlp_bnn_full,continuous_pdv,quantile,10,11
mlp_bnn_full,continuous_pdv,threshold,10,11
mlp_bnn_full,continuous_pdv,valprop,10,11
mlp_bnn_full,ecfp4,hetero,10,11
mlp_bnn_full,ecfp4,legacy,10,11
mlp_bnn_full,ecfp4,outlier,10,11
mlp_bnn_full,ecfp4,quantile,10,11
mlp_bnn_full,ecfp4,threshold,10,11
mlp_bnn_full,ecfp4,valprop,10,11
mlp_bnn_full,mhggnn,hetero,10,11
mlp_bnn_full,mhggnn,legacy,10,11
mlp_bnn_full,mhggnn,outlier,10,11
mlp_bnn_full,mhggnn,quantile,10,11
mlp_bnn_full,mhggnn,threshold,10,11
mlp_bnn_full,mhggnn,valprop,10,11
mlp_bnn_full,mol2vec,hetero,10,11
mlp_bnn_full,mol2vec,legacy,10,11
mlp_bnn_full,mol2vec,outlier,9,11
mlp_bnn_full,mol2vec,quantile,10,11
mlp_bnn_full,mol2vec,threshold,8,11
mlp_bnn_full,mol2vec,valprop,10,11
mlp_bnn_full,smiles,hetero,10,11
mlp_bnn_full,smiles,legacy,10,11
mlp_bnn_full,smiles,outlier,10,11
mlp_bnn_full,smiles,quantile,10,11
mlp_bnn_full,smiles,threshold,10,11
mlp_bnn_full,smiles,valprop,10,11
mlp_vbll,continuous_pdv,hetero,10,11
mlp_vbll,continuous_pdv,legacy,10,11
mlp_vbll,continuous_pdv,outlier,10,11
mlp_vbll,continuous_pdv,quantile,10,11
mlp_vbll,continuous_pdv,threshold,10,11
mlp_vbll,continuous_pdv,valprop,10,11
mlp_vbll,ecfp4,hetero,10,11
mlp_vbll,ecfp4,legacy,10,11
mlp_vbll,ecfp4,outlier,10,11
mlp_vbll,ecfp4,quantile,10,11
mlp_vbll,ecfp4,threshold,10,11
mlp_vbll,ecfp4,valprop,10,11
mlp_vbll,mhggnn,hetero,3,11
mlp_vbll,mhggnn,legacy,2,11
mlp_vbll,mhggnn,outlier,3,11
mlp_vbll,mhggnn,quantile,5,11
mlp_vbll,mhggnn,threshold,4,11
mlp_vbll,mhggnn,valprop,5,11
mlp_vbll,mol2vec,hetero,3,11
mlp_vbll,mol2vec,legacy,1,11
mlp_vbll,mol2vec,outlier,2,11
mlp_vbll,mol2vec,quantile,1,11
mlp_vbll,mol2vec,threshold,7,11
mlp_vbll,mol2vec,valprop,3,11
mlp_vbll,smiles,hetero,10,11
mlp_vbll,smiles,legacy,10,11
mlp_vbll,smiles,outlier,10,11
mlp_vbll,smiles,quantile,10,11
mlp_vbll,smiles,threshold,10,11
mlp_vbll,smiles,valprop,10,11
ngboost,continuous_pdv,hetero,10,11
ngboost,continuous_pdv,legacy,10,11
ngboost,continuous_pdv,outlier,10,11
ngboost,continuous_pdv,quantile,10,11
ngboost,continuous_pdv,threshold,10,11
ngboost,continuous_pdv,valprop,10,11
ngboost,ecfp4,hetero,10,11
ngboost,ecfp4,legacy,10,11
ngboost,ecfp4,outlier,10,11
ngboost,ecfp4,quantile,10,11
ngboost,ecfp4,threshold,10,11
ngboost,ecfp4,valprop,10,11
ngboost,mhggnn,hetero,10,11
ngboost,mhggnn,legacy,10,11
ngboost,mhggnn,outlier,10,11
ngboost,mhggnn,quantile,10,11
ngboost,mhggnn,threshold,10,11
ngboost,mhggnn,valprop,10,11
ngboost,mol2vec,hetero,10,11
ngboost,mol2vec,legacy,10,11
ngboost,mol2vec,outlier,10,11
ngboost,mol2vec,quantile,10,11
ngboost,mol2vec,threshold,10,11
ngboost,mol2vec,valprop,10,11
ngboost,smiles,hetero,10,11
ngboost,smiles,legacy,10,11
ngboost,smiles,outlier,10,11
ngboost,smiles,quantile,10,11
ngboost,smiles,threshold,10,11
ngboost,smiles,valprop,10,11
rf,continuous_pdv,hetero,10,11
rf,continuous_pdv,legacy,10,11
rf,continuous_pdv,outlier,10,11
rf,continuous_pdv,quantile,10,11
rf,continuous_pdv,threshold,10,11
rf,continuous_pdv,valprop,10,11
rf,ecfp4,hetero,10,11
rf,ecfp4,legacy,10,11
rf,ecfp4,outlier,10,11
rf,ecfp4,quantile,10,11
rf,ecfp4,threshold,10,11
rf,ecfp4,valprop,10,11
rf,mhggnn,hetero,10,11
rf,mhggnn,legacy,10,11
rf,mhggnn,outlier,10,11
rf,mhggnn,quantile,10,11
rf,mhggnn,threshold,10,11
rf,mhggnn,valprop,10,11
rf,mol2vec,hetero,10,11
rf,mol2vec,legacy,10,11
rf,mol2vec,outlier,10,11
rf,mol2vec,quantile,10,11
rf,mol2vec,threshold,10,11
rf,mol2vec,valprop,10,11
rf,smiles,hetero,10,11
rf,smiles,legacy,10,11
rf,smiles,outlier,10,11
rf,smiles,quantile,10,11
rf,smiles,threshold,10,11
rf,smiles,valprop,10,11
svm,continuous_pdv,hetero,10,11
svm,continuous_pdv,legacy,10,11
svm,continuous_pdv,outlier,10,11
svm,continuous_pdv,quantile,10,11
svm,continuous_pdv,threshold,10,11
svm,continuous_pdv,valprop,10,11
svm,ecfp4,hetero,10,11
svm,ecfp4,legacy,10,11
svm,ecfp4,outlier,10,11
svm,ecfp4,quantile,10,11
svm,ecfp4,threshold,10,11
svm,ecfp4,valprop,10,11
svm,mhggnn,hetero,10,11
svm,mhggnn,legacy,10,11
svm,mhggnn,outlier,10,11
svm,mhggnn,quantile,10,11
svm,mhggnn,threshold,10,11
svm,mhggnn,valprop,10,11
svm,mol2vec,hetero,10,11
svm,mol2vec,legacy,10,11
svm,mol2vec,outlier,10,11
svm,mol2vec,quantile,10,11
svm,mol2vec,threshold,10,11
svm,mol2vec,valprop,10,11
svm,smiles,hetero,10,11
svm,smiles,legacy,10,11
svm,smiles,outlier,10,11
svm,smiles,quantile,10,11
svm,smiles,threshold,10,11
svm,smiles,valprop,10,11
xgboost,continuous_pdv,hetero,10,11
xgboost,continuous_pdv,legacy,10,11
xgboost,continuous_pdv,outlier,10,11
xgboost,continuous_pdv,quantile,10,11
xgboost,continuous_pdv,threshold,10,11
xgboost,continuous_pdv,valprop,10,11
xgboost,ecfp4,hetero,10,11
xgboost,ecfp4,legacy,10,11
xgboost,ecfp4,outlier,10,11
xgboost,ecfp4,quantile,10,11
xgboost,ecfp4,threshold,10,11
xgboost,ecfp4,valprop,10,11
xgboost,mhggnn,hetero,10,11
xgboost,mhggnn,legacy,10,11
xgboost,mhggnn,outlier,10,11
xgboost,mhggnn,quantile,10,11
xgboost,mhggnn,threshold,10,11
xgboost,mhggnn,valprop,10,11
xgboost,mol2vec,hetero,10,11
xgboost,mol2vec,legacy,10,11
xgboost,mol2vec,outlier,10,11
xgboost,mol2vec,quantile,10,11
xgboost,mol2vec,threshold,10,11
xgboost,mol2vec,valprop,10,11
xgboost,smiles,hetero,10,11
xgboost,smiles,legacy,10,11
xgboost,smiles,outlier,10,11
xgboost,smiles,quantile,10,11
xgboost,smiles,threshold,10,11
xgboost,smiles,valprop,10,11
