model,rep,strategy,baseline,nds,marginal
dnn_bnn_full,mhggnn,hetero,-0.02165632777743863,0.006037959426340416,False
dnn_bnn_full,mhggnn,legacy,-0.02274485826492306,0.009551213004372344,False
dnn_bnn_full,mhggnn,outlier,-0.02274485826492306,0.0034512108022516437,False
dnn_bnn_full,mhggnn,quantile,-0.02274485826492306,0.008613462881608457,False
dnn_bnn_full,mhggnn,threshold,-0.022733940018547866,0.016976970614808993,False
dnn_bnn_full,mhggnn,valprop,-0.0226544022560119,0.015709590911865214,False
dnn_bnn_full,mol2vec,hetero,-0.020695010821024516,0.004443900237695825,False
dnn_bnn_full,mol2vec,legacy,-0.02063409090042108,0.007202133446028726,False
dnn_bnn_full,mol2vec,outlier,-0.020780973964267244,0.002182358034589418,False
dnn_bnn_full,mol2vec,quantile,-0.02096527814865106,0.006141393538161273,False
dnn_bnn_full,mol2vec,threshold,-0.021260336041450438,0.014828142059313777,False
dnn_bnn_full,mol2vec,valprop,-0.021260336041450438,0.012601061932968352,False
dnn_vbll,mhggnn,hetero,-0.039930760860443094,0.0018320562261523747,False
dnn_vbll,mhggnn,legacy,-0.023563921451568548,0.00022485310381108322,False
dnn_vbll,mhggnn,outlier,-0.04120130538940428,-0.00742181973023847,False
dnn_vbll,mhggnn,quantile,-0.014864706993103,0.0037977576255798467,False
dnn_vbll,mhggnn,threshold,-0.0409167607625325,0.010082215973825154,False
dnn_vbll,mhggnn,valprop,-0.048231621583302776,0.0335429401108713,False
dnn_vbll,mol2vec,hetero,-0.08567227636064799,0.01396912615020554,False
dnn_vbll,mol2vec,legacy,-0.031041344006856264,-0.01300209760665894,False
dnn_vbll,mol2vec,outlier,-0.12585296630859372,0.014462489431554638,False
dnn_vbll,mol2vec,quantile,-0.06826755404472347,0.035613240166143915,False
dnn_vbll,mol2vec,threshold,-0.052373409271240234,-0.058424178398016766,False
dnn_vbll,mol2vec,valprop,-0.1847281058629354,-0.004355168703830592,False
mlp_bnn_full,mhggnn,hetero,-0.021990511152479332,0.0037108983656372586,False
mlp_bnn_full,mhggnn,legacy,-0.021657741069793658,0.008801358396356748,False
mlp_bnn_full,mhggnn,outlier,-0.0218774557113647,0.002913933450525463,False
mlp_bnn_full,mhggnn,quantile,-0.021657741069793658,0.006403504718433735,False
mlp_bnn_full,mhggnn,threshold,-0.0218774557113647,0.016567478938536207,False
mlp_bnn_full,mhggnn,valprop,-0.0218774557113647,0.015571833740581164,False
mlp_bnn_full,mol2vec,hetero,-0.01838874220848081,0.0045901506838172375,False
mlp_bnn_full,mol2vec,legacy,-0.01838874220848081,0.012338776847758842,False
mlp_bnn_full,mol2vec,outlier,-0.01171125173568726,0.0013374288876851722,False
mlp_bnn_full,mol2vec,quantile,-0.01838874220848081,0.005367753210693903,False
mlp_bnn_full,mol2vec,threshold,-0.018057651817798587,0.023117104714567002,False
mlp_bnn_full,mol2vec,valprop,-0.01838874220848081,0.013879707184704873,False
mlp_vbll,mhggnn,hetero,-0.1524114608764648,0.040205554528669855,False
mlp_vbll,mhggnn,legacy,-0.06587195396423334,0.025073788382790313,False
mlp_vbll,mhggnn,outlier,-0.11157083511352535,0.04675093564120206,False
mlp_vbll,mhggnn,quantile,-0.0637821197509765,0.016312238303097793,False
mlp_vbll,mhggnn,threshold,-0.12939298152923578,0.012801263820041313,False
mlp_vbll,mhggnn,valprop,-0.18993463516235348,0.0932682514190674,False
mlp_vbll,mol2vec,hetero,-0.0782250960667928,-0.04159849340265446,False
mlp_vbll,mol2vec,legacy,-0.0360107421875,0.033952843059192946,False
mlp_vbll,mol2vec,outlier,0.022987812757492097,-0.07413642785765907,False
mlp_vbll,mol2vec,quantile,0.0716199278831482,-0.021024763584136952,False
mlp_vbll,mol2vec,threshold,-0.0480139851570129,0.02690199907723962,False
mlp_vbll,mol2vec,valprop,-0.08864676952362056,0.0024055034825296267,False
ngboost,randomized_smiles,legacy,0.41827341174010924,-0.16816746646316855,False
ngboost,randomized_smiles,outlier,0.42024552142383526,-0.06548266210114624,False
ngboost,randomized_smiles,quantile,0.42121646023339676,-0.1300783554135726,False
ngboost,randomized_smiles,threshold,0.41721251156787825,-0.32131327938039456,False
ngboost,smiles,hetero,0.47783595664333933,-0.09843281373412133,False
ngboost,smiles,legacy,0.4778100401498322,-0.18362473404198115,False
ngboost,smiles,outlier,0.47781659218535094,-0.06502113708416216,False
ngboost,smiles,quantile,0.47784679056208806,-0.1574765201966847,False
ngboost,smiles,threshold,0.47783711353454195,-0.36468641529153134,False
ngboost,smiles,valprop,0.4778170612073274,-0.3258369319314304,False
qrf,randomized_smiles,legacy,0.5804920577615138,-0.2534687672559042,True
qrf,randomized_smiles,outlier,0.5839916713901352,-0.07901511111075707,True
qrf,randomized_smiles,quantile,0.5835823651043481,-0.23042371145234714,True
qrf,randomized_smiles,threshold,0.5867533000861319,-0.48734982634920043,True
rf,randomized_smiles,legacy,0.5538679179417288,-0.2270606491983987,True
rf,randomized_smiles,outlier,0.554398953451934,-0.07172450820714696,True
rf,randomized_smiles,quantile,0.5475822544463967,-0.19432631458332067,True
rf,randomized_smiles,threshold,0.5574339909783188,-0.4483609299523801,True
