Strategy,Analysis,Type,Within,eta2,F,p,n
Gaussian,Performance,Model effect,continuous_pdv,81.63129186664119,43.55160169594365,1.152757334496134e-31,109
Gaussian,Performance,Model effect,ecfp4,57.17826978323324,12.95205060817923,4.3746370093318156e-14,108
Gaussian,Performance,Model effect,mhggnn,95.52551066176875,172.92624428650313,2.695418244059507e-50,92
Gaussian,Performance,Model effect,mol2vec,99.19669813048577,1021.914804688906,2.797124991013343e-76,88
Gaussian,Performance,Model effect,smiles,94.51086927068528,168.73464388565256,4.038595897885462e-57,109
Gaussian,Performance,Rep effect,dnn,57.59447887637082,14.940018442246169,8.691332535878371e-08,49
Gaussian,Performance,Rep effect,dnn_bnn_full,99.87943829938037,9112.958888659241,1.4055061763124748e-63,49
Gaussian,Performance,Rep effect,dnn_vbll,98.36639830170863,496.76906362052165,5.665114238161681e-29,38
Gaussian,Performance,Rep effect,lgb,91.88998043839335,116.13687147592496,8.559230913888273e-22,46
Gaussian,Performance,Rep effect,mlp,65.59239851110952,21.44626336387438,5.918791877434676e-10,50
Gaussian,Performance,Rep effect,mlp_bnn_full,99.79815410245133,5191.48831262732,5.584747978834152e-56,47
Gaussian,Performance,Rep effect,mlp_vbll,98.4586158281771,416.97960406281493,2.4929568922132983e-23,33
Gaussian,Performance,Rep effect,ngboost,98.15813571457186,586.2209834908138,1.5476619173897065e-37,49
Gaussian,Performance,Rep effect,rf,96.2034667804497,253.39819571456752,7.833745735719476e-28,45
Gaussian,Performance,Rep effect,svm,76.9595585892584,37.57718954661698,8.29604633966313e-14,50
Gaussian,Performance,Rep effect,xgboost,92.97872087226368,148.97721494661522,2.4277844279545346e-25,50
Gaussian,Robustness,Model effect,continuous_pdv,66.66487374684034,18.998467135997544,1.1661513382703719e-18,106
Gaussian,Robustness,Model effect,ecfp4,66.55654191204799,18.508129098199678,3.731736633239471e-18,104
Gaussian,Robustness,Model effect,mhggnn,40.14693766921312,6.819375936264932,1.440789824871525e-05,68
Gaussian,Robustness,Model effect,mol2vec,38.68523885173805,5.257738665109173,0.00028989947449854076,57
Gaussian,Robustness,Model effect,smiles,89.85643156416415,85.6318146105502,2.2696929292908227e-39,97
Gaussian,Robustness,Rep effect,dnn,23.13955184185294,3.010592885724695,0.029134355857633226,45
Gaussian,Robustness,Rep effect,dnn_bnn_full,8.47371656253429,1.249861452883881,0.30259982447662237,30
Gaussian,Robustness,Rep effect,dnn_vbll,7.625335902952796,1.0318489351882434,0.3710316025993286,28
Gaussian,Robustness,Rep effect,lgb,49.5083390871536,9.560119381553863,1.739006255695191e-05,44
Gaussian,Robustness,Rep effect,mlp,38.10093583755117,6.309216425469299,0.0004726435276577584,46
Gaussian,Robustness,Rep effect,mlp_bnn_full,10.414503309044244,1.4531514159277492,0.25291309937986417,28
Gaussian,Robustness,Rep effect,mlp_vbll,35.11930461100247,7.036776612916118,0.003609952169881495,29
Gaussian,Robustness,Rep effect,ngboost,60.89023691874155,17.64493817852943,4.423388025731429e-07,38
Gaussian,Robustness,Rep effect,rf,70.93083983107918,25.010736603456383,1.55539224766815e-10,46
Gaussian,Robustness,Rep effect,svm,19.896399334070423,2.794312498408019,0.03721251344765468,50
Gaussian,Robustness,Rep effect,xgboost,52.63483635899656,11.946005193770436,1.296750299100697e-06,48
Quantile,Performance,Model effect,continuous_pdv,77.2909521727287,33.3546054882634,3.041826042219713e-27,109
Quantile,Performance,Model effect,ecfp4,59.98170903591253,14.389030437644319,2.9989257828129876e-15,107
Quantile,Performance,Model effect,mhggnn,95.28111763079133,179.70398085092472,1.6272372551738272e-54,100
Quantile,Performance,Model effect,mol2vec,98.89750886462404,773.459027397757,6.688193149329614e-74,91
Quantile,Performance,Model effect,smiles,94.94292146847359,178.35549682046346,5.784024346238605e-57,106
Quantile,Performance,Rep effect,dnn,58.32686312056595,15.74580795308919,3.951009056062486e-08,50
Quantile,Performance,Rep effect,dnn_bnn_full,99.79510856326308,5114.165123746084,7.648432317995406e-56,47
Quantile,Performance,Rep effect,dnn_vbll,97.14874544838678,289.61438600565083,9.528600257785597e-26,39
Quantile,Performance,Rep effect,lgb,93.22098144591368,144.3896778527137,5.8596651186274306e-24,47
Quantile,Performance,Rep effect,mlp,25.21572738241363,3.7932699366182425,0.009662451859985738,50
Quantile,Performance,Rep effect,mlp_bnn_full,99.77543712897139,4998.482886149071,5.959873142174218e-59,50
Quantile,Performance,Rep effect,mlp_vbll,99.21220418184258,1159.04844372324,6.66041301947135e-32,36
