Strategy,Analysis,Type,Within,eta2,F,p,n
Gaussian,Performance,Model effect,continuous_pdv,81.72434347680519,43.49802571783226,1.9056507033412747e-34,119
Gaussian,Performance,Model effect,ecfp4,59.25999401147438,13.818602365143626,2.9659044866700907e-17,127
Gaussian,Performance,Model effect,mhggnn,95.92812258982053,192.39601840460924,1.956804068285651e-62,111
Gaussian,Performance,Model effect,mol2vec,99.23240431627988,1078.0029391122782,1.520633268113108e-94,108
Gaussian,Performance,Model effect,morgan,88.1167487331957,70.85640697063297,5.797797676382549e-36,96
Gaussian,Performance,Model effect,pdv,17.686788136557873,2.0054701491712286,0.02995020753467372,125
Gaussian,Performance,Model effect,randomized_smiles,93.63987811264712,147.2296911460939,5.549699415103303e-34,67
Gaussian,Performance,Model effect,smiles,94.62786609586556,168.8063625370144,4.9505133556619937e-67,128
Gaussian,Performance,Model effect,sns,86.75196690540454,64.17324516042997,1.6235484129541973e-38,109
Gaussian,Performance,Rep effect,dnn,62.758087104057736,16.64082379130674,3.49724194910636e-14,88
Gaussian,Performance,Rep effect,dnn_bnn_full,99.83571660060561,6163.857181965389,3.613331005159107e-96,79
Gaussian,Performance,Rep effect,dnn_vbll,98.49967191411474,551.477541387472,3.870832984829825e-37,48
Gaussian,Performance,Rep effect,gauche,89.23223200357006,85.23746460451187,2.863664296585834e-32,80
Gaussian,Performance,Rep effect,lgb,90.75428461157249,92.54916671782304,1.272255555217607e-31,74
Gaussian,Performance,Rep effect,mlp,24.944197886913695,3.3234203332249184,0.0024882835008906484,89
Gaussian,Performance,Rep effect,mlp_bnn_full,99.76282963509453,4146.287264590298,6.510168000230196e-88,77
Gaussian,Performance,Rep effect,mlp_vbll,98.4339883596477,405.5009986434391,5.312528248040275e-30,43
Gaussian,Performance,Rep effect,ngboost,98.48048734149646,648.1057383127156,2.18808512579249e-69,89
Gaussian,Performance,Rep effect,qrf,96.46944144082879,265.434406807782,8.916907089561686e-47,76
Gaussian,Performance,Rep effect,rf,97.57432466988199,367.0588976016606,9.844665875331164e-56,82
Gaussian,Performance,Rep effect,svm,73.66429720162888,28.37085642883649,3.2674642245895733e-18,79
Gaussian,Performance,Rep effect,xgboost,96.31250384841768,251.39222156021282,6.537716260388406e-52,86
Gaussian,Robustness,Model effect,continuous_pdv,65.71315223465541,18.120300501697916,1.3454892585364664e-19,116
Gaussian,Robustness,Model effect,ecfp4,64.34460463808875,16.692777821168903,9.184837531117561e-20,124
Gaussian,Robustness,Model effect,mhggnn,39.92335253469796,6.396200260149383,2.3889846314142776e-06,86
Gaussian,Robustness,Model effect,mol2vec,50.413353570932074,8.3875437625155,8.84126222322659e-08,75
Gaussian,Robustness,Model effect,morgan,79.26177356848018,36.52145873064274,1.0130969193509563e-25,96
Gaussian,Robustness,Model effect,pdv,42.1368505744724,6.918048610069042,2.7819715898254383e-09,127
Gaussian,Robustness,Model effect,randomized_smiles,90.37972005101356,77.50634018705647,2.656683581365594e-16,38
Gaussian,Robustness,Model effect,smiles,89.10860388086897,78.09670299840454,2.2239583044545692e-45,117
Gaussian,Robustness,Model effect,sns,70.68368841723506,23.387381994202222,1.0384858752178333e-21,108
Gaussian,Robustness,Rep effect,dnn,30.16341038803056,4.1031843089482285,0.0004173410355138624,85
Gaussian,Robustness,Rep effect,dnn_bnn_full,23.273915550514793,3.2153798360175774,0.013120510699271847,59
Gaussian,Robustness,Rep effect,dnn_vbll,7.205771056197584,0.8800698732356547,0.4611083115292659,38
Gaussian,Robustness,Rep effect,gauche,45.29570625673924,8.043526423600554,4.2854313971585846e-07,76
Gaussian,Robustness,Rep effect,lgb,40.57007150936413,6.33892892276173,1.0924079582402668e-05,73
Gaussian,Robustness,Rep effect,mlp,43.83344018504391,7.316426412595803,3.856200752683621e-07,84
Gaussian,Robustness,Rep effect,mlp_bnn_full,42.04591163815872,7.400138813875263,2.7856573983396215e-05,57
Gaussian,Robustness,Rep effect,mlp_vbll,35.37612425206134,6.386516513141002,0.0014435026931013564,39
Gaussian,Robustness,Rep effect,ngboost,59.957648196439216,15.223117421296383,1.4457680781764136e-10,68
Gaussian,Robustness,Rep effect,qrf,63.01863683899239,15.093144801484199,2.4680455134860965e-11,70
Gaussian,Robustness,Rep effect,rf,66.14567800397124,18.700969181955333,1.4309050794989035e-13,75
Gaussian,Robustness,Rep effect,svm,17.27585536102202,2.1182030193509616,0.05248445962260529,79
Gaussian,Robustness,Rep effect,xgboost,65.0735319646237,17.46710722511149,2.1784540843463528e-14,84
Quantile,Performance,Model effect,continuous_pdv,77.41624302528017,32.72144797275652,5.080357936671918e-29,117
Quantile,Performance,Model effect,ecfp4,61.61120482557646,15.113060364049087,1.872997520755044e-18,126
Quantile,Performance,Model effect,mhggnn,95.69478275180818,194.49177609561832,6.801255533276025e-66,118
Quantile,Performance,Model effect,mol2vec,98.96555926359282,825.3746464022312,2.3445272848054397e-91,111
Quantile,Performance,Model effect,morgan,88.7555689873956,78.05588019550494,2.332966537225771e-38,99
Quantile,Performance,Model effect,pdv,83.33872135562221,47.10160463566352,2.6985607482140827e-38,126
Quantile,Performance,Model effect,randomized_smiles,95.44409551599063,212.98697279944477,5.7082610801280474e-39,68
Quantile,Performance,Model effect,smiles,95.22773391411842,186.2411205083184,4.77269775492066e-68,125
Quantile,Performance,Model effect,sns,86.02335971144107,58.47055518254009,3.68273222701167e-36,106
Quantile,Performance,Rep effect,dnn,68.08421276806864,21.599111726970246,3.411378021124383e-17,90
Quantile,Performance,Rep effect,dnn_bnn_full,99.7506727886373,3943.6394703963424,3.651178074702526e-87,77
Quantile,Performance,Rep effect,dnn_vbll,97.46437749336158,330.56720558697606,3.833637760957878e-33,49
Quantile,Performance,Rep effect,gauche,94.22630407698759,167.86212070362046,5.890053427345176e-42,80
Quantile,Performance,Rep effect,lgb,92.28858374133719,114.54881407111132,9.563683580060345e-35,75
Quantile,Performance,Rep effect,mlp,37.78332257009612,6.148771628848684,3.503041390388427e-06,90
Quantile,Performance,Rep effect,mlp_bnn_full,99.72671723665898,3753.476829669657,1.3667823544756708e-89,80
Quantile,Performance,Rep effect,mlp_vbll,99.22449578476926,1132.8241315027685,1.4421049251895901e-40,46
Quantile,Performance,Rep effect,ngboost,98.47364936321755,620.9640513001457,1.2448339815315925e-66,86
Quantile,Performance,Rep effect,qrf,97.05894658561549,306.44178118575053,3.23436146397499e-47,73
Quantile,Performance,Rep effect,rf,97.56913518566009,376.2902144823613,2.7936539986373713e-57,84
Quantile,Performance,Rep effect,svm,75.15187140925416,31.108607416021407,2.242289040580778e-19,80
Quantile,Performance,Rep effect,xgboost,96.79983721401992,291.14094985002527,2.8300129612171786e-54,86
Quantile,Robustness,Model effect,continuous_pdv,69.08239834401267,21.93778013328628,8.666126502985729e-23,120
Quantile,Robustness,Model effect,ecfp4,62.889058184188016,14.969170459684603,7.271864273545888e-18,119
Quantile,Robustness,Model effect,mhggnn,61.33296479768197,15.465276912193918,2.2386884804784931e-13,87
Quantile,Robustness,Model effect,mol2vec,56.58544237309516,12.2191391838348,5.0931785844999836e-11,84
Quantile,Robustness,Model effect,morgan,86.59972106189637,64.62531225051639,1.9998546110541432e-35,100
Quantile,Robustness,Model effect,pdv,48.7215941554357,8.788782305438131,1.3723449862761644e-11,124
Quantile,Robustness,Model effect,randomized_smiles,94.0026508968869,125.39226819141541,4.493296966342597e-19,37
Quantile,Robustness,Model effect,smiles,87.65274604600472,69.0535862678985,2.0078257314306365e-43,119
Quantile,Robustness,Model effect,sns,78.41434866754909,35.23725878643026,5.545684693908083e-28,108
Quantile,Robustness,Rep effect,dnn,43.860782768155545,7.324555965098336,3.7930844612837573e-07,84
Quantile,Robustness,Rep effect,dnn_bnn_full,42.39804846796574,7.949364757188441,1.1398785146900577e-05,60
Quantile,Robustness,Rep effect,dnn_vbll,19.147922451243936,2.7629769743781094,0.05648001059136509,39
Quantile,Robustness,Rep effect,gauche,55.974094247757336,13.077153802900439,9.709361320708854e-11,80
Quantile,Robustness,Rep effect,lgb,48.562525946250155,9.036461391105107,8.380515590320829e-08,75
Quantile,Robustness,Rep effect,mlp,46.17118686770825,8.470193633994525,3.033197174914452e-08,88
Quantile,Robustness,Rep effect,mlp_bnn_full,19.748325255810983,2.657663076099257,0.03213977158504159,60
Quantile,Robustness,Rep effect,mlp_vbll,34.12901447900037,5.872016250696002,0.0024161806491354355,38
Quantile,Robustness,Rep effect,ngboost,54.11063725530541,11.201965405040047,3.187019347779404e-08,64
Quantile,Robustness,Rep effect,qrf,61.614753596985295,14.446508342051867,4.774896175565049e-11,71
Quantile,Robustness,Rep effect,rf,69.99162515122819,23.324030542791185,5.253568097013354e-16,78
Quantile,Robustness,Rep effect,svm,19.545865942802692,2.4988547190330044,0.02346041692762367,80
Quantile,Robustness,Rep effect,xgboost,74.15938895168543,25.82889775002833,2.6706541231638413e-18,81
Outlier,Performance,Model effect,continuous_pdv,79.47276032892866,36.25202611061405,1.702495505201296e-30,115
Outlier,Performance,Model effect,ecfp4,67.26461471361401,19.86305043333902,7.498134411116849e-23,129
Outlier,Performance,Model effect,mhggnn,99.16745580793395,1022.3929698023048,3.0566004135360527e-101,116
Outlier,Performance,Model effect,mol2vec,99.14131903420336,837.0682379469877,2.293293040885735e-84,100
Outlier,Performance,Model effect,morgan,85.85840240231336,59.364182387863636,1.4376859231676107e-33,98
Outlier,Performance,Model effect,pdv,75.33383195515017,28.505269389078993,1.3479554378765822e-28,125
Outlier,Performance,Model effect,randomized_smiles,96.33446668272848,271.5719840905669,1.511758427710202e-42,69
Outlier,Performance,Model effect,smiles,94.52871579240274,162.6940537669559,2.3705095085185886e-65,126
Outlier,Performance,Model effect,sns,86.11532146454822,60.16117809809494,4.061037436621642e-37,108
Outlier,Performance,Rep effect,dnn,66.87129912981794,19.68067414024563,6.91603557760179e-16,87
Outlier,Performance,Rep effect,dnn_bnn_full,99.78782088415632,4568.627779507749,2.9314159232252255e-88,76
Outlier,Performance,Rep effect,dnn_vbll,99.25085979061802,1165.8799717585453,1.4509051732559648e-45,50
Outlier,Performance,Rep effect,gauche,93.22326093035197,125.7724324808292,6.57306035399773e-35,72
Outlier,Performance,Rep effect,lgb,92.47065382609934,122.81365697679566,9.893778948413299e-37,78
Outlier,Performance,Rep effect,mlp,75.51578782960412,30.457112511016337,3.813500304009103e-21,88
Outlier,Performance,Rep effect,mlp_bnn_full,99.79455522962768,4857.488221713594,2.155503025611583e-91,78
Outlier,Performance,Rep effect,mlp_vbll,99.45343708792012,1382.907813835888,7.04190726539898e-42,44
Outlier,Performance,Rep effect,ngboost,98.66038302182507,736.482029036651,1.423757456638606e-71,89
Outlier,Performance,Rep effect,qrf,96.55020683217815,263.87973924109605,1.0985232625400341e-45,74
Outlier,Performance,Rep effect,rf,97.56593477409979,390.8144506257647,1.2462512722409548e-59,87
Outlier,Performance,Rep effect,svm,75.20358475816249,30.76167298351241,4.0485223838044736e-19,79
Outlier,Performance,Rep effect,xgboost,97.34144959053805,343.26078101185266,7.968256519329381e-56,84
Outlier,Robustness,Model effect,continuous_pdv,27.507857919818623,3.622116823724484,0.00023210463661815482,117
Outlier,Robustness,Model effect,ecfp4,13.335825158262521,1.4490303573493044,0.15441117664148876,126
Outlier,Robustness,Model effect,mhggnn,18.858313212370216,2.266018382164576,0.031065611840945154,87
Outlier,Robustness,Model effect,mol2vec,7.886003876405809,0.8240092765985658,0.5839628981115352,86
Outlier,Robustness,Model effect,morgan,25.129729591341558,3.207261385533647,0.0021473107874668477,96
Outlier,Robustness,Model effect,pdv,13.921715126084313,1.4555986601996893,0.15251430486812037,121
Outlier,Robustness,Model effect,randomized_smiles,36.810697046521305,5.097280458912381,0.0024151525984187046,40
Outlier,Robustness,Model effect,smiles,34.1247127940484,4.944735858743267,3.77003543082265e-06,117
Outlier,Robustness,Model effect,sns,47.14121885167178,8.739965899894662,4.2925413738776996e-10,109
Outlier,Robustness,Rep effect,dnn,4.088192714612622,0.4155888633071966,0.9083523647228648,87
Outlier,Robustness,Rep effect,dnn_bnn_full,8.683541069661292,1.0270026307512015,0.41112599537606304,60
Outlier,Robustness,Rep effect,dnn_vbll,9.967583237016074,1.2916288963413889,0.2925592632912961,39
Outlier,Robustness,Rep effect,gauche,5.927318492291217,0.6480808616807894,0.7147101285762338,80
Outlier,Robustness,Rep effect,lgb,11.102157365898599,1.2131849941646329,0.3076689892599213,76
Outlier,Robustness,Rep effect,mlp,17.149101109643837,2.0698750815412095,0.04847530352418527,89
Outlier,Robustness,Rep effect,mlp_bnn_full,14.006507350801604,1.6939383662735163,0.1525405969738659,58
Outlier,Robustness,Rep effect,mlp_vbll,10.493527074867957,1.3677723916406408,0.2686419865370595,39
Outlier,Robustness,Rep effect,ngboost,6.917528791805918,0.7555472955381644,0.6075075297947807,68
Outlier,Robustness,Rep effect,qrf,17.74391859966391,1.848990716127653,0.09434144181768583,68
Outlier,Robustness,Rep effect,rf,14.581549652712628,1.560752095761515,0.16339996719858446,72
Outlier,Robustness,Rep effect,svm,1.435293575875199,0.14977997878924434,0.9934958166283616,80
Outlier,Robustness,Rep effect,xgboost,16.683979695294678,1.85230657461876,0.08071577057997169,83
Threshold,Performance,Model effect,continuous_pdv,76.32473807785075,31.358957952069602,1.459360200658813e-28,119
Threshold,Performance,Model effect,ecfp4,64.64702145496038,17.524236460606843,8.645919968966656e-21,128
Threshold,Performance,Model effect,mhggnn,96.5843598846258,235.64240918778617,1.3837929785697654e-67,113
Threshold,Performance,Model effect,mol2vec,98.80322546352002,674.2230749037695,1.9816110731769063e-88,111
Threshold,Performance,Model effect,morgan,83.05705909880537,49.0216306502898,6.660671414500992e-31,100
Threshold,Performance,Model effect,pdv,64.04678888995272,17.220129722892278,1.3586230633333018e-20,129
Threshold,Performance,Model effect,randomized_smiles,92.03415921423907,117.46162694472132,1.3397165065701365e-31,68
Threshold,Performance,Model effect,smiles,91.81708107346273,107.53054032676808,1.3777142211134734e-56,128
Threshold,Performance,Model effect,sns,80.17844017156096,40.045615207315514,2.0725096956016684e-30,110
Threshold,Performance,Rep effect,dnn,59.45699999239283,14.481855679518379,8.572826452305184e-13,88
Threshold,Performance,Rep effect,dnn_bnn_full,99.50171242326947,1939.8197119070653,1.1762016810350974e-75,76
Threshold,Performance,Rep effect,dnn_vbll,98.10314114392983,413.74988267572314,2.607062351440636e-33,46
Threshold,Performance,Rep effect,gauche,82.42544338597642,47.57044604661693,2.4886676499665982e-24,79
Threshold,Performance,Rep effect,lgb,80.91021007544018,43.594995383496155,2.0245646137806138e-23,80
Threshold,Performance,Rep effect,mlp,84.21212553009005,53.33974860934541,6.403104899239905e-29,89
Threshold,Performance,Rep effect,mlp_bnn_full,99.51857259400907,2037.6255584760627,2.6226133553947473e-77,77
Threshold,Performance,Rep effect,mlp_vbll,98.43031226147126,526.7382822084966,9.989282260388433e-37,48
Threshold,Performance,Rep effect,ngboost,97.92636127744757,472.24408095983466,5.4205834552473624e-64,89
Threshold,Performance,Rep effect,qrf,93.63796554410533,145.07981835358805,1.0746928018763062e-38,77
Threshold,Performance,Rep effect,rf,95.4349726544225,206.44352894740382,1.1598898235076208e-49,88
Threshold,Performance,Rep effect,svm,59.86188963588833,15.340091693709624,4.0852616892430675e-12,80
Threshold,Performance,Rep effect,xgboost,91.80244515887352,111.98759500614493,3.389430360053093e-40,89
Threshold,Robustness,Model effect,continuous_pdv,71.83484653155374,25.04114117177184,6.691370542302549e-25,120
Threshold,Robustness,Model effect,ecfp4,84.55795870822024,50.65140697864888,2.354497433747542e-39,124
Threshold,Robustness,Model effect,mhggnn,47.956013643004916,9.09933438757469,8.916956464017586e-09,88
Threshold,Robustness,Model effect,mol2vec,70.97402603367784,23.229306554958427,1.5159308567514428e-17,85
Threshold,Robustness,Model effect,morgan,85.6294299324129,59.5866618580084,4.472114926078752e-34,100
Threshold,Robustness,Model effect,pdv,72.41371810245984,24.499908014662935,5.848279027662413e-26,125
Threshold,Robustness,Model effect,randomized_smiles,97.5691815535833,341.17646442415224,6.35299853816247e-27,39
Threshold,Robustness,Model effect,smiles,94.06301162700525,154.11459651940828,2.658532580603434e-60,119
Threshold,Robustness,Model effect,sns,88.38920433780176,73.84293953842193,7.685575339148381e-41,108
Threshold,Robustness,Rep effect,dnn,50.675888617286176,9.760357122884466,3.245447121935646e-09,85
Threshold,Robustness,Rep effect,dnn_bnn_full,59.6206607427557,15.946351472461068,1.2528424208162724e-09,60
Threshold,Robustness,Rep effect,dnn_vbll,24.911179442299535,3.8704886382320924,0.01720966901175564,39
Threshold,Robustness,Rep effect,gauche,64.88365075892156,18.740718063737024,6.578623750810928e-14,79
Threshold,Robustness,Rep effect,lgb,58.52673963741775,14.11192154312066,2.8386759362124077e-11,78
Threshold,Robustness,Rep effect,mlp,84.61484853668921,55.68520683576133,9.385476076818302e-30,90
Threshold,Robustness,Rep effect,mlp_bnn_full,62.73914812591872,18.18484456688575,1.5371634165430187e-10,60
Threshold,Robustness,Rep effect,mlp_vbll,35.9653267591561,6.552629343147578,0.0012385517116437735,39
Threshold,Robustness,Rep effect,ngboost,65.04325713804346,18.916897287831667,2.679611903393467e-12,68
Threshold,Robustness,Rep effect,qrf,84.10071768620054,46.095016632162654,5.129289806362182e-22,69
Threshold,Robustness,Rep effect,rf,81.5253758263597,43.49789573253002,7.220103305655386e-23,77
Threshold,Robustness,Rep effect,svm,26.980739229726886,3.8005886667003006,0.00145283556277174,80
Threshold,Robustness,Rep effect,xgboost,79.88948415232005,37.24240191553352,4.034078223472666e-23,84
Value-Prop.,Performance,Model effect,continuous_pdv,74.61012998637393,27.515781918580686,7.341396414380929e-26,115
Value-Prop.,Performance,Model effect,ecfp4,61.695639664767754,14.496019568617704,1.4828863643488768e-17,121
Value-Prop.,Performance,Model effect,mhggnn,98.89540117871623,798.3145646959905,9.292890603360613e-99,120
Value-Prop.,Performance,Model effect,mol2vec,98.29590756987163,461.4581032436931,3.411545275911622e-79,109
Value-Prop.,Performance,Model effect,morgan,84.30954854484423,51.94192818029827,3.1803117968037656e-31,97
Value-Prop.,Performance,Model effect,pdv,44.19944401221789,7.458911900558538,5.677071307522003e-10,126
Value-Prop.,Performance,Model effect,smiles,91.76564163715153,105.87025207527677,6.586209650810842e-56,127
Value-Prop.,Performance,Model effect,sns,77.11604588913549,35.04669137866547,1.6407079544152728e-15,58
Value-Prop.,Performance,Rep effect,dnn,69.4837787977885,20.81778930243263,2.648984565901501e-14,72
Value-Prop.,Performance,Rep effect,dnn_bnn_full,99.6787318867332,3014.0173929468997,3.904212534088797e-82,76
Value-Prop.,Performance,Rep effect,dnn_vbll,97.67023578377298,360.5360670792458,6.227467837039377e-34,49
Value-Prop.,Performance,Rep effect,gauche,69.95642367380316,24.061151601281733,1.7149073949048034e-14,69
Value-Prop.,Performance,Rep effect,lgb,85.07346930948479,56.99480413324896,2.040488919303363e-26,78
Value-Prop.,Performance,Rep effect,mlp,71.46215743947127,23.967997371957285,5.630216966508156e-16,75
Value-Prop.,Performance,Rep effect,mlp_bnn_full,99.5982335010995,2443.593526653471,5.121048150075355e-80,77
Value-Prop.,Performance,Rep effect,mlp_vbll,96.80920912700984,242.72153953176803,8.417650660425211e-29,46
Value-Prop.,Performance,Rep effect,ngboost,97.30636133171986,361.2450418000934,3.825779011566679e-45,67
Value-Prop.,Performance,Rep effect,qrf,90.97378152402962,104.81990108800218,6.505574037257209e-26,58
