model,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
ngboost,-0.18314579541195558,-0.33085131940596824,-0.11517705576942333,-0.2865230412306435,-0.6472795972858238,-0.5762105925381156,-0.35653123360698835,0.21291716044190379
rf,-0.19575160214857468,-0.35859244478463015,-0.1156128925738835,-0.3040228116533356,-0.7101382983744733,-0.632186711751575,-0.38605079354774535,0.23767565810391678
svm,-0.20190926087131084,-0.3642260428871069,-0.10723412559682255,-0.2954063104504824,-0.7092581909134179,-0.6306479539826058,-0.38478031411695773,0.23858779865610683
lgb,-0.20085830716103717,-0.3646409126287812,-0.12528794664255785,-0.32339751122615307,-0.7200741743727082,-0.6404413128548808,-0.39578336081435306,0.23765317342056289
xgboost,-0.20302409915008937,-0.3674731000505313,-0.13466062316990862,-0.32532039049899936,-0.7236123204833329,-0.6465893136732506,-0.40011330783768534,0.23722170232177975
dnn_bnn_full,-0.2123077351336527,-0.3783638592922326,-0.1492919605789763,-0.35204838833423574,-0.7151010488620912,-0.6449799369681966,-0.40868215486156423,0.22790434335473017
dnn_vbll,-0.21688544476273083,-0.3797849039236704,-0.156240463256836,-0.35001129417708426,-0.6767989155921069,-0.6018884615464644,-0.39693491387648216,0.20648360466298873
mlp_bnn_full,-0.21302072237236325,-0.38181345732224103,-0.14906136152720215,-0.35501007010238345,-0.7232302622361617,-0.6500786868008701,-0.4120357600602036,0.2308394635080586
mlp_vbll,-0.2262786041606556,-0.38787906934516597,-0.13691758730194786,-0.3403217275335331,-0.7028206430902384,-0.6400166820396076,-0.4057057189118581,0.22459426109186334
dnn,-0.23113491420794005,-0.40732365948125226,-0.15794563916596496,-0.36807276221236795,-0.7659042561295056,-0.6848496101119301,-0.43587180688482685,0.24309801363186412
mlp,-0.2626945887551163,-0.48746727542443724,-0.16504490483890885,-0.42261123855908717,-0.8789227333935825,-0.786398104968525,-0.5005231409899429,0.28293445669136114
