model,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,Mean_Rank
ngboost,1.0,1.0,2.0,1.0,1.0,1.0,1.1666666666666667
svm,4.0,3.0,1.0,2.0,4.0,3.0,2.8333333333333335
rf,2.0,2.0,3.0,3.0,5.0,4.0,3.1666666666666665
lgb,3.0,4.0,4.0,4.0,7.0,6.0,4.666666666666667
dnn_vbll,8.0,7.0,9.0,7.0,2.0,2.0,5.833333333333333
xgboost,5.0,5.0,5.0,5.0,9.0,8.0,6.166666666666667
mlp_vbll,9.0,9.0,6.0,6.0,3.0,5.0,6.333333333333333
dnn_bnn_full,6.0,6.0,8.0,8.0,6.0,7.0,6.833333333333333
mlp_bnn_full,7.0,8.0,7.0,9.0,8.0,9.0,8.0
dnn,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mlp,11.0,11.0,11.0,11.0,11.0,11.0,11.0
