model,rep,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
xgboost,randomized_smiles,,-0.25436221200107323,-0.0868880318528818,-0.22297905716631145,-0.5041623487165481,,-0.26709791243420367,0.17395767633217732
ngboost,morgan,-0.14881227491682644,-0.2615023221277839,-0.10237999555414612,-0.23778851961983766,-0.5059115834944314,-0.4704247574570367,-0.28780324219501036,0.16602129178596423
ngboost,mol2vec,-0.14658808605355922,-0.26878878274015405,-0.09439986923775893,-0.23276165128357304,-0.535611730317073,-0.47468101340637725,-0.29213852217308256,0.17717634810383653
ngboost,sns,,-0.28381612227600744,-0.09562385034754861,-0.25616209958107916,-0.5507525475584892,,-0.2965886549407811,0.1886651186314928
rf,smiles,-0.15024463710552474,-0.2761352623281092,-0.08948364655056049,-0.24283050724136077,-0.5537864136320431,-0.4925376215665979,-0.30083634807069937,0.1855024328605414
rf,mol2vec,-0.1558433337144415,-0.2857245960005614,-0.0864650926441176,-0.24005386309025661,-0.5624445284045382,-0.502498165343349,-0.3055049298662107,0.1896715263415737
ngboost,mhggnn,-0.15725576779511197,-0.283929776847601,-0.10341301248592784,-0.250847386660687,-0.5591290803751433,-0.49542772819773856,-0.30833379206036826,0.1825484898112481
ngboost,ecfp4,-0.14870385998151678,-0.2859652579392426,-0.09852693720144907,-0.2513429216142668,-0.5648445738870146,-0.5019441047610721,-0.30855460923076033,0.1878996455612771
xgboost,smiles,-0.1597210768497351,-0.29407655361926915,-0.10329485529600974,-0.25983620972344373,-0.5834440155462786,-0.515327334765232,-0.31928334096666133,0.1920909134304371
lgb,smiles,-0.16447846911958128,-0.30300167204368694,-0.09453562121425246,-0.26812739898356375,-0.5975785533397506,-0.536762294591657,-0.32741400154874867,0.2008515788711619
rf,morgan,-0.1634918762354221,-0.3065630584829781,-0.09890888532619826,-0.2670550728156316,-0.6067435773226518,-0.5395833072701386,-0.3303909629088368,0.2030520454515784
ngboost,pdv,-0.1706720348614133,-0.3100698229232225,-0.10079719535979946,-0.2698170150719286,-0.6107296493936397,-0.5429600843790542,-0.33417430033150963,0.20297542444895378
rf,ecfp4,-0.17637146312824692,-0.3213524771308486,-0.10392262592978121,-0.2792385352353689,-0.6345488052950062,-0.5663614156802314,-0.34696588706658055,0.2117800075785755
xgboost,sns,,-0.33401021632281214,-0.11078306514807423,-0.29224592838624514,-0.6583517146531982,,-0.3488477311275824,0.22795570982489155
lgb,mol2vec,-0.17973928807011647,-0.32686325875376565,-0.10919527517906456,-0.28688592491369497,-0.6331702158799022,-0.5678666351353523,-0.350620099655316,0.20935293430837226
xgboost,mol2vec,-0.17822220753582696,-0.3288137789627518,-0.11479586867069957,-0.28966265700940275,-0.6382560854285826,-0.5685578190166541,-0.353051402770653,0.20962884772185042
rf,sns,,-0.3388445522547296,-0.10853782242462567,-0.292796954750925,-0.6732660363240341,,-0.3533613414385786,0.23534113634976195
mlp_vbll,ecfp4,-0.18859977318783006,-0.3266662196679549,-0.10811138044704086,-0.2858373386841832,-0.6462118593129246,-0.5721827857422105,-0.35460155950702404,0.2126974657462459
svm,mol2vec,-0.18277508167948772,-0.33260545629721705,-0.10041689983113705,-0.27688067725106486,-0.6553224299632956,-0.5827447932891429,-0.3551242230518909,0.2205172472972025
svm,pdv,-0.1838353733067113,-0.33643151136494315,-0.10144146475289358,-0.2806798839524262,-0.6662686465327514,-0.5651287411560192,-0.35563093684429087,0.2193159357336176
ngboost,continuous_pdv,-0.18314579541195558,-0.33085131940596824,-0.11517705576942333,-0.2865230412306435,-0.6472795972858238,-0.5762105925381156,-0.35653123360698835,0.21291716044190379
