Model,Rep,Unc-Noise ρ,Unc-Error ρ,ECE,Coverage 1σ,Coverage 2σ
BNN-β,Mol2Vec,-0.0488659757703468,0.0152268765316271,1.3331212196259608,0.5063265306122449,0.7642755102040817
VBLL-α,MHG-GNN,-0.0462431509192093,0.0868527146489096,13.406061956500787,0.2657454545454545,0.3855545454545454
VBLL-β,MHG-GNN,-0.0290354989512011,0.1033659646478334,15.338146671381743,0.3111090909090909,0.4708454545454545
VBLL-β,Mol2Vec,-0.0250433362856551,0.1517262580119137,23.863978261930963,0.4483545454545454,0.5796545454545454
BNN-α,Mol2Vec,-0.0021162111896102,0.012341599049646,0.403833393712897,0.4056831683168317,0.6917029702970297
VBLL-α,Mol2Vec,0.0304915854650265,0.0679941990368014,10.76905739375604,0.3741284403669724,0.4852935779816514
BNN-β,MHG-GNN,0.0553150738423682,-0.0025291557046079,0.6998081462076429,0.4587454545454545,0.7244090909090909
BNN-α,MHG-GNN,0.0873794862572153,-0.0047574615398951,0.4683381430653152,0.3591090909090909,0.6187090909090909
QRF,MORGAN,0.2216509496780324,0.2196891706291662,0.1098022186544411,0.6782727272727272,0.9309090909090908
QRF,SNS,0.229629807181294,0.2149394939636889,0.1529311539989324,0.7003299670032996,0.936906309369063
