Model,Rep,Unc-Noise ρ,Unc-Error ρ,ECE,Coverage 1σ,Coverage 2σ
GP,SNS,0.5555831659665508,0.2324631313334756,0.1346819355969769,0.7121111111111111,0.9455555555555556
GP,MORGAN,0.5269016972546984,0.2239466953730843,0.1392477851185559,0.7137129629629629,0.9542222222222222
NGBoost,SNS,0.4721744990010051,0.1634240293314252,0.1318020011953525,0.6927,0.9536
NGBoost,PDV,0.4719650166075383,0.2869622510098105,0.1129815587886162,0.6897272727272727,0.952
NGBoost,PDV,0.4433607998488809,0.2478850967805614,0.1246620768991095,0.6979090909090909,0.9542727272727272
NGBoost,MORGAN,0.4386284371817109,0.1989176777474895,0.1386183907533004,0.6975363636363636,0.9530454545454544
BNN-α,SNS,0.4173499418619271,0.2046023739502561,0.1712524867177634,0.7336545454545454,0.9509363636363636
BNN-β,SNS,0.400121755035126,0.2105858556776873,0.1762650235816673,0.7347818181818182,0.9508272727272729
BNN-β,MORGAN,0.3802112751570597,0.1968817455737859,0.1752814187967533,0.721392523364486,0.949570093457944
BNN-β,PDV,0.3758931179562358,0.2405961239308484,0.193110068645426,0.7212,0.9402
VBLL-β,PDV,0.3728572918741218,0.2264768026540974,0.1985698518955452,0.7147272727272728,0.9448181818181818
NGBoost,ECFP4,0.3726758554069954,0.2241776218231702,0.1092088253624598,0.6915,0.9416
VBLL-α,PDV,0.3721830122647381,0.1700132552468978,0.1616258016560202,0.7240818181818182,0.9468727272727272
BNN-β,SMILES,0.3696172731318889,0.1805779840213626,0.160237921293126,0.7130181818181818,0.9481363636363636
BNN-β,ECFP4,0.3655041808772367,0.2007743187966868,0.290053609225694,0.7864166666666667,0.9521944444444445
