model,rep,strategy,nds_mean,nds_std,baseline_r2,n_iterations,in_anova
dnn,continuous_pdv,hetero,-0.23113491420794005,,0.8685825288295745,1,True
dnn,continuous_pdv,legacy,-0.40732365948125226,,0.8672125008371141,1,True
dnn,continuous_pdv,outlier,-0.15794563916596496,,0.8685825288295745,1,True
dnn,continuous_pdv,quantile,-0.36807276221236795,,0.8685825288295745,1,True
dnn,continuous_pdv,threshold,-0.7659042561295056,,0.8685825288295745,1,True
dnn,continuous_pdv,valprop,-0.6848496101119301,,0.8685825288295745,1,True
dnn,ecfp4,hetero,-0.2412531068981296,,0.7958414480090141,1,True
dnn,ecfp4,legacy,-0.4263429695909674,,0.7899669885635376,1,True
dnn,ecfp4,outlier,-0.13052093874324447,,0.7908749222755432,1,True
dnn,ecfp4,quantile,-0.3591562845490196,,0.7891233444213868,1,True
dnn,ecfp4,threshold,-0.8291493470620627,,0.7901876032352447,1,True
dnn,ecfp4,valprop,-0.7461199368340801,,0.7873104810714722,1,True
dnn,mhggnn,hetero,-0.21161894093860284,,0.6287702023983002,1,True
dnn,mhggnn,legacy,-0.4706244354898279,,0.6978182435035706,1,True
dnn,mhggnn,outlier,-0.13958721269260752,,0.6978182435035706,1,True
dnn,mhggnn,quantile,-0.5033172981305557,,0.669192659854889,1,True
dnn,mhggnn,threshold,-0.763705418326638,,0.697547447681427,1,True
dnn,mhggnn,valprop,-0.6905819385942786,,0.611171113120185,1,True
dnn,mol2vec,hetero,-0.22733984039545402,,0.7424286868837144,1,True
dnn,mol2vec,legacy,-0.3475342367484112,,0.7388164401054382,1,True
dnn,mol2vec,outlier,-0.0975121802581853,,0.7229603197839525,1,True
dnn,mol2vec,quantile,-0.38808611485392164,,0.7258075806829665,1,True
dnn,mol2vec,threshold,-0.6819157749306933,,0.7167454447065081,1,True
dnn,mol2vec,valprop,-0.647422299143814,,0.7377048432826996,1,True
dnn,morgan,hetero,-0.2490467891548619,,0.7660813689231872,1,False
dnn,morgan,legacy,-0.43389331571983564,,0.7660813689231872,1,False
dnn,morgan,outlier,-0.14074280394448171,,0.7660813689231872,1,False
dnn,morgan,quantile,-0.3700389905409379,,0.7660813689231872,1,False
dnn,morgan,threshold,-0.8167862732001026,,0.7660813689231872,1,False
dnn,morgan,valprop,-0.7340456816283139,,0.7660813689231872,1,False
dnn,pdv,hetero,-0.20037870741251745,,0.8342476189136505,1,False
dnn,pdv,legacy,-0.3626742390069095,,0.8298896312713623,1,False
dnn,pdv,outlier,-0.13327454436909072,,0.8290776014328003,1,False
dnn,pdv,quantile,-0.32672307816418733,,0.8290776014328003,1,False
dnn,pdv,threshold,-0.6965822165662592,,0.8277819216251373,1,False
dnn,pdv,valprop,-0.6287946623082113,,0.8309212803840638,1,False
dnn,randomized_smiles,legacy,-0.4209716210268104,,0.6992551803588867,1,False
dnn,randomized_smiles,outlier,-0.13266073013796953,,0.6983747124671936,1,False
dnn,randomized_smiles,quantile,-0.35089051023577195,,0.6929030641913414,1,False
dnn,randomized_smiles,threshold,-0.8463319140853304,,0.6953794360160828,1,False
dnn,smiles,hetero,-0.23842749192257118,,0.7378226584858365,1,True
dnn,smiles,legacy,-0.4415021722966975,,0.7385965049266815,1,True
