Model,Rep,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,Heteroscedastic,Ext. Mean
XGBoost,R-SMILES,-0.25436221200107323,-0.0868880318528818,-0.22297905716631145,-0.5041623487165481,,,
NGBoost,MORGAN,-0.2615023221277839,-0.10237999555414612,-0.23778851961983766,-0.5059115834944314,-0.4704247574570367,-0.14881227491682644,
NGBoost,Mol2Vec,-0.26878878274015405,-0.09439986923775893,-0.23276165128357304,-0.535611730317073,-0.47468101340637725,-0.14658808605355922,
RF,SMILES,-0.2761352623281092,-0.08948364655056049,-0.24283050724136077,-0.5537864136320431,-0.4925376215665979,-0.15024463710552474,
NGBoost,SNS,-0.28381612227600744,-0.09562385034754861,-0.25616209958107916,-0.5507525475584892,,,-0.1968359695761284
NGBoost,MHG-GNN,-0.283929776847601,-0.10341301248592784,-0.250847386660687,-0.5591290803751433,-0.49542772819773856,-0.15725576779511197,-0.18522067185844218
RF,Mol2Vec,-0.2857245960005614,-0.0864650926441176,-0.24005386309025661,-0.5624445284045382,-0.502498165343349,-0.1558433337144415,
NGBoost,ECFP4,-0.2859652579392426,-0.09852693720144907,-0.2513429216142668,-0.5648445738870146,-0.5019441047610721,-0.14870385998151678,-0.19162476923118174
XGBoost,SMILES,-0.29407655361926915,-0.10329485529600974,-0.25983620972344373,-0.5834440155462786,-0.515327334765232,-0.1597210768497351,
LightGBM,SMILES,-0.30300167204368694,-0.09453562121425246,-0.26812739898356375,-0.5975785533397506,-0.536762294591657,-0.16447846911958128,
RF,MORGAN,-0.3065630584829781,-0.09890888532619826,-0.2670550728156316,-0.6067435773226518,-0.5395833072701386,-0.1634918762354221,
NGBoost,PDV,-0.3100698229232225,-0.10079719535979946,-0.2698170150719286,-0.6107296493936397,-0.5429600843790542,-0.1706720348614133,
RF,ECFP4,-0.3213524771308486,-0.10392262592978121,-0.2792385352353689,-0.6345488052950062,-0.5663614156802314,-0.17637146312824692,-0.3410963070369191
VBLL-β,ECFP4,-0.3266662196679549,-0.10811138044704086,-0.2858373386841832,-0.6462118593129246,-0.5721827857422105,-0.18859977318783006,
LightGBM,Mol2Vec,-0.32686325875376565,-0.10919527517906456,-0.28688592491369497,-0.6331702158799022,-0.5678666351353523,-0.17973928807011647,
XGBoost,Mol2Vec,-0.3288137789627518,-0.11479586867069957,-0.28966265700940275,-0.6382560854285826,-0.5685578190166541,-0.17822220753582696,
NGBoost,PDV,-0.33085131940596824,-0.11517705576942333,-0.2865230412306435,-0.6472795972858238,-0.5762105925381156,-0.18314579541195558,-0.1711734657322256
XGBoost,MORGAN,-0.3317349377003583,-0.11404347202994605,-0.2946980281309648,-0.6533397826281462,-0.5843541651061087,-0.18121185031804177,
BNN-α,MORGAN,-0.33231408764617615,-0.11810298236933624,-0.34738944764390134,-0.7793369622801636,-0.6908729595969423,-0.2211404602937024,
SVM,Mol2Vec,-0.33260545629721705,-0.10041689983113705,-0.27688067725106486,-0.6553224299632956,-0.5827447932891429,-0.18277508167948772,
LightGBM,SNS,-0.3338666676584365,-0.10949291987283287,-0.29513876901577246,-0.6724796702896766,-0.5947633249144448,-0.18565869732210444,-0.40989145303213365
XGBoost,SNS,-0.33401021632281214,-0.11078306514807423,-0.29224592838624514,-0.6583517146531982,,,-0.6873167613656906
RF,MHG-GNN,-0.3343875700268707,-0.10470113488155672,-0.284114223990704,-0.6562609110637116,-0.5841418792715858,-0.18343548492717288,-0.23031146035605424
SVM,PDV,-0.33643151136494315,-0.10144146475289358,-0.2806798839524262,-0.6662686465327514,-0.5651287411560192,-0.1838353733067113,
RF,SNS,-0.3388445522547296,-0.10853782242462567,-0.292796954750925,-0.6732660363240341,,,-0.33329763131319884
XGBoost,ECFP4,-0.3388684875736332,-0.12340025131148522,-0.30498878489239045,-0.6746127216395361,-0.5859786037242773,-0.18117181116884407,-0.652932873731181
LightGBM,MORGAN,-0.3390026371166213,-0.10943205411135269,-0.29815299007529894,-0.6731023937333208,-0.5976705882355432,-0.18446764836057492,
SVM,ECFP4,-0.33915548919110805,-0.1043343262881888,-0.2809054838766023,-0.6661104841265499,-0.592622074138784,-0.18519656817704375,-0.17160070101790167
LightGBM,ECFP4,-0.33915649974967904,-0.11655794546015213,-0.30435867632842056,-0.6741922756020136,-0.595964440497683,-0.1777430719212117,-0.35986460381692914
BNN-α,PDV,-0.3398044326088645,-0.15084152492609892,-0.3010770429264416,-0.6571050855246457,-0.5891525168009478,-0.18789999165920296,
SVM,MORGAN,-0.34265132639503904,-0.09818682440045776,-0.2821477446896438,-0.6706099570542221,-0.5980087036459086,-0.19049940225903805,
SVM,SMILES,-0.3436477797289438,-0.09647004173387051,-0.26992912719965745,-0.6672857667710399,-0.5960328137568326,-0.1905884274831806,
VBLL-α,SMILES,-0.34368860559030007,-0.12311226779764355,-0.31048798777840364,-0.6294616303660653,-0.5746585826681118,-0.19327405673084835,
NN-β,Mol2Vec,-0.3438251313386542,-0.12615979530594568,-0.29071449631392354,-0.6564967242154208,-0.6318677540379342,-0.1766395789655772,
VBLL-β,PDV,-0.3463371309367093,-0.11759259676692461,-0.2979527377721035,-0.6717411594559448,-0.5993611335754395,-0.19651040001349016,
BNN-β,PDV,-0.3474375686862251,-0.12105407985773958,-0.30241520838304004,-0.6587760004130278,-0.5908763396318513,-0.1924205353163709,
NN-α,Mol2Vec,-0.3475342367484112,-0.0975121802581853,-0.38808611485392164,-0.6819157749306933,-0.647422299143814,-0.22733984039545402,
LightGBM,PDV,-0.3485553182279423,-0.11292807995728746,-0.29901276339998034,-0.6885349386643334,-0.6090432317724231,-0.192344701026225,
XGBoost,PDV,-0.3492639380271988,-0.12186422881281911,-0.3079230506161247,-0.6926769643548936,-0.6164330173622479,-0.19035243464238719,
XGBoost,MHG-GNN,-0.3524470069191672,-0.12435443973300431,-0.30894951085851646,-0.6869909128757438,-0.6094473026015542,-0.1906534626628413,-0.6578185145037622
VBLL-β,SMILES,-0.35327098857272743,-0.1198922309008512,-0.3130654564409545,-0.6472792317168881,-0.5796722731204949,-0.2077236067165028,
SVM,MHG-GNN,-0.3552075922992485,-0.1021012035075033,-0.28629539258466963,-0.686363217349434,-0.6112321057116094,-0.19754053551275116,-0.1636661850357752
LightGBM,MHG-GNN,-0.3552582840849045,-0.11977006036430643,-0.31152116862100654,-0.6996734686949714,-0.6227741251309669,-0.1944815991122593,-0.4269705201560203
SVM,SNS,-0.3556232233769808,-0.1025444249314749,-0.2879975716261067,-0.6965646100364945,,,-0.13759700474170386
VBLL-α,ECFP4,-0.3565941070065354,-0.13999335007234057,-0.3357547545071804,-0.6440934885631908,-0.5746328873465759,-0.19348721522273438,
BNN-α,SMILES,-0.3567619854753668,-0.12285566438328142,-0.33707750548015947,-0.6708452484824441,-0.593269860202616,-0.20272490978240965,
RF,PDV,-0.35859244478463015,-0.1156128925738835,-0.3040228116533356,-0.7101382983744733,-0.632186711751575,-0.19575160214857468,-0.24979748560136508
VBLL-α,PDV,-0.35873245813629845,-0.11520381393757738,-0.30016303640423403,-0.6875648721299993,-0.614045169136741,-0.19674689932303,
NN-β,PDV,-0.36116503151980317,-0.1382343999063125,-0.344934772903269,-0.7166000989350405,-0.6509190031288333,-0.2064068284815696,
NN-α,PDV,-0.3626742390069095,-0.13327454436909072,-0.32672307816418733,-0.6965822165662592,-0.6287946623082113,-0.20037870741251745,
RF,PDV,-0.3640939315163248,-0.11651304966928272,-0.3125445791390491,-0.7289409787303882,-0.6418485130066895,-0.19604432792793103,
SVM,PDV,-0.3642260428871069,-0.10723412559682255,-0.2954063104504824,-0.7092581909134179,-0.6306479539826058,-0.20190926087131084,
LightGBM,PDV,-0.3646409126287812,-0.12528794664255785,-0.32339751122615307,-0.7200741743727082,-0.6404413128548808,-0.20085830716103717,-0.3987530463831759
BNN-β,SMILES,-0.3650299738753926,-0.11694073460318831,-0.336506368897178,-0.6795568921349265,-0.6107773771791748,-0.19867893349040636,
BNN-α,ECFP4,-0.3664963351355659,-0.12257038210377551,-0.33960853062494833,-0.68350377462127,-0.6157826392036497,-0.21154733679511334,
XGBoost,PDV,-0.3674731000505313,-0.13466062316990862,-0.32532039049899936,-0.7236123204833329,-0.6465893136732506,-0.20302409915008937,-0.6516519611934802
BNN-α,PDV,-0.3783638592922326,-0.1492919605789763,-0.35204838833423574,-0.7151010488620912,-0.6449799369681966,-0.2123077351336527,
VBLL-α,PDV,-0.3797849039236704,-0.156240463256836,-0.35001129417708426,-0.6767989155921069,-0.6018884615464644,-0.21688544476273083,
BNN-β,PDV,-0.38181345732224103,-0.14906136152720215,-0.35501007010238345,-0.7232302622361617,-0.6500786868008701,-0.21302072237236325,
