model_a,model_b,n_shared_reps,icc_1_1,mean_abs_nds_diff,mean_nds_a,mean_nds_b
lgb,xgboost,8,0.9442783987674623,0.00603936717140692,-0.36662507877983863,-0.3634902887897026
dnn_bnn_full,mlp_bnn_full,6,0.8464103556767153,0.010098602556448325,-0.3975193937413463,-0.40690128173346424
qrf,rf,7,0.8103468801233357,0.021585793505195183,-0.37071299312638933,-0.34912719962119415
dnn_vbll,mlp_vbll,4,0.7819032744884531,0.010781375957207656,-0.3780543610823626,-0.3755101090209301
qrf,xgboost,7,0.7541994054052388,0.015681823226803424,-0.37071299312638933,-0.36400361014267046
lgb,qrf,7,0.7431291577289371,0.013335889708165833,-0.36657560642379866,-0.37071299312638933
dnn_vbll,lgb,4,0.6983871087280308,0.01148868954961417,-0.3780543610823626,-0.3665656715327485
mlp_vbll,svm,4,0.6885173149341969,0.013288619407304011,-0.3755101090209301,-0.3656144120099705
rf,xgboost,8,0.6776371556885433,0.021228177425885224,-0.3467851700321495,-0.3634902887897026
dnn_vbll,xgboost,4,0.6563335279796044,0.013318582335616932,-0.3780543610823626,-0.36682975778966326
dnn_bnn_full,dnn_vbll,4,0.6042851083423102,0.013369347465535045,-0.3875424039960912,-0.3780543610823626
lgb,rf,8,0.5857429910202147,0.024405173203583867,-0.36662507877983863,-0.3467851700321495
lgb,mlp_vbll,4,0.5766500779668287,0.017385056408564706,-0.3665656715327485,-0.3755101090209301
lgb,svm,8,0.5605959729372495,0.011678399584093106,-0.36662507877983863,-0.36438395785243227
dnn_bnn_full,mlp_vbll,4,0.5522442140957674,0.012333508648028527,-0.3875424039960912,-0.3755101090209301
mlp_vbll,xgboost,4,0.5442496209416408,0.019549499444857024,-0.3755101090209301,-0.36682975778966326
dnn_vbll,qrf,4,0.539839457878777,0.02285935457362423,-0.3780543610823626,-0.37886556878578687
dnn_vbll,svm,4,0.5224100967969272,0.012439949072392112,-0.3780543610823626,-0.3656144120099705
gauche,mlp_vbll,3,0.5186588437268957,0.011255834284382241,-0.3767007400083364,-0.36544490572395416
dnn,mlp,9,0.49009734530844223,0.04677532094052286,-0.4465512090374205,-0.4872484941944981
svm,xgboost,8,0.4823042673548993,0.013873868990721079,-0.36438395785243227,-0.3634902887897026
mlp_vbll,qrf,4,0.4388739205352497,0.02658792094522,-0.3755101090209301,-0.37886556878578687
dnn_vbll,rf,4,0.42389667220565946,0.028552473988352367,-0.3780543610823626,-0.35679598133749235
gauche,xgboost,8,0.4165531712091052,0.03090316527277022,-0.3768090237921292,-0.34686336436426735
dnn_vbll,mlp_bnn_full,4,0.3705949102403104,0.018704745034943,-0.3780543610823626,-0.39180272971900354
mlp_vbll,rf,4,0.3686118515218649,0.029588312805858885,-0.3755101090209301,-0.35679598133749235
mlp_bnn_full,mlp_vbll,4,0.3116956141720954,0.017668906217436484,-0.39180272971900354,-0.3755101090209301
qrf,svm,7,0.24084049352707726,0.022091519765592125,-0.37071299312638933,-0.3644839528207724
dnn_vbll,gauche,3,0.21616970798782933,0.011441594600257232,-0.37176084348432276,-0.3767007400083364
ngboost,rf,7,0.18870426288208567,0.041331522521142264,-0.3120177649340715,-0.3533492874552138
rf,svm,8,0.14889439223905218,0.02734139763314304,-0.3467851700321495,-0.36438395785243227
mlp_vbll,ngboost,3,0.11035381439778724,0.04420988722324191,-0.37729660161299466,-0.33308671438975274
dnn,mlp_bnn_full,6,0.08084718601030942,0.04638309144122734,-0.4532843731746916,-0.40690128173346424
dnn_bnn_full,qrf,5,-0.0507370274504395,0.03812379883457848,-0.3940513758286082,-0.3772755601216417
