model_a,model_b,n_shared_points,spearman_rho,p_value,excluded_from_anova
dnn_bnn_full,gauche_rbf,6,1.0,0.0,yes
gauche_rbf,qrf,6,1.0,0.0,yes
gauche_rbf,xgboost,6,1.0,0.0,yes
dnn_vbll,gauche_rbf,6,1.0,0.0,yes
gauche_rbf,rf,6,1.0,0.0,yes
gauche_rbf,svm,6,1.0,0.0,yes
gauche_rbf,mlp_bnn_full,6,1.0,0.0,yes
gauche_rbf,mlp_vbll,6,1.0,0.0,yes
dnn,gauche_rbf,6,1.0,0.0,yes
gauche_rbf,mlp,6,1.0,0.0,yes
gauche_rbf,lgb,6,1.0,0.0,yes
gauche_rbf,ngboost,6,1.0,0.0,yes
mlp_vbll,ngboost,18,0.9979360165118679,1.6451231715312417e-20,no
lgb,xgboost,46,0.9979031760715386,5.829335725737744e-54,no
gauche,mlp_vbll,18,0.9958720330237358,4.184524393267239e-18,yes
qrf,rf,40,0.9953095684803004,3.6674931363847222e-40,yes
dnn_vbll,lgb,24,0.9921739130434782,2.2413639233727306e-21,no
rf,xgboost,46,0.9893925377736663,1.6499772206500946e-38,no
ngboost,xgboost,40,0.9876172607879926,3.516975934627998e-32,no
ngboost,rf,40,0.9870544090056286,8.144515485626819e-32,no
lgb,rf,46,0.9863089731729879,4.386235986508511e-36,no
mlp_vbll,svm,24,0.9860869565217389,1.221776007865488e-18,no
qrf,xgboost,40,0.9859287054409007,3.932699177167299e-31,yes
ngboost,qrf,34,0.9856378915202444,2.715020845744823e-26,yes
dnn_vbll,ngboost,18,0.9855521155830752,9.124170334062525e-14,no
dnn_vbll,xgboost,24,0.9843478260869565,4.42777423668339e-18,no
lgb,ngboost,40,0.9840525328330206,4.1732252013708385e-30,no
lgb,qrf,40,0.9836772983114449,6.471044880747539e-30,yes
dnn_vbll,mlp_vbll,24,0.983478260869565,7.993456335867345e-18,no
dnn,mlp,52,0.9831810808503373,1.3689066286052517e-38,no
lgb,svm,46,0.9822386679000925,1.2914511176538903e-33,no
mlp_bnn_full,svm,34,0.9810542398777692,2.20961853016541e-24,no
dnn_vbll,svm,24,0.9791304347826085,1.0233972500598714e-16,no
dnn_bnn_full,mlp_vbll,24,0.9791304347826085,1.0233972500598714e-16,no
dnn_vbll,qrf,24,0.9782608695652173,1.597032784702907e-16,yes
svm,xgboost,46,0.9777983348751156,1.6732108813035229e-31,no
dnn_bnn_full,mlp_bnn_full,36,0.976833976833977,2.3800078952930452e-24,no
dnn_bnn_full,svm,34,0.975553857906799,1.2544772589835881e-22,no
dnn_vbll,gauche,18,0.9752321981424149,6.588737187082592e-12,yes
dnn_vbll,rf,24,0.9747826086956521,8.041882700877999e-16,no
qrf,svm,40,0.9744840525328332,2.903245005877997e-26,yes
dnn_bnn_full,dnn_vbll,24,0.9739130434782608,1.162956360022737e-15,no
lgb,mlp_vbll,24,0.9730434782608696,1.6613358922833593e-15,no
dnn_vbll,mlp_bnn_full,24,0.9721739130434782,2.3462652955959657e-15,no
gauche,svm,40,0.9720450281425893,1.6107032810690023e-25,yes
gauche,xgboost,44,0.9701198026779421,1.852200221180889e-27,yes
ngboost,svm,40,0.9699812382739215,6.123370770304399e-25,no
dnn,mlp_bnn_full,36,0.9696267696267697,2.251709373630677e-22,no
gauche,lgb,42,0.9685600842719391,8.790037300892315e-26,yes
rf,svm,46,0.9685476410730804,3.240303567468407e-28,no
mlp_bnn_full,mlp_vbll,24,0.9678260869565216,1.135478996180185e-14,no
mlp_vbll,qrf,24,0.9660869565217389,2.0098298746764903e-14,yes
dnn,dnn_bnn_full,36,0.9652509652509653,2.145954026068987e-21,no
mlp_vbll,xgboost,24,0.9652173913043477,2.6445499220283633e-14,no
mlp,svm,46,0.9617637989515879,2.2211988930181845e-26,no
dnn,svm,46,0.9596669750231267,7.036660811807648e-26,no
gauche,ngboost,34,0.9593582887700535,3.804229356613289e-19,yes
lgb,mlp_bnn_full,36,0.9590733590733591,3.304272319422919e-20,no
dnn_bnn_full,mlp,36,0.9577863577863578,5.538174444755113e-20,no
dnn_bnn_full,qrf,28,0.9562123700054733,2.159030790324638e-15,yes
gauche,qrf,34,0.9556913674560734,1.4759430696819498e-18,yes
mlp_vbll,rf,24,0.954782608695652,4.514354728610979e-13,no
gauche,rf,40,0.9538461538461541,1.8858629531206802e-21,yes
mlp_bnn_full,xgboost,34,0.9529411764705882,3.7923324230380835e-18,no
mlp_bnn_full,qrf,28,0.9523809523809524,6.286076091915066e-15,yes
dnn,mlp_vbll,24,0.9521739130434782,8.265140116690649e-13,no
mlp,mlp_bnn_full,36,0.9516087516087516,5.382852859563301e-19,no
dnn_bnn_full,lgb,36,0.9513513513513513,5.879173784756472e-19,no
mlp,mlp_vbll,24,0.9504347826086955,1.2143629807472531e-12,no
dnn_bnn_full,gauche,30,0.950166852057842,1.0505097466160646e-15,yes
gauche,mlp_bnn_full,30,0.9492769744160177,1.33849880230039e-15,yes
dnn_bnn_full,xgboost,34,0.9468296409472878,2.559753636231469e-17,no
mlp,ngboost,40,0.9452157598499064,4.541709907148798e-20,no
dnn_bnn_full,rf,34,0.9394957983193276,1.9186021970668072e-16,no
