rep_a,rep_b,n_shared_points,spearman_rho,p_value,excluded_from_anova
ecfp4,morgan,60,0.9949986107252016,9.827051438530256e-60,yes
mhggnn,morgan,48,0.9942466348241424,2.777925140713346e-46,yes
randomized_smiles,smiles,16,0.9941176470588234,6.4339974884469385e-15,yes
randomized_smiles,sns,16,0.9941176470588234,6.4339974884469385e-15,yes
ecfp4,mhggnn,54,0.9926815323041737,2.0194408383465964e-49,no
ecfp4,sns,56,0.992071086807929,2.494967411861017e-50,yes
morgan,sns,52,0.9920601041577733,1.0753323219906365e-46,yes
mhggnn,sns,44,0.9914023960535588,9.898616665381484e-39,yes
continuous_pdv,ecfp4,72,0.9899672004630524,3.1008324298368384e-61,no
continuous_pdv,mhggnn,48,0.9893617021276596,3.640208102103085e-40,no
smiles,sns,52,0.9883035942969349,1.6541418750511045e-42,yes
morgan,randomized_smiles,16,0.988235294117647,8.108881053980581e-13,yes
morgan,smiles,54,0.9879550219172858,8.062005270131607e-44,yes
continuous_pdv,morgan,54,0.9864303411473221,1.7549333640937382e-42,yes
continuous_pdv,randomized_smiles,12,0.9860139860139862,4.1168959116543284e-09,yes
continuous_pdv,sns,50,0.984249699879952,8.768319121771128e-38,yes
ecfp4,smiles,72,0.983568075117371,8.801909503606788e-54,no
mol2vec,morgan,48,0.9824142422926617,3.5461452440207093e-35,yes
mhggnn,mol2vec,54,0.9819325328759289,2.838640219904019e-39,no
ecfp4,mol2vec,54,0.9817800647989327,3.525290805716898e-39,no
continuous_pdv,pdv,72,0.9800308701524215,7.628530595739711e-51,yes
mhggnn,smiles,48,0.9800260529743812,6.466837828234226e-34,no
continuous_pdv,mol2vec,48,0.9794832826747719,1.191228852195208e-33,no
ecfp4,randomized_smiles,16,0.9794117647058824,3.982009789755264e-11,yes
continuous_pdv,smiles,66,0.9784991128274713,1.3416926599814461e-45,no
mhggnn,pdv,54,0.9724032780636553,1.5336487431998442e-34,yes
mol2vec,sns,44,0.9687103594080338,4.8097378257259215e-27,yes
mol2vec,smiles,48,0.9663482414242293,9.073964057655154e-29,no
ecfp4,pdv,78,0.9649211547945724,6.8239754436415614e-46,yes
morgan,pdv,60,0.9619894415115313,2.187907939779997e-34,yes
pdv,sns,56,0.9609706083390294,8.216360449521422e-32,yes
mol2vec,pdv,54,0.9563941299790355,1.8471434408416327e-29,yes
mhggnn,randomized_smiles,16,0.9558823529411766,7.760274461610307e-09,yes
pdv,smiles,72,0.940767895041482,1.3248121169479811e-34,yes
pdv,randomized_smiles,16,0.9294117647058824,1.940118948103668e-07,yes
mol2vec,randomized_smiles,16,0.8911764705882352,3.618648907351989e-06,yes
