Model,Rep,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,Heteroscedastic,Ext. Mean
XGBoost,R-SMILES,-0.25436221200107323,-0.0868880318528818,-0.22297905716631145,-0.5041623487165481,,,
NGBoost,MORGAN,-0.2615023221277839,-0.10237999555414612,-0.23778851961983766,-0.5059115834944314,-0.4704247574570367,-0.14881227491682644,
NGBoost,Mol2Vec,-0.26878878274015405,-0.09439986923775893,-0.23276165128357304,-0.535611730317073,-0.47468101340637725,-0.14658808605355922,
RF,SMILES,-0.2761352623281092,-0.08948364655056049,-0.24283050724136077,-0.5537864136320431,-0.4925376215665979,-0.15024463710552474,
NGBoost,SNS,-0.28381612227600744,-0.09562385034754861,-0.25616209958107916,-0.5507525475584892,,,-0.1968359695761284
NGBoost,MHG-GNN,-0.283929776847601,-0.10341301248592784,-0.250847386660687,-0.5591290803751433,-0.49542772819773856,-0.15725576779511197,-0.18522067185844218
RF,Mol2Vec,-0.2857245960005614,-0.0864650926441176,-0.24005386309025661,-0.5624445284045382,-0.502498165343349,-0.1558433337144415,
NGBoost,ECFP4,-0.2859652579392426,-0.09852693720144907,-0.2513429216142668,-0.5648445738870146,-0.5019441047610721,-0.14870385998151678,-0.19162476923118174
XGBoost,SMILES,-0.29407655361926915,-0.10329485529600974,-0.25983620972344373,-0.5834440155462786,-0.515327334765232,-0.1597210768497351,
LightGBM,SMILES,-0.30300167204368694,-0.09453562121425246,-0.26812739898356375,-0.5975785533397506,-0.536762294591657,-0.16447846911958128,
RF,MORGAN,-0.3065630584829781,-0.09890888532619826,-0.2670550728156316,-0.6067435773226518,-0.5395833072701386,-0.1634918762354221,
NGBoost,PDV,-0.3100698229232225,-0.10079719535979946,-0.2698170150719286,-0.6107296493936397,-0.5429600843790542,-0.1706720348614133,
RF,ECFP4,-0.3213524771308486,-0.10392262592978121,-0.2792385352353689,-0.6345488052950062,-0.5663614156802314,-0.17637146312824692,-0.3410963070369191
VBLL-β,ECFP4,-0.3266662196679549,-0.10811138044704086,-0.2858373386841832,-0.6462118593129246,-0.5721827857422105,-0.18859977318783006,
LightGBM,Mol2Vec,-0.32686325875376565,-0.10919527517906456,-0.28688592491369497,-0.6331702158799022,-0.5678666351353523,-0.17973928807011647,
