model,strategy,auc_norm_mean,auc_norm_std,n
dnn,hetero,0.886888234360839,0.02577371183607691,8
dnn,legacy,0.7804026130280529,0.04104294640610526,9
dnn,outlier,0.9224804350620384,0.023400939997230582,9
dnn,quantile,0.8134595735770243,0.02557559471076352,9
dnn,threshold,0.5114699029507377,0.0629038395699406,9
dnn,valprop,0.5921065283215828,0.04525104849840736,8
dnn_bnn_full,hetero,0.9054492194942854,0.010012238278150632,6
dnn_bnn_full,legacy,0.8420247265696387,0.0446733913118395,6
dnn_bnn_full,outlier,0.9428747869075146,0.0025353232736007704,6
dnn_bnn_full,quantile,0.8396636444453015,0.013391209546821726,6
dnn_bnn_full,threshold,0.5842100461573224,0.034708552342689665,6
dnn_bnn_full,valprop,0.6517374159021042,0.029006841939932537,6
dnn_vbll,hetero,0.9033260830003906,0.007306638742077238,4
dnn_vbll,legacy,0.8145073099473749,0.012733977578983046,4
dnn_vbll,outlier,0.9364102289389356,0.010562268794801155,4
dnn_vbll,quantile,0.8308225681631572,0.01731764252269181,4
dnn_vbll,threshold,0.5752862151373567,0.024491590653571493,4
dnn_vbll,valprop,0.6398058915629428,0.020299423556870495,4
lgb,hetero,0.920420064361958,0.005202840999737475,8
lgb,legacy,0.8448951333142752,0.0025571751017132312,8
lgb,outlier,0.9526860598284488,0.0021218893000522774,8
lgb,quantile,0.8655706221469618,0.0029315647071608375,8
lgb,threshold,0.6265719141784232,0.0061469270063225995,8
lgb,valprop,0.6884134630030282,0.004708186812225325,8
mlp,hetero,0.8802434370992334,0.026149294709437634,8
mlp,legacy,0.7687432896595775,0.04773002560812291,9
mlp,outlier,0.9341466670476086,0.010183236478266876,9
mlp,quantile,0.801450549194511,0.04070308146034984,9
mlp,threshold,0.4667397820427358,0.10946530106979117,9
mlp,valprop,0.5623291356546212,0.07835889652193599,8
mlp_bnn_full,hetero,0.904567813119416,0.009524450019163112,6
mlp_bnn_full,legacy,0.8157080483366373,0.017597073814985768,6
mlp_bnn_full,outlier,0.9432273327165661,0.0027028024766217215,6
mlp_bnn_full,quantile,0.8359386740481128,0.014571574574183465,6
mlp_bnn_full,threshold,0.5749234567585924,0.041474620425754054,6
mlp_bnn_full,valprop,0.640395654400343,0.03372955999185923,6
mlp_vbll,hetero,0.9060509968531086,0.006915690548431197,4
mlp_vbll,legacy,0.8252531619248408,0.011203453112645758,4
mlp_vbll,outlier,0.9455342092680007,0.00484267974043145,4
mlp_vbll,quantile,0.847155006222961,0.01313762057359747,4
mlp_vbll,threshold,0.5990677085789817,0.018884034372492347,4
mlp_vbll,valprop,0.6593924662432791,0.017637116544281652,4
ngboost,hetero,0.9221758710208221,0.003312080298225516,7
ngboost,legacy,0.8513232308275505,0.0032183021668085515,9
ngboost,outlier,0.9504935933706538,0.004255830292970718,9
ngboost,quantile,0.8691849760370213,0.004436186948787084,9
ngboost,threshold,0.6463251686967789,0.0027013510607325274,9
ngboost,valprop,0.7022450512718017,0.0035684382672956515,7
rf,hetero,0.919678374779332,0.004753690948622869,7
rf,legacy,0.8434012145383618,0.003474070452002692,9
rf,outlier,0.9529460265547911,0.0021137283992562787,9
rf,quantile,0.8682666063342027,0.004335182974889992,9
rf,threshold,0.6245090061312101,0.008821181673047514,9
rf,valprop,0.6843007775297835,0.008396985191564713,7
svm,hetero,0.9171145467374665,0.0033090732976455545,7
svm,legacy,0.8404355355486881,0.005017790281459385,8
svm,outlier,0.9563855980935466,0.001242681414699136,8
svm,quantile,0.8705072572839803,0.0020523808023328086,8
svm,threshold,0.6212061742709595,0.009737368482839024,8
svm,valprop,0.6830259919427176,0.01027200072496357,7
xgboost,hetero,0.9200117165500716,0.0021088955367544624,7
xgboost,legacy,0.8449777323671946,0.0031825608195537375,9
xgboost,outlier,0.9495464660453786,0.0028296725679298304,9
xgboost,quantile,0.8643218764770323,0.0035060546979558734,9
xgboost,threshold,0.6276194606157873,0.004961107659205789,9
xgboost,valprop,0.6874500398693069,0.004544431226407108,7
