model,rep,strategy,baseline
dnn_bnn_full,mhggnn,hetero,-0.02165632777743863
dnn_bnn_full,mhggnn,legacy,-0.02274485826492306
dnn_bnn_full,mhggnn,outlier,-0.02274485826492306
dnn_bnn_full,mhggnn,quantile,-0.02274485826492306
dnn_bnn_full,mhggnn,threshold,-0.022733940018547866
dnn_bnn_full,mhggnn,valprop,-0.0226544022560119
dnn_bnn_full,mol2vec,hetero,-0.020695010821024516
dnn_bnn_full,mol2vec,legacy,-0.02063409090042108
dnn_bnn_full,mol2vec,outlier,-0.020780973964267244
dnn_bnn_full,mol2vec,quantile,-0.02096527814865106
dnn_bnn_full,mol2vec,threshold,-0.021260336041450438
dnn_bnn_full,mol2vec,valprop,-0.021260336041450438
dnn_vbll,mhggnn,hetero,-0.039930760860443094
dnn_vbll,mhggnn,legacy,-0.023563921451568548
dnn_vbll,mhggnn,outlier,-0.04120130538940428
dnn_vbll,mhggnn,quantile,-0.014864706993103
dnn_vbll,mhggnn,threshold,-0.0409167607625325
dnn_vbll,mhggnn,valprop,-0.048231621583302776
dnn_vbll,mol2vec,hetero,-0.08567227636064799
dnn_vbll,mol2vec,legacy,-0.031041344006856264
dnn_vbll,mol2vec,outlier,-0.12585296630859372
dnn_vbll,mol2vec,quantile,-0.06826755404472347
dnn_vbll,mol2vec,threshold,-0.052373409271240234
dnn_vbll,mol2vec,valprop,-0.1847281058629354
mlp_bnn_full,mhggnn,hetero,-0.021990511152479332
mlp_bnn_full,mhggnn,legacy,-0.021657741069793658
mlp_bnn_full,mhggnn,outlier,-0.0218774557113647
mlp_bnn_full,mhggnn,quantile,-0.021657741069793658
mlp_bnn_full,mhggnn,threshold,-0.0218774557113647
mlp_bnn_full,mhggnn,valprop,-0.0218774557113647
mlp_bnn_full,mol2vec,hetero,-0.01838874220848081
mlp_bnn_full,mol2vec,legacy,-0.01838874220848081
mlp_bnn_full,mol2vec,outlier,-0.01171125173568726
mlp_bnn_full,mol2vec,quantile,-0.01838874220848081
mlp_bnn_full,mol2vec,threshold,-0.018057651817798587
mlp_bnn_full,mol2vec,valprop,-0.01838874220848081
mlp_vbll,mhggnn,hetero,-0.1524114608764648
mlp_vbll,mhggnn,legacy,-0.06587195396423334
mlp_vbll,mhggnn,outlier,-0.11157083511352535
mlp_vbll,mhggnn,quantile,-0.0637821197509765
mlp_vbll,mhggnn,threshold,-0.12939298152923578
mlp_vbll,mhggnn,valprop,-0.18993463516235348
mlp_vbll,mol2vec,hetero,-0.0782250960667928
mlp_vbll,mol2vec,legacy,-0.0360107421875
mlp_vbll,mol2vec,outlier,0.022987812757492097
mlp_vbll,mol2vec,quantile,0.0716199278831482
mlp_vbll,mol2vec,threshold,-0.0480139851570129
mlp_vbll,mol2vec,valprop,-0.08864676952362056
