model,rep,strategy,sigma,iteration,r2
xgboost,pdv,quantile,0.1,4,-3.389200210571289
dnn_bnn_full,mhggnn,threshold,0.0,0,-36.713287353515625
dnn,mol2vec,valprop,0.1,3,-62.77265167236328
dnn,mol2vec,valprop,0.5,0,-2993799936.0
dnn,mol2vec,threshold,0.7,9,-24.806476593017575
dnn_bnn_full,mol2vec,threshold,0.2,1,-245.51666259765625
dnn_bnn_full,mol2vec,threshold,0.3,4,-1220.81494140625
mlp_bnn_full,mol2vec,threshold,0.7,6,-4137.1337890625
mlp_bnn_full,mol2vec,threshold,0.8,8,-1168.3466796875
dnn_bnn_full,mol2vec,outlier,0.2,1,-227.3382110595703
mlp_bnn_full,mol2vec,outlier,0.1,7,-11.590824127197266
dnn_bnn_full,mol2vec,hetero,0.4,1,-245.24267578125
dnn_vbll,mhggnn,outlier,0.0,5,-0.577786922454834
dnn_vbll,mhggnn,outlier,0.0,8,-3.5442185401916504
dnn_vbll,mhggnn,outlier,0.1,6,-11.887721061706545
dnn_vbll,mhggnn,outlier,0.8,2,-82.54138946533203
dnn_vbll,mhggnn,outlier,1.0,1,-0.7116804122924805
dnn_vbll,mol2vec,legacy,0.0,3,-0.5268568992614746
dnn_vbll,mol2vec,legacy,0.2,0,-1.227940797805786
dnn_vbll,mol2vec,legacy,0.3,4,-0.6483322381973267
dnn_vbll,mol2vec,legacy,0.5,8,-0.9695978164672852
dnn_vbll,mol2vec,legacy,0.7,4,-5.716475963592529
dnn_vbll,mol2vec,legacy,0.7,8,-0.8513891696929932
dnn_vbll,mol2vec,legacy,0.8,8,-0.5478211641311646
dnn_vbll,mhggnn,valprop,0.0,5,-0.577786922454834
dnn_vbll,mhggnn,valprop,0.0,8,-3.5442185401916504
dnn_vbll,mhggnn,valprop,0.3,9,-3.3229384422302246
dnn_vbll,mhggnn,valprop,0.5,7,-0.550559401512146
dnn_vbll,mhggnn,hetero,0.0,5,-0.577786922454834
dnn_vbll,mhggnn,hetero,0.0,8,-3.5442185401916504
dnn_vbll,mhggnn,hetero,0.2,9,-0.8776865005493164
dnn_vbll,mhggnn,hetero,0.6,9,-1.2343871593475342
dnn_vbll,mhggnn,hetero,0.8,8,-1.3482506275177002
dnn_vbll,mhggnn,hetero,0.9,1,-0.5652662515640259
dnn_vbll,mhggnn,hetero,0.9,5,-0.9727561473846436
dnn_vbll,mhggnn,hetero,0.9,8,-0.506460428237915
mlp_vbll,mhggnn,valprop,0.0,2,-4.089725017547607
mlp_vbll,mhggnn,valprop,0.1,6,-40.232177734375
mlp_vbll,mhggnn,valprop,0.8,1,-4.218639850616455
mlp_vbll,mhggnn,valprop,1.0,8,-0.6934647560119629
mlp_vbll,mhggnn,valprop,1.0,9,-0.6345107555389404
mlp_vbll,mhggnn,hetero,0.0,2,-4.089725017547607
mlp_vbll,mhggnn,hetero,0.3,3,-8.729628562927246
mlp_vbll,mhggnn,hetero,0.3,8,-0.7848329544067383
mlp_vbll,mhggnn,hetero,0.4,0,-0.6056301593780518
