Strategy,Analysis,Type,Within,eta2,F,p,n
Gaussian,Performance,Model effect,continuous_pdv,81.63129186664119,43.55160169594365,1.152757334496134e-31,109
Gaussian,Performance,Model effect,ecfp4,57.17826978323324,12.95205060817923,4.3746370093318156e-14,108
Gaussian,Performance,Model effect,mhggnn,95.52551066176875,172.92624428650313,2.695418244059507e-50,92
Gaussian,Performance,Model effect,mol2vec,99.19669813048577,1021.914804688906,2.797124991013343e-76,88
Gaussian,Performance,Model effect,smiles,94.51086927068528,168.73464388565256,4.038595897885462e-57,109
Gaussian,Performance,Rep effect,dnn,57.59447887637082,14.940018442246169,8.691332535878371e-08,49
Gaussian,Performance,Rep effect,dnn_bnn_full,99.87943829938037,9112.958888659241,1.4055061763124748e-63,49
Gaussian,Performance,Rep effect,dnn_vbll,98.36639830170863,496.76906362052165,5.665114238161681e-29,38
Gaussian,Performance,Rep effect,lgb,91.88998043839335,116.13687147592496,8.559230913888273e-22,46
Gaussian,Performance,Rep effect,mlp,65.59239851110952,21.44626336387438,5.918791877434676e-10,50
Gaussian,Performance,Rep effect,mlp_bnn_full,99.79815410245133,5191.48831262732,5.584747978834152e-56,47
Gaussian,Performance,Rep effect,mlp_vbll,98.4586158281771,416.97960406281493,2.4929568922132983e-23,33
Gaussian,Performance,Rep effect,ngboost,98.15813571457186,586.2209834908138,1.5476619173897065e-37,49
Gaussian,Performance,Rep effect,rf,96.2034667804497,253.39819571456752,7.833745735719476e-28,45
Gaussian,Performance,Rep effect,svm,76.9595585892584,37.57718954661698,8.29604633966313e-14,50
Gaussian,Performance,Rep effect,xgboost,92.97872087226368,148.97721494661522,2.4277844279545346e-25,50
Gaussian,Robustness,Model effect,continuous_pdv,58.921737264030824,13.626586586831417,1.4730375770004453e-14,106
Gaussian,Robustness,Model effect,ecfp4,58.942164462370705,13.350974846145,3.240131779159301e-14,104
Gaussian,Robustness,Model effect,mhggnn,60.72292033182832,15.717810368180839,8.221187065751192e-11,68
Gaussian,Robustness,Model effect,mol2vec,30.815809372302645,3.71180769921514,0.003958204885962486,57
Gaussian,Robustness,Model effect,smiles,87.79902616373471,69.56198177067526,6.464211902592442e-36,97
Gaussian,Robustness,Rep effect,dnn,48.36336776524456,9.36609644590497,1.93834651773209e-05,45
Gaussian,Robustness,Rep effect,dnn_bnn_full,10.10616243151551,1.5177146344599934,0.23733070623077973,30
Gaussian,Robustness,Rep effect,dnn_vbll,7.4217756357801745,1.0020952128253149,0.3813823455052832,28
Gaussian,Robustness,Rep effect,lgb,5.022796494521636,0.5156212650413529,0.7246384629591134,44
Gaussian,Robustness,Rep effect,mlp,49.13783170865586,9.902503018130988,1.0601569543407989e-05,46
Gaussian,Robustness,Rep effect,mlp_bnn_full,33.9346912844308,6.420671443186896,0.005619120677879938,28
Gaussian,Robustness,Rep effect,mlp_vbll,11.463887271823934,1.683273976476319,0.20538364102463794,29
Gaussian,Robustness,Rep effect,ngboost,0.5865210966301994,0.06686456573563651,0.9771183963406868,38
Gaussian,Robustness,Rep effect,rf,14.27082640745552,1.706256628247015,0.16712221893925666,46
Gaussian,Robustness,Rep effect,svm,12.907264890289627,1.6672657005528504,0.17422809899357491,50
Gaussian,Robustness,Rep effect,xgboost,1.9381106174850387,0.21246469213635003,0.9301039868034675,48
Quantile,Performance,Model effect,continuous_pdv,77.2909521727287,33.3546054882634,3.041826042219713e-27,109
Quantile,Performance,Model effect,ecfp4,59.98170903591253,14.389030437644319,2.9989257828129876e-15,107
Quantile,Performance,Model effect,mhggnn,95.28111763079133,179.70398085092472,1.6272372551738272e-54,100
Quantile,Performance,Model effect,mol2vec,98.89750886462404,773.459027397757,6.688193149329614e-74,91
Quantile,Performance,Model effect,smiles,94.94292146847359,178.35549682046346,5.784024346238605e-57,106
Quantile,Performance,Rep effect,dnn,58.32686312056595,15.74580795308919,3.951009056062486e-08,50
Quantile,Performance,Rep effect,dnn_bnn_full,99.79510856326308,5114.165123746084,7.648432317995406e-56,47
Quantile,Performance,Rep effect,dnn_vbll,97.14874544838678,289.61438600565083,9.528600257785597e-26,39
Quantile,Performance,Rep effect,lgb,93.22098144591368,144.3896778527137,5.8596651186274306e-24,47
Quantile,Performance,Rep effect,mlp,25.21572738241363,3.7932699366182425,0.009662451859985738,50
Quantile,Performance,Rep effect,mlp_bnn_full,99.77543712897139,4998.482886149071,5.959873142174218e-59,50
Quantile,Performance,Rep effect,mlp_vbll,99.21220418184258,1159.04844372324,6.66041301947135e-32,36
