Strategy,Analysis,Type,Within,eta2,F,p,n
Gaussian,Performance,Model effect,continuous_pdv,81.72434347680519,43.49802571783226,1.9056507033412747e-34,119
Gaussian,Performance,Model effect,ecfp4,59.25999401147438,13.818602365143626,2.9659044866700907e-17,127
Gaussian,Performance,Model effect,mhggnn,95.92812258982053,192.39601840460924,1.956804068285651e-62,111
Gaussian,Performance,Model effect,mol2vec,99.23240431627988,1078.0029391122782,1.520633268113108e-94,108
Gaussian,Performance,Model effect,morgan,88.1167487331957,70.85640697063297,5.797797676382549e-36,96
Gaussian,Performance,Model effect,pdv,17.686788136557873,2.0054701491712286,0.02995020753467372,125
Gaussian,Performance,Model effect,randomized_smiles,93.63987811264712,147.2296911460939,5.549699415103303e-34,67
Gaussian,Performance,Model effect,smiles,94.62786609586556,168.8063625370144,4.9505133556619937e-67,128
Gaussian,Performance,Model effect,sns,86.75196690540454,64.17324516042997,1.6235484129541973e-38,109
Gaussian,Performance,Rep effect,dnn,62.758087104057736,16.64082379130674,3.49724194910636e-14,88
Gaussian,Performance,Rep effect,dnn_bnn_full,99.83571660060561,6163.857181965389,3.613331005159107e-96,79
Gaussian,Performance,Rep effect,dnn_vbll,98.49967191411474,551.477541387472,3.870832984829825e-37,48
Gaussian,Performance,Rep effect,gauche,89.23223200357006,85.23746460451187,2.863664296585834e-32,80
Gaussian,Performance,Rep effect,lgb,90.75428461157249,92.54916671782304,1.272255555217607e-31,74
Gaussian,Performance,Rep effect,mlp,24.944197886913695,3.3234203332249184,0.0024882835008906484,89
Gaussian,Performance,Rep effect,mlp_bnn_full,99.76282963509453,4146.287264590298,6.510168000230196e-88,77
Gaussian,Performance,Rep effect,mlp_vbll,98.4339883596477,405.5009986434391,5.312528248040275e-30,43
Gaussian,Performance,Rep effect,ngboost,98.48048734149646,648.1057383127156,2.18808512579249e-69,89
Gaussian,Performance,Rep effect,qrf,96.46944144082879,265.434406807782,8.916907089561686e-47,76
Gaussian,Performance,Rep effect,rf,97.57432466988199,367.0588976016606,9.844665875331164e-56,82
Gaussian,Performance,Rep effect,svm,73.66429720162888,28.37085642883649,3.2674642245895733e-18,79
Gaussian,Performance,Rep effect,xgboost,96.31250384841768,251.39222156021282,6.537716260388406e-52,86
Gaussian,Robustness,Model effect,continuous_pdv,59.081576059191875,13.651294272376205,8.329079394819607e-16,116
Gaussian,Robustness,Model effect,ecfp4,57.36861514936803,12.44762965104069,1.06761933420145e-15,124
Gaussian,Robustness,Model effect,mhggnn,60.94391407453485,15.019046560037761,5.012365437046428e-13,86
Gaussian,Robustness,Model effect,mol2vec,30.555634193420357,3.6300134527520322,0.0014868608409081296,75
Gaussian,Robustness,Model effect,morgan,66.3180235309017,18.814381595615995,6.311934098100711e-17,96
Gaussian,Robustness,Model effect,pdv,28.11288924947578,3.715164583493448,9.690434506114629e-05,127
Gaussian,Robustness,Model effect,randomized_smiles,78.83063866652222,30.72141661497939,1.0483947000400916e-10,38
Gaussian,Robustness,Model effect,smiles,86.51528718833168,61.241774509916326,1.4469224389232132e-40,117
Gaussian,Robustness,Model effect,sns,74.7077325525707,28.65164253328314,9.999491891722804e-25,108
Gaussian,Robustness,Rep effect,dnn,51.9673376420569,10.278208272540182,1.272129761908802e-09,85
Gaussian,Robustness,Rep effect,dnn_bnn_full,36.39469772000443,6.065277296125397,0.00016444235705006144,59
Gaussian,Robustness,Rep effect,dnn_vbll,18.183685474243006,2.518834659109572,0.07445759822203907,38
Gaussian,Robustness,Rep effect,gauche,12.394885264968863,1.3744340980989291,0.23034671918508814,76
Gaussian,Robustness,Rep effect,lgb,7.556769995932236,0.7590605293864824,0.6233586097818877,73
Gaussian,Robustness,Rep effect,mlp,48.094038966336555,8.686509339784465,2.601574779462755e-08,84
Gaussian,Robustness,Rep effect,mlp_bnn_full,47.650226259062975,9.28432489981076,2.4741508907918046e-06,57
Gaussian,Robustness,Rep effect,mlp_vbll,20.515658308459482,3.0112767098315647,0.04305738369963767,39
Gaussian,Robustness,Rep effect,ngboost,1.6742398495434303,0.17311270662247938,0.983098635495373,68
Gaussian,Robustness,Rep effect,qrf,21.32010991380861,2.400044776749527,0.03067744450500542,70
Gaussian,Robustness,Rep effect,rf,9.69631691081741,1.0277277907498787,0.42023592083582506,75
Gaussian,Robustness,Rep effect,svm,13.123695414100508,1.532198778551554,0.17049436379274,79
Gaussian,Robustness,Rep effect,xgboost,2.802563321429143,0.27031609100234333,0.973659526556553,84
Quantile,Performance,Model effect,continuous_pdv,77.41624302528017,32.72144797275652,5.080357936671918e-29,117
Quantile,Performance,Model effect,ecfp4,61.61120482557646,15.113060364049087,1.872997520755044e-18,126
Quantile,Performance,Model effect,mhggnn,95.69478275180818,194.49177609561832,6.801255533276025e-66,118
Quantile,Performance,Model effect,mol2vec,98.96555926359282,825.3746464022312,2.3445272848054397e-91,111
Quantile,Performance,Model effect,morgan,88.7555689873956,78.05588019550494,2.332966537225771e-38,99
Quantile,Performance,Model effect,pdv,83.33872135562221,47.10160463566352,2.6985607482140827e-38,126
Quantile,Performance,Model effect,randomized_smiles,95.44409551599063,212.98697279944477,5.7082610801280474e-39,68
Quantile,Performance,Model effect,smiles,95.22773391411842,186.2411205083184,4.77269775492066e-68,125
Quantile,Performance,Model effect,sns,86.02335971144107,58.47055518254009,3.68273222701167e-36,106
Quantile,Performance,Rep effect,dnn,68.08421276806864,21.599111726970246,3.411378021124383e-17,90
Quantile,Performance,Rep effect,dnn_bnn_full,99.7506727886373,3943.6394703963424,3.651178074702526e-87,77
Quantile,Performance,Rep effect,dnn_vbll,97.46437749336158,330.56720558697606,3.833637760957878e-33,49
Quantile,Performance,Rep effect,gauche,94.22630407698759,167.86212070362046,5.890053427345176e-42,80
Quantile,Performance,Rep effect,lgb,92.28858374133719,114.54881407111132,9.563683580060345e-35,75
Quantile,Performance,Rep effect,mlp,37.78332257009612,6.148771628848684,3.503041390388427e-06,90
Quantile,Performance,Rep effect,mlp_bnn_full,99.72671723665898,3753.476829669657,1.3667823544756708e-89,80
Quantile,Performance,Rep effect,mlp_vbll,99.22449578476926,1132.8241315027685,1.4421049251895901e-40,46
Quantile,Performance,Rep effect,ngboost,98.47364936321755,620.9640513001457,1.2448339815315925e-66,86
Quantile,Performance,Rep effect,qrf,97.05894658561549,306.44178118575053,3.23436146397499e-47,73
Quantile,Performance,Rep effect,rf,97.56913518566009,376.2902144823613,2.7936539986373713e-57,84
Quantile,Performance,Rep effect,svm,75.15187140925416,31.108607416021407,2.242289040580778e-19,80
Quantile,Performance,Rep effect,xgboost,96.79983721401992,291.14094985002527,2.8300129612171786e-54,86
Quantile,Robustness,Model effect,continuous_pdv,56.06442193287976,12.528586450537965,6.0672617286202306e-15,120
Quantile,Robustness,Model effect,ecfp4,56.566052473464026,11.504061346108637,1.820965715866731e-14,119
Quantile,Robustness,Model effect,mhggnn,61.71683628112456,15.718114577982904,1.5445392375596893e-13,87
Quantile,Robustness,Model effect,mol2vec,54.01164007091791,11.010593255460824,3.865512589776933e-10,84
Quantile,Robustness,Model effect,morgan,77.56260004024838,34.56844383902795,1.6277604606485454e-25,100
Quantile,Robustness,Model effect,pdv,35.76199370378621,5.149575163255336,8.466337317392958e-07,124
Quantile,Robustness,Model effect,randomized_smiles,88.19187657591343,59.74996934467477,2.1586326117223214e-14,37
Quantile,Robustness,Model effect,smiles,82.85200216750209,46.99814106324107,6.705570150149845e-36,119
Quantile,Robustness,Model effect,sns,78.80698931517695,36.06980658508561,2.3213488253091326e-28,108
Quantile,Robustness,Rep effect,dnn,37.57628993454864,5.643331960997351,1.3149691891804413e-05,84
Quantile,Robustness,Rep effect,dnn_bnn_full,43.07483368140697,8.172276584236329,8.467359296793017e-06,60
Quantile,Robustness,Rep effect,dnn_vbll,22.852955393133175,3.4559692374288957,0.026668939313052913,39
Quantile,Robustness,Rep effect,gauche,17.994702120022627,2.257029356005555,0.03911049383445409,80
Quantile,Robustness,Rep effect,lgb,10.766293213240843,1.1548192962088346,0.3405018115885484,75
Quantile,Robustness,Rep effect,mlp,62.05232493498137,16.147674598853328,7.10611703888574e-14,88
Quantile,Robustness,Rep effect,mlp_bnn_full,41.43586340405353,7.641320281920686,1.7274130404302558e-05,60
Quantile,Robustness,Rep effect,mlp_vbll,34.05170843336856,5.851847759466612,0.002462444524435672,38
Quantile,Robustness,Rep effect,ngboost,14.425421921893127,1.6014277994207697,0.16351441925410318,64
Quantile,Robustness,Rep effect,qrf,13.099765064332116,1.3567038761893826,0.23939121074090408,71
Quantile,Robustness,Rep effect,rf,16.18470472702064,1.9309965650432361,0.07741529151199225,78
Quantile,Robustness,Rep effect,svm,5.052431554922189,0.547332262143347,0.7956847920935999,80
Quantile,Robustness,Rep effect,xgboost,7.527167670006024,0.7325882350862216,0.6623501628192663,81
Outlier,Performance,Model effect,continuous_pdv,79.47276032892866,36.25202611061405,1.702495505201296e-30,115
Outlier,Performance,Model effect,ecfp4,67.26461471361401,19.86305043333902,7.498134411116849e-23,129
Outlier,Performance,Model effect,mhggnn,99.16745580793395,1022.3929698023048,3.0566004135360527e-101,116
Outlier,Performance,Model effect,mol2vec,99.14131903420336,837.0682379469877,2.293293040885735e-84,100
Outlier,Performance,Model effect,morgan,85.85840240231336,59.364182387863636,1.4376859231676107e-33,98
Outlier,Performance,Model effect,pdv,75.33383195515017,28.505269389078993,1.3479554378765822e-28,125
Outlier,Performance,Model effect,randomized_smiles,96.33446668272848,271.5719840905669,1.511758427710202e-42,69
Outlier,Performance,Model effect,smiles,94.52871579240274,162.6940537669559,2.3705095085185886e-65,126
Outlier,Performance,Model effect,sns,86.11532146454822,60.16117809809494,4.061037436621642e-37,108
Outlier,Performance,Rep effect,dnn,66.87129912981794,19.68067414024563,6.91603557760179e-16,87
Outlier,Performance,Rep effect,dnn_bnn_full,99.78782088415632,4568.627779507749,2.9314159232252255e-88,76
Outlier,Performance,Rep effect,dnn_vbll,99.25085979061802,1165.8799717585453,1.4509051732559648e-45,50
Outlier,Performance,Rep effect,gauche,93.22326093035197,125.7724324808292,6.57306035399773e-35,72
Outlier,Performance,Rep effect,lgb,92.47065382609934,122.81365697679566,9.893778948413299e-37,78
Outlier,Performance,Rep effect,mlp,75.51578782960412,30.457112511016337,3.813500304009103e-21,88
Outlier,Performance,Rep effect,mlp_bnn_full,99.79455522962768,4857.488221713594,2.155503025611583e-91,78
Outlier,Performance,Rep effect,mlp_vbll,99.45343708792012,1382.907813835888,7.04190726539898e-42,44
Outlier,Performance,Rep effect,ngboost,98.66038302182507,736.482029036651,1.423757456638606e-71,89
Outlier,Performance,Rep effect,qrf,96.55020683217815,263.87973924109605,1.0985232625400341e-45,74
Outlier,Performance,Rep effect,rf,97.56593477409979,390.8144506257647,1.2462512722409548e-59,87
Outlier,Performance,Rep effect,svm,75.20358475816249,30.76167298351241,4.0485223838044736e-19,79
Outlier,Performance,Rep effect,xgboost,97.34144959053805,343.26078101185266,7.968256519329381e-56,84
Outlier,Robustness,Model effect,continuous_pdv,19.180637913061584,2.265396590918416,0.016072040461722167,117
Outlier,Robustness,Model effect,ecfp4,15.659474286179536,1.7483890250879313,0.06566551250479521,126
Outlier,Robustness,Model effect,mhggnn,26.896531010245678,3.5872603718251628,0.00135969668329671,87
Outlier,Robustness,Model effect,mol2vec,34.081487414098056,4.976361017448842,5.474433241142914e-05,86
Outlier,Robustness,Model effect,morgan,22.757643866885985,2.8153197438568363,0.0060143308787119435,96
Outlier,Robustness,Model effect,pdv,12.710648394403792,1.31053597541331,0.22302211215612808,121
Outlier,Robustness,Model effect,randomized_smiles,45.147991853712774,7.202013965768106,0.0002428304582437403,40
Outlier,Robustness,Model effect,smiles,22.22123338076473,2.7271166977796995,0.003882819562541757,117
Outlier,Robustness,Model effect,sns,37.902169818716594,5.981549808408219,5.0191881478402e-07,109
Outlier,Robustness,Rep effect,dnn,28.822693395671024,3.948186212917207,0.0005792057970121732,87
Outlier,Robustness,Rep effect,dnn_bnn_full,2.1778663614718012,0.24044616314350362,0.9427821522821203,60
Outlier,Robustness,Rep effect,dnn_vbll,10.246152763217122,1.3318476319888637,0.2796800373788229,39
Outlier,Robustness,Rep effect,gauche,1.8656398711323237,0.19554250569632123,0.9854951068033921,80
Outlier,Robustness,Rep effect,lgb,4.6120679560662206,0.46969197149900915,0.8531794825546166,76
Outlier,Robustness,Rep effect,mlp,5.022936477041588,0.5288578411173361,0.831482635747463,89
Outlier,Robustness,Rep effect,mlp_bnn_full,6.4806158365056845,0.7206891416417944,0.6108794923593648,58
Outlier,Robustness,Rep effect,mlp_vbll,5.926663315395973,0.7350053456496787,0.5382038724182772,39
Outlier,Robustness,Rep effect,ngboost,2.6520747534702136,0.2769731345103777,0.9456855350479355,68
Outlier,Robustness,Rep effect,qrf,3.0022362637396154,0.26529945328602633,0.9649603374088352,68
Outlier,Robustness,Rep effect,rf,1.980396780291496,0.1847230987845752,0.9876325696922263,72
Outlier,Robustness,Rep effect,svm,0.9319465464652772,0.09675910217611944,0.9983563837333814,80
Outlier,Robustness,Rep effect,xgboost,2.994306318886583,0.28552276055826686,0.9687905745768324,83
Threshold,Performance,Model effect,continuous_pdv,76.32473807785075,31.358957952069602,1.459360200658813e-28,119
Threshold,Performance,Model effect,ecfp4,64.64702145496038,17.524236460606843,8.645919968966656e-21,128
Threshold,Performance,Model effect,mhggnn,96.5843598846258,235.64240918778617,1.3837929785697654e-67,113
Threshold,Performance,Model effect,mol2vec,98.80322546352002,674.2230749037695,1.9816110731769063e-88,111
Threshold,Performance,Model effect,morgan,83.05705909880537,49.0216306502898,6.660671414500992e-31,100
Threshold,Performance,Model effect,pdv,64.04678888995272,17.220129722892278,1.3586230633333018e-20,129
Threshold,Performance,Model effect,randomized_smiles,92.03415921423907,117.46162694472132,1.3397165065701365e-31,68
Threshold,Performance,Model effect,smiles,91.81708107346273,107.53054032676808,1.3777142211134734e-56,128
Threshold,Performance,Model effect,sns,80.17844017156096,40.045615207315514,2.0725096956016684e-30,110
Threshold,Performance,Rep effect,dnn,59.45699999239283,14.481855679518379,8.572826452305184e-13,88
Threshold,Performance,Rep effect,dnn_bnn_full,99.50171242326947,1939.8197119070653,1.1762016810350974e-75,76
Threshold,Performance,Rep effect,dnn_vbll,98.10314114392983,413.74988267572314,2.607062351440636e-33,46
Threshold,Performance,Rep effect,gauche,82.42544338597642,47.57044604661693,2.4886676499665982e-24,79
Threshold,Performance,Rep effect,lgb,80.91021007544018,43.594995383496155,2.0245646137806138e-23,80
Threshold,Performance,Rep effect,mlp,84.21212553009005,53.33974860934541,6.403104899239905e-29,89
Threshold,Performance,Rep effect,mlp_bnn_full,99.51857259400907,2037.6255584760627,2.6226133553947473e-77,77
Threshold,Performance,Rep effect,mlp_vbll,98.43031226147126,526.7382822084966,9.989282260388433e-37,48
Threshold,Performance,Rep effect,ngboost,97.92636127744757,472.24408095983466,5.4205834552473624e-64,89
Threshold,Performance,Rep effect,qrf,93.63796554410533,145.07981835358805,1.0746928018763062e-38,77
Threshold,Performance,Rep effect,rf,95.4349726544225,206.44352894740382,1.1598898235076208e-49,88
Threshold,Performance,Rep effect,svm,59.86188963588833,15.340091693709624,4.0852616892430675e-12,80
Threshold,Performance,Rep effect,xgboost,91.80244515887352,111.98759500614493,3.389430360053093e-40,89
Threshold,Robustness,Model effect,continuous_pdv,67.84384878317353,20.714644551424964,6.676867270923031e-22,120
Threshold,Robustness,Model effect,ecfp4,78.6287333354201,34.032413462795084,1.121933907539963e-31,124
Threshold,Robustness,Model effect,mhggnn,70.62036130425021,23.736713548501054,4.205421436671012e-18,88
Threshold,Robustness,Model effect,mol2vec,33.69939471451944,4.8286776328729015,7.8584555733575e-05,85
Threshold,Robustness,Model effect,morgan,83.21292755320928,49.569648202190116,4.4225271453853695e-31,100
Threshold,Robustness,Model effect,pdv,54.53533378354426,11.195429132221049,2.089359276881321e-14,125
Threshold,Robustness,Model effect,randomized_smiles,95.32717436274208,173.40278559137488,4.154541576092119e-22,39
Threshold,Robustness,Model effect,smiles,93.4793975003243,139.45024158611298,3.902285403270009e-58,119
Threshold,Robustness,Model effect,sns,86.05118232121379,59.83994398214885,5.063482203056813e-37,108
Threshold,Robustness,Rep effect,dnn,60.686498736727515,14.664726352865204,9.804295708136816e-13,85
Threshold,Robustness,Rep effect,dnn_bnn_full,51.723570756238516,11.571165741085998,1.275698337071656e-07,60
Threshold,Robustness,Rep effect,dnn_vbll,36.704234307639574,6.765319326473488,0.0010198591050366835,39
Threshold,Robustness,Rep effect,gauche,11.284618074269902,1.2901738859090395,0.2677398057028606,79
Threshold,Robustness,Rep effect,lgb,10.531371204174008,1.177102113435474,0.32711530701960373,78
Threshold,Robustness,Rep effect,mlp,86.81001521056017,66.6377875363911,1.9822410336093536e-32,90
Threshold,Robustness,Rep effect,mlp_bnn_full,67.81822927632979,22.759371523507976,3.2834213892012905e-12,60
Threshold,Robustness,Rep effect,mlp_vbll,34.243614119681084,6.07558986169668,0.0019290828534183789,39
Threshold,Robustness,Rep effect,ngboost,1.0152507674482503,0.10427582244487388,0.9956462470235297,68
Threshold,Robustness,Rep effect,qrf,36.16162256698582,4.936258150851914,0.00018260776714085518,69
Threshold,Robustness,Rep effect,rf,8.24121580137491,0.885308607564487,0.522843534456976,77
Threshold,Robustness,Rep effect,svm,17.428183103579364,2.170974536595215,0.046836846986631195,80
Threshold,Robustness,Rep effect,xgboost,3.5218663823189784,0.34222777842159446,0.9465492510891409,84
Value-Prop.,Performance,Model effect,continuous_pdv,74.61012998637393,27.515781918580686,7.341396414380929e-26,115
Value-Prop.,Performance,Model effect,ecfp4,61.695639664767754,14.496019568617704,1.4828863643488768e-17,121
Value-Prop.,Performance,Model effect,mhggnn,98.89540117871623,798.3145646959905,9.292890603360613e-99,120
Value-Prop.,Performance,Model effect,mol2vec,98.29590756987163,461.4581032436931,3.411545275911622e-79,109
Value-Prop.,Performance,Model effect,morgan,84.30954854484423,51.94192818029827,3.1803117968037656e-31,97
Value-Prop.,Performance,Model effect,pdv,44.19944401221789,7.458911900558538,5.677071307522003e-10,126
Value-Prop.,Performance,Model effect,smiles,91.76564163715153,105.87025207527677,6.586209650810842e-56,127
Value-Prop.,Performance,Model effect,sns,77.11604588913549,35.04669137866547,1.6407079544152728e-15,58
Value-Prop.,Performance,Rep effect,dnn,69.4837787977885,20.81778930243263,2.648984565901501e-14,72
Value-Prop.,Performance,Rep effect,dnn_bnn_full,99.6787318867332,3014.0173929468997,3.904212534088797e-82,76
Value-Prop.,Performance,Rep effect,dnn_vbll,97.67023578377298,360.5360670792458,6.227467837039377e-34,49
Value-Prop.,Performance,Rep effect,gauche,69.95642367380316,24.061151601281733,1.7149073949048034e-14,69
Value-Prop.,Performance,Rep effect,lgb,85.07346930948479,56.99480413324896,2.040488919303363e-26,78
Value-Prop.,Performance,Rep effect,mlp,71.46215743947127,23.967997371957285,5.630216966508156e-16,75
Value-Prop.,Performance,Rep effect,mlp_bnn_full,99.5982335010995,2443.593526653471,5.121048150075355e-80,77
Value-Prop.,Performance,Rep effect,mlp_vbll,96.80920912700984,242.72153953176803,8.417650660425211e-29,46
Value-Prop.,Performance,Rep effect,ngboost,97.30636133171986,361.2450418000934,3.825779011566679e-45,67
Value-Prop.,Performance,Rep effect,qrf,90.97378152402962,104.81990108800218,6.505574037257209e-26,58
Value-Prop.,Performance,Rep effect,rf,73.38586129356301,28.493147009741122,4.3871583636751357e-16,69
