model,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
ngboost,0.9217169072360127,0.8508255452863827,0.9528614515451044,0.8728819251410758,0.6447723548588324,0.7007366089215897,0.8239657988314996,0.12375728300521965
rf,0.9205694390413892,0.8455319879645693,0.9548335023402059,0.8720071522874638,0.6264169046885002,0.6869563652929733,0.8177192252691836,0.13175334807670125
lgb,0.9193239562941796,0.845401266702507,0.9509689776935666,0.865315352667581,0.6296188621332732,0.689885888592379,0.8167523840139143,0.1287075790579336
xgboost,0.9182359564321914,0.8438505253242973,0.9458828488927873,0.8642694519005685,0.6276595134834145,0.6864729829262012,0.8143952131599099,0.12857781452510358
svm,0.9157645962096886,0.83884555152934,0.9555554743011696,0.870365022270627,0.6198463625688269,0.6816512835266624,0.8136713817343857,0.13371572252568042
mlp_bnn_full,0.9129106109924127,0.8342918344517394,0.9412288801685025,0.8464004447370785,0.6094869582651139,0.6683018008613417,0.8021034215793647,0.13389280957810562
dnn_bnn_full,0.9111940458746348,0.828629025196183,0.9419129389160046,0.8464647992294796,0.6062302663195833,0.6687216314390091,0.8005254511624824,0.1343585202880246
mlp_vbll,0.9035266091427493,0.8198960995192417,0.9432184219291248,0.839826856683497,0.5947220714350947,0.6537495044371822,0.7924899271911484,0.13885325831001186
dnn,0.9040799594985863,0.820149747921784,0.937867806089852,0.8389409618262116,0.5829329581424004,0.6503944268824359,0.7890609767268782,0.14180587827177168
dnn_vbll,0.9015507433604215,0.8113783100261363,0.9322176340626888,0.8229418813928047,0.5772304775811237,0.6410150954269376,0.7810556903083521,0.1422666446344773
mlp,0.8916498079635081,0.7891972006948186,0.934342519629147,0.815956816405814,0.5159765929213718,0.5902029443920447,0.7562209803344507,0.16733404033594174
