model,rep,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
ngboost,smiles,0.9268564575754542,0.8568620284394369,0.9510195815475363,0.8706334570806281,0.6525747388559824,0.7085979922834925,0.8277573759637552,0.12048863306754297
ngboost,sns,,0.8488961128316704,0.9524127942188149,0.8648485204022401,0.6445567429373935,,0.8276785425975297,0.13028688802655533
ngboost,randomized_smiles,,0.8470461820429395,0.9433919677810786,0.8713863996745184,0.6453234551939486,,0.8267870011731213,0.1277044472120171
ngboost,pdv,0.9236842162778244,0.8531853566058257,0.956186905327459,0.8726218768646707,0.6482774224619866,0.7043870574443499,0.8263904724970196,0.12310774711276087
xgboost,sns,,0.847881012364556,0.952613746005315,0.8685829272918546,0.6352068208455337,,0.8260711266268148,0.13506188958180093
ngboost,mol2vec,0.9239478682071689,0.8549962354468851,0.9521199368486719,0.8751041055284203,0.6459998453839187,0.703415524371843,0.8259305859644845,0.12343338172785577
ngboost,continuous_pdv,0.9217169072360127,0.8508255452863827,0.9528614515451044,0.8728819251410758,0.6447723548588324,0.7007366089215897,0.8239657988314996,0.12375728300521965
rf,mol2vec,0.9215414719350852,0.8492079466292872,0.9571362703010466,0.8771548486465519,0.638436542620105,0.695999214169209,0.8232460490502141,0.12768325728983518
rf,randomized_smiles,,0.8454147926159243,0.9508640779415619,0.8686443635383879,0.6278989940918398,,0.8232055570469285,0.13783962513281275
ngboost,ecfp4,0.916196670180614,0.8519813507454703,0.954027634138036,0.8682657666275404,0.6456145287049065,0.7004946872858773,0.8227634396137407,0.12265038920838812
xgboost,randomized_smiles,,0.845404007079639,0.9478876857524686,0.8644427579981264,0.6300551025043908,,0.8219473883336562,0.1354494706285137
svm,mol2vec,0.9211607969168385,0.8472743807701122,0.9571503036296427,0.8740015970456559,0.6352566663423534,0.6943092583508262,0.8215255005092382,0.1285442148872249
svm,pdv,0.9208496352355323,0.8467890888087046,0.9572851577473994,0.8730725942876344,0.6331809618626753,0.6965155472821293,0.8212821642040126,0.12860180279591704
lgb,pdv,0.9201300193899437,0.8481946851009854,0.955377476413129,0.8716364679142654,0.6353064332221041,0.694241306061808,0.8208143980170393,0.12785720960119726
ngboost,mhggnn,0.9205852152479644,0.8492781324025569,0.9456330906115149,0.8650119558086038,0.6434346911070125,0.7004948322576295,0.8207396529058805,0.12185060942716613
ngboost,morgan,0.9222437624207165,0.8488381336467868,0.9467889783176686,0.8619107772054941,0.646372738767029,0.69758865633783,0.8206238411159208,0.12185730261990327
rf,sns,,0.8443647815411691,0.952453290431876,0.8645190774041343,0.6202021775523605,,0.820384831732385,0.14146618259224186
svm,sns,,0.8377666204251117,0.9570105368444425,0.8692925721603683,0.6154970111037747,,0.8198916851334243,0.1453028139403659
