Model,Rep,Unc-Noise ρ (pooled),Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6,Unc-Error ρ,ECE,Coverage 1σ,Coverage 2σ
GP,ECFP4,0.3374376744746124,-0.2438438134907588,1000,-0.0537007137007137,1000,-0.0556890316890316,1000,0.1840925393929254,0.2305717233147753,0.7856,0.9596
BNN-β,PDV,0.3758931179562358,0.0119054221918242,1000,-0.0503987783987784,1000,-0.0437597357597357,1000,0.2405961239308484,0.193110068645426,0.7212,0.9402
BNN-α,PDV,0.3534865211890865,-0.0351428934103781,1000,-0.0483955563955564,1000,-0.0665628785628785,1000,0.2291427645282396,0.2582160027846356,0.7459,0.9428
QRF,PDV,0.2598943909367658,0.3637189620104046,1000,-0.0431395571754953,1000,-0.0421246091411153,1000,0.2121262561207876,0.1438341131977992,0.6511818181818182,0.8906363636363637
GP,SNS,0.5353599679775168,-0.0704330315990498,1000,-0.043016053919391,1000,-0.0427130716100461,1000,0.2275816070176082,0.1338077155148516,0.7143,0.9457
GP,PDV,0.285056464324281,-0.2089394168008835,1000,-0.0415533791576482,1000,-0.0407603702195186,1000,0.2149018808618804,0.2094142401421097,0.7413636363636363,0.9441818181818182
QRF,ECFP4,0.2676522873491417,-0.1544954987158518,1000,-0.0334928137942491,1000,-0.0129771670939615,1000,0.2537419939260789,0.1925837240466482,0.7468181818181818,0.9463636363636364
NGBoost,ECFP4,0.3726758554069954,0.0440216076405123,1000,-0.0292307540369065,1000,-0.0048902689489521,1000,0.2241776218231702,0.1092088253624598,0.6915,0.9416
BNN-α,SMILES,0.317770846394296,0.0587929881017302,10000,-0.0196207345305016,10000,-0.0055092188892409,10000,0.1579703947705057,0.1747687393712178,0.7239181818181818,0.9489727272727272
BNN-α,Mol2Vec,-0.0021162111896102,0.0074192528228446,10000,-0.0144256382329412,9000,-0.0141572847819673,6000,0.012341599049646,0.403833393712897,0.4056831683168317,0.6917029702970297
