model_a,model_b,n_shared_reps,icc_1_1,mean_abs_auc_diff,mean_auc_a,mean_auc_b
dnn_bnn_full,mlp_vbll,4,0.7471713879411839,0.00812278814680753,0.7986455835155571,0.7970755915151952
lgb,xgboost,8,0.6985088865031129,0.0023373333954175707,0.8164262094721826,0.8165578086333998
dnn_bnn_full,mlp_bnn_full,6,0.6830698146917885,0.009059133488377316,0.7943266399126944,0.785793496563278
dnn,dnn_vbll,4,0.6410765843608672,0.016864534389084834,0.7720930830656846,0.7833597161250263
mlp_bnn_full,mlp_vbll,4,0.6056612358202179,0.008443795170102936,0.7951686880394309,0.7970755915151952
dnn_vbll,mlp_bnn_full,4,0.5703411996002246,0.012027944367628024,0.7833597161250263,0.7951686880394309
dnn_vbll,mlp_vbll,4,0.5156145376595087,0.013715875390169052,0.7833597161250263,0.7970755915151952
gauche,mlp_vbll,3,0.5150078593762248,0.010517124197618744,0.8091212704874965,0.7986041462898776
dnn,mlp_bnn_full,6,0.4873951697559088,0.022423056164756112,0.7633704403985219,0.785793496563278
dnn_bnn_full,dnn_vbll,4,0.4569828524104662,0.015285867390530922,0.7986455835155571,0.7833597161250263
dnn,mlp,9,0.40124726051535226,0.03728629944297485,0.7509871050432728,0.7337486669802422
svm,xgboost,8,0.25500762631348456,0.004256014996078472,0.8156050763042819,0.8165578086333998
lgb,svm,8,0.22989060100170455,0.0036689344779918115,0.8164262094721826,0.8156050763042819
dnn,mlp_vbll,4,0.20942190789068327,0.024982508449510804,0.7720930830656846,0.7970755915151952
rf,svm,8,0.18632654410535532,0.004383885016346276,0.8162063996555824,0.8156050763042819
rf,xgboost,9,0.15727659372630795,0.004468508299867718,0.8169840838101765,0.8171566508223171
dnn,dnn_bnn_full,6,0.13002339105650912,0.03095619951417261,0.7633704403985219,0.7943266399126944
dnn_vbll,mlp,4,0.1234457982707548,0.048054172088050684,0.7833597161250263,0.7353055440369756
qrf,rf,8,0.0012598871548812444,0.011857556379441539,0.8049057366656578,0.8167632930450994
mlp_vbll,svm,4,-0.01859953033739321,0.017142634859462547,0.7970755915151952,0.8142182263746579
mlp_vbll,qrf,4,-0.05048343651216624,0.013469198012523248,0.7970755915151952,0.8014531463350185
dnn_bnn_full,gauche,5,-0.06495680762302143,0.01620206193712905,0.7930868776627369,0.8078651743914282
gauche,qrf,7,-0.09463969715674127,0.007132534434289834,0.8076349101425973,0.8041714788945218
mlp,mlp_vbll,4,-0.10671167183756482,0.061770047478219736,0.7353055440369756,0.7970755915151952
dnn_vbll,gauche,3,-0.13259904949131587,0.024993545756912112,0.7841277247305843,0.8091212704874965
mlp,mlp_bnn_full,6,-0.1354949166723047,0.05257427546806559,0.7332192210952124,0.785793496563278
gauche,svm,7,-0.1659627937620265,0.009117297791330794,0.8067640205943649,0.8158813183856957
ngboost,xgboost,9,-0.22362286873964277,0.007580761473566295,0.8247374122958835,0.8171566508223171
gauche,mlp_bnn_full,5,-0.2384675188434107,0.02533366283136753,0.8078651743914282,0.7825315115600605
dnn_bnn_full,mlp,6,-0.24730345882257715,0.061107418817482086,0.7943266399126944,0.7332192210952124
qrf,svm,7,-0.2684755730249737,0.011570334328134289,0.8044269164657251,0.8159972507938592
gauche,lgb,7,-0.2741851206803946,0.00961559251471308,0.8067640205943649,0.8163796131090779
lgb,rf,8,-0.3323846606769381,0.004606701494723087,0.8164262094721826,0.8162063996555824
gauche,xgboost,8,-0.3629518608978399,0.01047229190860137,0.8071147705715297,0.817501830530118
ngboost,rf,9,-0.3723878551399137,0.007753328485707028,0.8247374122958835,0.8169840838101765
dnn_bnn_full,svm,6,-0.38110290158303944,0.02061076767218817,0.7943266399126944,0.8149374075848828
mlp_bnn_full,svm,6,-0.4090371558281682,0.029143911021604667,0.785793496563278,0.8149374075848828
dnn_vbll,svm,4,-0.4286619564025497,0.0308585102496316,0.7833597161250263,0.8142182263746579
ngboost,svm,8,-0.4314916387049333,0.008876137381946828,0.8244812136862287,0.8156050763042819
lgb,ngboost,8,-0.43790986564326795,0.00805500421404623,0.8164262094721826,0.8244812136862287
mlp,qrf,8,-0.44308326350565574,0.07256818170791729,0.7323375549577404,0.8049057366656578
mlp_bnn_full,qrf,5,-0.4570114455096758,0.020102892156230335,0.79134968159852,0.8029907490733332
mlp,svm,8,-0.4680319335939974,0.07402062866415604,0.7415844476401259,0.8156050763042819
mlp_vbll,xgboost,4,-0.4839067622223472,0.019235991871678265,0.7970755915151952,0.8163115833868736
lgb,mlp_vbll,4,-0.48638870685472163,0.02106645878261787,0.8181420502978132,0.7970755915151952
gauche,mlp,8,-0.4898660260090457,0.07837477753018715,0.8071147705715297,0.7309396278109661
dnn_bnn_full,qrf,5,-0.491808837496844,0.017309701617469565,0.7956259636581854,0.8029907490733332
lgb,mlp_bnn_full,6,-0.49997379083582894,0.03198764941587904,0.8177811459791569,0.785793496563278
dnn_vbll,qrf,4,-0.50370757615992,0.023268525994890904,0.7833597161250263,0.8014531463350185
qrf,xgboost,8,-0.5479068879008036,0.012885571245374788,0.8049057366656578,0.8172573696723427
lgb,mlp,8,-0.5561393276898695,0.07484176183205664,0.8164262094721826,0.7415844476401259
mlp_bnn_full,xgboost,6,-0.5677994256918016,0.03215123013612561,0.785793496563278,0.8179447266994035
dnn_bnn_full,lgb,6,-0.5715102280136442,0.023454506066462544,0.7943266399126944,0.8177811459791569
mlp,rf,9,-0.583440915763922,0.08323541682993428,0.7337486669802422,0.8169840838101765
dnn,qrf,8,-0.6069078983856173,0.056820995359970136,0.751469918258377,0.8049057366656578
mlp,xgboost,9,-0.6095237302843833,0.08340798384207501,0.7337486669802422,0.8171566508223171
dnn,lgb,8,-0.6139465643376504,0.06350526938079312,0.7529209400913894,0.8164262094721826
dnn,svm,8,-0.615472698059909,0.06268413621289252,0.7529209400913894,0.8156050763042819
mlp_bnn_full,ngboost,6,-0.6184052457687403,0.03906974853996623,0.785793496563278,0.8248632451032444
mlp,ngboost,9,-0.628999183998066,0.09098874531564131,0.7337486669802422,0.8247374122958835
