model_a,model_b,n_shared_points,spearman_rho,p_value,excluded_from_anova
dnn_bnn_full,gauche_rbf,6,1.0,0.0,yes
gauche_rbf,svm,6,1.0,0.0,yes
gauche_rbf,rf,6,1.0,0.0,yes
gauche_rbf,qrf,6,1.0,0.0,yes
gauche_rbf,ngboost,6,1.0,0.0,yes
gauche_rbf,mlp_vbll,6,1.0,0.0,yes
gauche_rbf,xgboost,6,1.0,0.0,yes
gauche_rbf,mlp_bnn_full,6,1.0,0.0,yes
gauche_rbf,mlp,6,1.0,0.0,yes
dnn,gauche_rbf,6,1.0,0.0,yes
dnn_vbll,gauche_rbf,6,1.0,0.0,yes
gauche_rbf,lgb,6,1.0,0.0,yes
lgb,xgboost,46,0.9940795559666974,4.638111980138356e-44,no
dnn_vbll,svm,24,0.9939130434782607,1.42362416653553e-22,no
qrf,rf,44,0.9919661733615222,2.395333800565598e-39,yes
mlp_vbll,svm,24,0.9895652173913043,5.24354977133567e-20,no
dnn_bnn_full,mlp_vbll,24,0.988695652173913,1.2597070670121706e-19,no
dnn,mlp_bnn_full,36,0.9886743886743887,1.3561494722066144e-29,no
dnn_vbll,mlp_vbll,24,0.9860869565217389,1.221776007865488e-18,no
dnn_bnn_full,dnn_vbll,24,0.9860869565217389,1.221776007865488e-18,no
gauche,mlp_vbll,18,0.9855521155830752,9.124170334062525e-14,yes
mlp,mlp_vbll,24,0.9843478260869565,4.42777423668339e-18,no
dnn_vbll,lgb,24,0.9843478260869565,4.42777423668339e-18,no
dnn,mlp_vbll,24,0.983478260869565,7.993456335867345e-18,no
gauche,lgb,42,0.9828214893444616,5.633002785843614e-31,yes
dnn_vbll,mlp_bnn_full,24,0.9826086956521738,1.3996884466245232e-17,no
gauche,xgboost,44,0.9821000704721634,4.412932999396386e-32,yes
mlp_bnn_full,mlp_vbll,24,0.9799999999999999,6.43388030079055e-17,no
dnn_vbll,xgboost,24,0.9799999999999999,6.43388030079055e-17,no
dnn,dnn_vbll,24,0.9799999999999999,6.43388030079055e-17,no
gauche,svm,40,0.977673545966229,2.3605332211658395e-27,yes
mlp_bnn_full,svm,34,0.977387318563789,3.650992752349834e-23,no
dnn_vbll,gauche,18,0.977296181630547,3.3060534468874615e-12,yes
ngboost,svm,46,0.97718162195498,3.038193743386344e-31,no
lgb,ngboost,46,0.9770582793709527,3.416476942269212e-31,no
rf,svm,46,0.9769349367869257,3.8394172778793574e-31,no
lgb,mlp_vbll,24,0.9765217391304346,3.6938518126217637e-16,no
mlp_vbll,xgboost,24,0.9756521739130434,5.488675864896482e-16,no
qrf,svm,40,0.975422138836773,1.4365556692352687e-26,yes
ngboost,rf,50,0.9747418967587033,6.600532376750235e-33,no
mlp,mlp_bnn_full,36,0.9737451737451738,1.9516832006027058e-23,no
lgb,svm,46,0.9732346592661116,9.761962084149475e-30,no
gauche,qrf,38,0.9722070248386038,2.706012641975668e-24,yes
dnn_vbll,mlp,24,0.9721739130434782,2.3462652955959657e-15,no
ngboost,xgboost,50,0.9721488595438175,6.692766801406733e-32,no
gauche,mlp_bnn_full,30,0.9719688542825362,3.8155860628438806e-19,yes
lgb,mlp_bnn_full,36,0.9711711711711712,9.38340962955334e-23,no
mlp_bnn_full,ngboost,34,0.9709702062643238,1.8983616110103473e-21,no
ngboost,qrf,44,0.9706835799859055,1.2483436784780047e-27,yes
mlp,svm,46,0.9706444650015419,7.255551056924706e-29,no
svm,xgboost,46,0.9697810669133519,1.3608583678690553e-28,no
mlp_vbll,ngboost,24,0.9695652173913042,6.211800489551072e-15,no
gauche,ngboost,44,0.969415081042988,3.001420134817254e-27,yes
mlp_vbll,qrf,24,0.9652173913043477,2.6445499220283633e-14,yes
dnn_vbll,ngboost,24,0.9626086956521739,5.788561169509911e-14,no
lgb,rf,46,0.9623805118717237,1.5630193772760048e-26,no
dnn,gauche,46,0.9612704286154795,2.9301624845185014e-26,yes
lgb,qrf,40,0.9598499061913698,1.4071601691442366e-22,yes
gauche,rf,44,0.9592670894996476,1.116245635921444e-24,yes
rf,xgboost,50,0.9579351740696278,1.13282540025885e-27,no
mlp_bnn_full,xgboost,34,0.9578304048892282,6.790998171947746e-19,no
qrf,xgboost,44,0.9568710359408034,3.6218268872113904e-24,yes
dnn,lgb,48,0.9564698219713417,3.039163382081918e-26,no
mlp,qrf,44,0.9548978153629315,9.090308291559482e-24,yes
mlp_vbll,rf,24,0.9539130434782607,5.544061620769688e-13,no
dnn_bnn_full,mlp_bnn_full,36,0.9536679536679538,2.6113527687108017e-19,no
dnn_bnn_full,qrf,28,0.9529282977558841,5.42577253959678e-15,yes
dnn_bnn_full,mlp,36,0.9526383526383526,3.764305134609191e-19,no
dnn_bnn_full,svm,34,0.951718869365928,5.665778519814438e-18,no
dnn,dnn_bnn_full,36,0.9516087516087516,5.382852859563301e-19,no
dnn,ngboost,50,0.9495798319327731,7.973916156047841e-26,no
dnn_vbll,rf,24,0.9495652173913043,1.4644153248304371e-12,no
mlp_bnn_full,qrf,28,0.9490968801313627,1.4682044908016712e-14,yes
mlp,ngboost,50,0.9487154861944777,1.1873932515618064e-25,no
mlp,rf,50,0.9484273709483794,1.3538552100486876e-25,no
dnn_vbll,qrf,24,0.9478260869565217,2.1090191915644208e-12,yes
dnn,xgboost,50,0.946890756302521,2.6917973306117264e-25,no
dnn,mlp,52,0.946469734483053,3.306640826618696e-26,no
gauche,mlp,46,0.9448658649398705,5.862380749540666e-23,yes
mlp_bnn_full,rf,34,0.9443850267379679,5.1626366389753515e-17,no
dnn,svm,46,0.9417823003391921,1.8802823854810762e-22,no
lgb,mlp,48,0.9359531046461138,1.7527187292978121e-22,no
dnn_bnn_full,gauche,30,0.935483870967742,3.562990060341997e-14,yes
dnn_bnn_full,lgb,36,0.9351351351351351,6.897178816978361e-17,no
dnn_bnn_full,ngboost,34,0.9312452253628722,1.3970681863012463e-15,no
dnn,qrf,44,0.929105003523608,9.408397158594448e-20,yes
dnn,rf,50,0.9269147659063625,4.56264443751413e-22,no
mlp,xgboost,50,0.9255702280912365,6.95907947050732e-22,no
dnn_bnn_full,xgboost,34,0.9248281130634071,5.5581956955380775e-15,no
dnn_bnn_full,rf,34,0.9126050420168067,5.661707747026005e-14,no
