model,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,Mean_Rank
ngboost,1.0,1.0,3.0,1.0,1.0,1.0,1.3333333333333333
rf,2.0,2.0,2.0,2.0,4.0,3.0,2.5
lgb,3.0,3.0,4.0,4.0,2.0,2.0,3.0
svm,5.0,5.0,1.0,3.0,5.0,5.0,4.0
xgboost,4.0,4.0,5.0,5.0,3.0,4.0,4.166666666666667
mlp_bnn_full,6.0,6.0,8.0,7.0,6.0,7.0,6.666666666666667
dnn_bnn_full,7.0,7.0,7.0,6.0,7.0,6.0,6.666666666666667
mlp_vbll,9.0,9.0,6.0,8.0,8.0,8.0,8.0
dnn,8.0,8.0,9.0,9.0,9.0,9.0,8.666666666666666
dnn_vbll,10.0,10.0,11.0,10.0,10.0,10.0,10.166666666666666
mlp,11.0,11.0,10.0,11.0,11.0,11.0,10.833333333333334
