Model,Rep,Unc-Noise ρ (pooled),Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6,Unc-Error ρ,ECE,Coverage 1σ,Coverage 2σ
NGBoost,SNS,0.4721744990010051,-0.0024668622991029,1000,0.0761225573693454,1000,0.0868375713580699,1000,0.1634240293314252,0.1318020011953525,0.6927,0.9536
QRF,SNS,0.229629807181294,,1,0.0384713076254468,1000,0.0378331111951032,1000,0.2149394939636889,0.1529311539989324,0.7003299670032996,0.936906309369063
VBLL-β,PDV,0.3728572918741218,0.0555116747997527,1000,0.0195197715197715,1000,0.02801038001038,1000,0.2264768026540974,0.1985698518955452,0.7147272727272728,0.9448181818181818
NGBoost,PDV,0.4719650166075383,0.0183471189783794,1000,0.0184361159955643,1000,0.022990262650388,1000,0.2869622510098105,0.1129815587886162,0.6897272727272727,0.952
VBLL-α,ECFP4,0.3053087701696316,0.1453070516415419,9000,0.0182572900358874,10000,0.013181020716601,10000,0.108311945624291,0.2240340438077871,0.7454814814814815,0.9510092592592592
NGBoost,MORGAN,0.4386284371817109,-0.0039274880745953,10000,0.0161868187533113,10000,0.0274238583115293,10000,0.1989176777474895,0.1386183907533004,0.6975363636363636,0.9530454545454544
VBLL-β,ECFP4,0.3371504681521752,0.0469037135835439,9000,0.0160382147514887,10000,0.0024541758607626,10000,0.1903564654723607,0.1914854345110103,0.7394722222222222,0.9547129629629628
BNN-β,PDV,0.3263572164599869,0.1067567738297653,10000,0.0149658035088289,10000,0.0025549659014592,10000,0.1985935621053041,0.2252142761495879,0.7490545454545454,0.9506545454545454
VBLL-α,PDV,0.2472375123371364,0.221148329373523,1000,0.0139713979713979,1000,0.0207552687552687,1000,0.1592646046039232,0.2292253885897208,0.7406363636363636,0.9545454545454546
VBLL-α,MHG-GNN,-0.0462431509192093,0.0288769478931407,10000,0.0111570664604528,10000,-0.0047659958594253,10000,0.0868527146489096,13.406061956500787,0.2657454545454545,0.3855545454545454
BNN-α,ECFP4,0.3156170965186404,0.1314190719325426,10000,0.0101039925659492,10000,0.0211957409201193,10000,0.1542901319570479,0.2393861522009332,0.7662385321100917,0.9509174311926606
BNN-β,MORGAN,0.3802112751570597,0.0461010002731219,9000,0.0084407669888381,10000,-0.0032851108649398,10000,0.1968817455737859,0.1752814187967533,0.721392523364486,0.949570093457944
VBLL-α,Mol2Vec,0.0304915854650265,0.0088141187272533,9000,0.005055153694502,10000,-0.018400243244167,10000,0.0679941990368014,10.76905739375604,0.3741284403669724,0.4852935779816514
BNN-β,SNS,0.400121755035126,0.0845292454646964,10000,0.0033301141599804,10000,-0.00835060627941,10000,0.2105858556776873,0.1762650235816673,0.7347818181818182,0.9508272727272729
BNN-α,PDV,0.3297160860053109,0.0672201387735559,10000,0.0028121137352757,10000,-0.002523808457849,10000,0.1818883825309568,0.1880739670779564,0.7336545454545454,0.9489909090909092
